village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Bakel,Bastar,414,449318,village,30,4.3,Solapur–Chennai Economic Corridor,562.16,Bade Arapur,36.06,Amagura,48.58,Visakhapatnam Port,234.47,ICD Raipur,208.64,Petrapole ICP,827.48,Visakhapatnam International Airport (VTZ),231.98,MMLP Visakhapatnam,234.47,Muktyala Terminal,308.78,FCI FSD Durg,207.77
Kungarpal,Bastar,414,449317,village,30,7.19,Solapur–Chennai Economic Corridor,559.22,Bade Arapur,39.38,Amagura,53.99,Visakhapatnam Port,239.42,ICD Raipur,206.24,Petrapole ICP,830.84,Visakhapatnam International Airport (VTZ),236.96,MMLP Visakhapatnam,239.42,Muktyala Terminal,308.12,FCI FSD Durg,204.54
Besrapal,Bastar,414,449365,village,30,6.18,Solapur–Chennai Economic Corridor,574.09,JAGDALPUR,19.83,Amagura,25.97,Visakhapatnam Port,213.29,ICD Raipur,221.04,Petrapole ICP,814.45,Visakhapatnam International Airport (VTZ),210.67,MMLP Visakhapatnam,213.29,Muktyala Terminal,311.53,FCI Depot Visakhapatnam,213.29
Phaphani,Bastar,414,449378,village,30,4.35,Solapur–Chennai Economic Corridor,571.39,JAGDALPUR,30.92,Amagura,38.55,Visakhapatnam Port,225.74,ICD Raipur,211.14,Petrapole ICP,817.68,Visakhapatnam International Airport (VTZ),223.15,MMLP Visakhapatnam,225.74,Muktyala Terminal,313.87,FCI Depot Raipur,211.3
Kudalgaon,Bastar,414,449353,village,30,0.07,Solapur–Chennai Economic Corridor,570.48,JAGDALPUR,9.11,Amagura,17.34,Visakhapatnam Port,203.53,ICD Raipur,231.76,Petrapole ICP,817.96,Visakhapatnam International Airport (VTZ),200.97,MMLP Visakhapatnam,203.53,Muktyala Terminal,304.34,FCI Depot Visakhapatnam,203.53
Jagdalpur (M.Corp.),Bastar,414,449148,village,30;63,4.05,Solapur–Chennai Economic Corridor,565.89,JAGDALPUR,5.81,Amagura,18.01,Visakhapatnam Port,201.64,ICD Raipur,235.84,Petrapole ICP,822.57,Visakhapatnam International Airport (VTZ),199.16,MMLP Visakhapatnam,201.64,Muktyala Terminal,299.16,FCI Depot Visakhapatnam,201.64
Kondawal,Bastar,414,449146,village,30,2.0,Solapur–Chennai Economic Corridor,568.87,JAGDALPUR,7.5,Amagura,17.21,Visakhapatnam Port,202.62,ICD Raipur,233.39,Petrapole ICP,819.57,Visakhapatnam International Airport (VTZ),200.09,MMLP Visakhapatnam,202.62,Muktyala Terminal,302.45,FCI Depot Visakhapatnam,202.62
Bijaput,Bastar,414,449041,village,63,3.38,Solapur–Chennai Economic Corridor,581.43,AMAGURA,4.28,Amagura,4.28,Visakhapatnam Port,190.31,ICD Raipur,239.35,Petrapole ICP,807.29,Visakhapatnam International Airport (VTZ),187.62,MMLP Visakhapatnam,190.31,Muktyala Terminal,310.12,FCI Depot Visakhapatnam,190.31
Munjla,Bastar,414,449329,village,30,1.12,Solapur–Chennai Economic Corridor,568.18,JAGDALPUR,30.05,Amagura,38.73,Visakhapatnam Port,225.5,ICD Raipur,213.04,Petrapole ICP,820.85,Visakhapatnam International Airport (VTZ),222.95,MMLP Visakhapatnam,225.5,Muktyala Terminal,310.75,FCI Depot Raipur,213.2
Baniyagaon,Bastar,414,449380,village,30,9.71,Solapur–Chennai Economic Corridor,576.7,JAGDALPUR,33.36,Amagura,39.22,Visakhapatnam Port,226.63,ICD Raipur,207.73,Petrapole ICP,812.45,Visakhapatnam International Airport (VTZ),223.97,MMLP Visakhapatnam,226.63,Muktyala Terminal,319.19,FCI Depot Raipur,207.89
Amlidhar,Bastar,414,449167,village,63,27.29,Solapur–Chennai Economic Corridor,530.79,Dabpal,31.82,Amagura,70.35,Visakhapatnam Port,245.79,ICD Raipur,221.32,Petrapole ICP,859.37,Visakhapatnam International Airport (VTZ),243.69,MMLP Visakhapatnam,245.79,Vedadri Terminal,283.77,FCI FSD Durg,215.36
