village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Sulcorna,SOUTH GOA,586,626965,village,BALLI,15.78,ICD Mangalore (Panambur),251.5,Mormugao Port,52.0,Mangaluru International Airport (IXE),248.48,Rupaidiha ICP,1611.92
Pirla,SOUTH GOA,586,626964,village,BALLI,12.02,ICD Mangalore (Panambur),252.86,Mormugao Port,48.95,Mangaluru International Airport (IXE),249.92,Rupaidiha ICP,1613.5
Naquerim,SOUTH GOA,586,626952,village,BALLI,7.98,ICD Mangalore (Panambur),258.99,Mormugao Port,38.32,Mangaluru International Airport (IXE),256.41,Rupaidiha ICP,1620.51
Sigonem,SOUTH GOA,586,627017,village,KALEEM,20.31,ICD Mangalore (Panambur),250.53,Mormugao Port,59.01,Mangaluru International Airport (IXE),247.27,Rupaidiha ICP,1605.85
Maina,SOUTH GOA,586,626957,village,BALLI,8.36,ICD Mangalore (Panambur),254.8,Mormugao Port,45.76,Mangaluru International Airport (IXE),251.93,Rupaidiha ICP,1614.38
Bendordem,SOUTH GOA,586,626955,village,BALLI,3.42,ICD Mangalore (Panambur),258.39,Mormugao Port,41.1,Mangaluru International Airport (IXE),255.6,Rupaidiha ICP,1614.26
Curpem,SOUTH GOA,586,627015,village,BALLI,16.5,ICD Mangalore (Panambur),253.63,Mormugao Port,51.41,Mangaluru International Airport (IXE),250.56,Rupaidiha ICP,1608.9
Porteem,SOUTH GOA,586,627011,village,KALEEM,18.01,ICD Mangalore (Panambur),252.91,Mormugao Port,54.33,Mangaluru International Airport (IXE),249.76,Rupaidiha ICP,1606.86
Morpila,SOUTH GOA,586,626953,village,BALLI,4.47,ICD Mangalore (Panambur),258.35,Mormugao Port,39.69,Mangaluru International Airport (IXE),255.66,Rupaidiha ICP,1617.81
Dongor,SOUTH GOA,586,627009,village,KALEEM,17.24,ICD Mangalore (Panambur),253.59,Mormugao Port,56.57,Mangaluru International Airport (IXE),250.34,Rupaidiha ICP,1603.66
Naiquinim,SOUTH GOA,586,627010,village,KALEEM,15.93,ICD Mangalore (Panambur),254.84,Mormugao Port,53.9,Mangaluru International Airport (IXE),251.64,Rupaidiha ICP,1604.37
Fatorpa,SOUTH GOA,586,626950,village,BALLI,3.22,ICD Mangalore (Panambur),261.1,Mormugao Port,37.04,Mangaluru International Airport (IXE),258.42,Rupaidiha ICP,1615.84
Colomba,SOUTH GOA,586,627013,village,BALLI,12.91,ICD Mangalore (Panambur),256.29,Mormugao Port,47.67,Mangaluru International Airport (IXE),253.27,Rupaidiha ICP,1608.76
