state,district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,326,5.29,6.43,76.99386503067484,100.0,100.0,432.49,430.99,0.0,0.0,0.0,22.27,22.79,11.65644171779141,57.97546012269939,100.0,199.71,200.74,0.0,0.0,0.0,171.475,172.17,0.0,0.0,0.0,379.065,379.68,0.0,0.0,0.0,991.765,993.18,0.0,0.0,0.0,174.435,175.11,0.0,0.0,0.0,141.245,141.27,0.0,0.0,0.0,141.405,142.76,0.0,0.0,0.0,141.245,141.27,0.0,0.0,0.0,1172319.0
Andhra Pradesh,East Godavari,271,5.91,6.68,77.49077490774908,100.0,100.0,449.15,449.14,0.0,0.0,0.0,9.87,11.57,50.92250922509225,91.1439114391144,100.0,171.29,173.7,0.0,0.0,0.0,175.24,172.13,0.0,0.0,0.0,346.17,346.97,0.0,0.0,0.0,984.47,983.96,0.0,0.0,0.0,177.17,174.31,0.0,0.0,0.0,124.89,127.32,0.0,0.0,0.0,124.89,128.74,0.0,0.0,0.0,124.89,127.32,0.0,0.0,0.0,1694071.0
Andhra Pradesh,Eluru,674,8.05,9.43,62.01780415430267,95.99406528189913,100.0,392.895,395.23,0.0,0.0,0.0,18.505,22.59,34.56973293768546,57.12166172106825,93.47181008902076,120.065,117.76,0.0,0.0,0.0,234.255,231.51,0.0,0.0,0.0,294.28,291.54,0.0,0.0,0.0,1036.4,1034.23,0.0,0.0,0.0,236.12,232.33,0.0,0.0,0.0,73.295,77.09,0.0,2.225519287833828,15.281899109792285,72.985,76.15,0.0,2.225519287833828,15.281899109792285,73.295,77.09,0.0,2.225519287833828,15.281899109792285,2533959.0
Andhra Pradesh,Guntur,201,8.9,8.74,56.71641791044776,100.0,100.0,313.86,314.2,0.0,0.0,0.0,5.67,7.31,73.13432835820896,100.0,100.0,82.4,79.01,0.0,0.0,0.0,227.58,225.94,0.0,0.0,0.0,247.58,246.88,0.0,0.0,0.0,1137.82,1136.78,0.0,0.0,0.0,239.03,239.36,0.0,0.0,0.0,34.15,34.98,1.4925373134328357,28.855721393034827,81.59203980099502,30.18,30.65,12.437810945273633,36.81592039800995,88.05970149253731,18.48,18.84,10.44776119402985,78.60696517412936,100.0,1074025.0
Andhra Pradesh,Kakinada,421,6.4,6.82,73.87173396674585,100.0,100.0,492.03,494.26,0.0,0.0,0.0,10.65,12.03,46.79334916864608,96.19952494061758,100.0,203.27,201.85,0.0,0.0,0.0,119.71,116.5,0.0,0.0,0.0,397.41,398.44,0.0,0.0,0.0,935.2,932.75,0.0,0.0,0.0,121.97,118.82,0.0,0.0,0.0,119.71,116.5,0.0,0.0,0.0,180.95,185.19,0.0,0.0,0.0,119.71,116.5,0.0,0.0,0.0,1514240.0
Andhra Pradesh,Krishna,497,3.36,4.37,92.5553319919517,99.59758551307849,100.0,351.29,349.31,0.0,0.0,0.0,7.69,8.97,60.160965794768615,99.3963782696177,100.0,112.42,112.63,0.0,0.0,0.0,247.05,244.32,0.0,0.0,0.0,292.04,291.76,0.0,0.0,0.0,1092.46,1093.28,0.0,0.0,0.0,272.63,273.42,0.0,0.0,0.0,43.01,43.55,1.4084507042253522,16.901408450704224,62.17303822937625,43.01,43.55,1.4084507042253522,16.901408450704224,62.17303822937625,43.01,43.43,1.4084507042253522,16.901408450704224,62.17303822937625,2035649.0
Andhra Pradesh,Kurnool,476,10.68,11.33,48.31932773109244,94.74789915966386,100.0,70.905,71.31,0.0,0.0,18.487394957983195,11.04,13.09,46.00840336134453,86.34453781512606,100.0,181.76,181.42,0.0,0.0,0.0,327.34000000000003,320.87,0.0,0.0,0.0,222.1,223.68,0.0,0.0,0.0,1415.52,1417.17,0.0,0.0,0.0,199.95,200.93,0.0,0.0,0.0,114.47,111.81,0.0,0.0,0.0,335.8,327.12,0.0,0.0,0.0,138.395,144.88,0.0,0.0,0.0,1866517.0
Andhra Pradesh,NTR,317,4.97,6.11,80.12618296529969,100.0,100.0,317.69,318.36,0.0,0.0,0.0,15.27,15.79,32.17665615141956,82.96529968454259,100.0,39.97,39.93,9.779179810725552,29.02208201892745,62.14511041009464,277.91,278.37,0.0,0.0,0.0,218.54,218.25,0.0,0.0,0.0,1105.76,1101.75,0.0,0.0,0.0,217.11,216.1,0.0,0.0,0.0,46.93,44.74,4.73186119873817,18.29652996845426,55.5205047318612,18.07,20.1,19.87381703470032,71.60883280757098,99.05362776025235,46.37,44.59,4.73186119873817,18.29652996845426,56.46687697160884,1763847.0
Andhra Pradesh,Nandyal,489,4.67,5.28,86.50306748466258,100.0,100.0,129.6,129.53,0.0,0.0,0.0,20.88,22.33,22.290388548057265,59.30470347648262,97.34151329243352,197.56,192.71,0.0,0.0,0.0,232.36,233.49,0.0,0.0,0.0,229.44,219.6,0.0,0.0,0.0,1372.89,1370.6,0.0,0.0,0.0,205.61,196.08,0.0,0.0,0.0,111.29,113.79,0.0,0.0,0.0,261.41,261.85,0.0,0.0,0.0,198.72,193.78,0.0,0.0,0.0,2286334.0
Andhra Pradesh,Palnadu,402,8.715,9.76,56.21890547263681,98.50746268656717,100.0,257.20500000000004,256.17,0.0,0.0,0.0,9.135,10.19,55.970149253731336,97.01492537313432,100.0,48.695,50.33,1.4925373134328357,11.940298507462686,52.736318407960205,240.12,234.2,0.0,0.0,0.0,197.9,193.36,0.0,0.0,0.0,1175.18,1177.29,0.0,0.0,0.0,187.14,183.14,0.0,0.0,0.0,81.29499999999999,84.23,0.0,0.2487562189054726,11.442786069651742,65.06,67.67,0.0,5.970149253731343,28.60696517412935,61.56,62.99,0.0,5.223880597014925,38.55721393034826,3153668.0
Andhra Pradesh,Parvathipuram Manyam,971,26.0,25.5,8.032955715756952,46.85890834191555,100.0,637.11,636.69,0.0,0.0,0.0,15.16,14.41,31.51390319258496,93.61483007209064,100.0,146.32,146.1,0.0,0.0,0.0,121.5,122.43,0.0,0.0,0.0,286.18,290.7,0.0,0.0,0.0,713.4,718.66,0.0,0.0,0.0,119.93,119.97,0.0,0.0,0.0,123.57,123.71,0.0,0.0,0.0,292.33,296.2,0.0,0.0,0.0,123.57,123.71,0.0,0.0,0.0,965360.0
Andhra Pradesh,Prakasam,872,8.26,9.48,58.142201834862384,98.5091743119266,100.0,214.23,213.72,0.0,0.0,0.0,20.585,22.15,27.178899082568808,59.86238532110092,96.55963302752292,123.545,121.44,0.0,0.0,0.0,163.37,163.7,0.0,0.0,0.0,231.78,227.0,0.0,0.0,0.0,1261.08,1265.9,0.0,0.0,0.0,218.23,215.15,0.0,0.0,0.0,156.575,156.12,0.0,0.0,0.0,151.28,154.76,0.0,0.0,0.0,129.57,131.73,0.0,0.0,0.0,2822529.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,728,6.92,7.96,66.07142857142857,99.72527472527472,100.0,143.76999999999998,147.19,0.0,0.0,0.0,22.935,26.26,20.741758241758244,53.15934065934066,87.91208791208791,67.675,69.69,1.3736263736263736,8.516483516483516,30.08241758241758,67.675,69.69,1.3736263736263736,8.516483516483516,30.08241758241758,171.94,175.26,0.0,0.0,0.0,1318.56,1317.5,0.0,0.0,0.0,189.79,192.55,0.0,0.0,0.0,166.53,163.26,0.0,0.0,0.0,224.915,223.81,0.0,0.0,0.0,121.555,118.88,0.0,0.0,0.0,2529991.0
Andhra Pradesh,Sri Sathya Sai,476,5.359999999999999,7.0,76.68067226890757,97.47899159663864,100.0,120.3,119.6,0.0,0.0,0.0,10.68,14.36,47.89915966386555,84.66386554621849,98.31932773109244,169.77,166.72,0.0,0.0,0.0,255.245,249.7,0.0,0.0,0.0,128.825,130.56,0.0,0.0,0.0,1506.805,1511.84,0.0,0.0,0.0,104.01,105.7,0.0,0.0,0.0,79.205,74.62,0.0,0.8403361344537815,15.756302521008402,392.94,393.05,0.0,0.0,0.0,124.615,126.95,0.0,0.0,0.0,1967670.0
Andhra Pradesh,Srikakulam,1428,5.27,6.44,80.3921568627451,99.08963585434174,100.0,610.655,607.92,0.0,0.0,0.0,6.27,7.92,70.44817927170868,100.0,100.0,204.21,205.74,0.0,0.0,0.0,132.44,133.94,0.0,0.0,0.0,256.395,253.85,0.0,0.0,0.0,687.22,684.79,0.0,0.0,0.0,132.99,133.37,0.0,0.0,0.0,136.305,138.07,0.0,0.0,0.0,280.77,280.48,0.0,0.0,0.0,136.305,136.64,0.0,0.0,0.0,1942334.0
Andhra Pradesh,Tirupati,1056,4.92,6.82,74.43181818181817,99.24242424242424,100.0,51.165000000000006,51.26,3.5037878787878785,12.405303030303031,48.29545454545455,7.285,9.54,64.01515151515152,96.68560606060606,100.0,64.095,66.32,0.0946969696969697,3.4090909090909087,24.33712121212121,62.0,64.91,0.0946969696969697,3.4090909090909087,27.935606060606062,81.805,81.09,0.0,0.0,6.8181818181818175,1384.705,1388.22,0.0,0.0,0.0,105.045,102.86,0.0,0.0,0.8522727272727272,81.315,80.08,0.0,0.5681818181818182,11.079545454545457,312.29999999999995,314.85,0.0,0.0,0.0,47.49,46.39,5.492424242424242,17.803030303030305,54.82954545454546,1818614.0
Andhra Pradesh,Visakhapatnam,95,3.23,4.12,93.6842105263158,100.0,100.0,624.84,621.41,0.0,0.0,0.0,7.61,8.89,62.10526315789474,100.0,100.0,175.33,176.14,0.0,0.0,0.0,26.05,25.01,8.421052631578947,44.21052631578947,100.0,364.2,367.73,0.0,0.0,0.0,795.19,798.73,0.0,0.0,0.0,24.7,23.27,10.526315789473683,51.578947368421055,100.0,28.46,26.53,7.368421052631578,40.0,100.0,320.94,318.62,0.0,0.0,0.0,28.46,26.53,7.368421052631578,40.0,100.0,466714.0
Andhra Pradesh,Vizianagaram,970,7.84,10.9,56.90721649484536,89.79381443298969,100.0,652.26,649.55,0.0,0.0,0.0,7.585,8.95,63.91752577319587,99.58762886597938,100.0,158.97,159.54,0.0,0.0,0.0,71.66499999999999,69.86,0.0,1.0309278350515465,23.91752577319588,329.185,330.29,0.0,0.0,0.0,759.46,760.45,0.0,0.0,0.0,69.01,67.76,0.0,2.3711340206185567,26.5979381443299,72.665,71.39,0.0,1.0309278350515465,22.37113402061856,328.79999999999995,327.04,0.0,0.0,0.0,72.665,71.39,0.0,1.0309278350515465,22.37113402061856,2092958.0
Andhra Pradesh,West Godavari,299,5.51,5.68,86.2876254180602,100.0,100.0,408.71,408.0,0.0,0.0,0.0,5.95,6.59,79.59866220735786,100.0,100.0,162.72,162.84,0.0,0.0,0.0,204.55,205.3,0.0,0.0,0.0,343.29,343.04,0.0,0.0,0.0,1022.36,1023.49,0.0,0.0,0.0,207.06,207.95,0.0,0.0,0.0,104.27,103.57,0.0,0.0,0.0,104.27,103.57,0.0,0.0,0.0,104.27,103.57,0.0,0.0,0.0,1146158.0
Andhra Pradesh,Y.S.R.,729,4.81,5.89,80.65843621399176,100.0,100.0,168.57,166.41,0.0,0.0,0.0,18.64,20.13,30.727023319615917,62.002743484224965,99.039780521262,166.1,168.02,0.0,0.0,0.0,166.1,168.5,0.0,0.0,0.0,194.27,194.44,0.0,0.0,0.0,1398.91,1397.96,0.0,0.0,0.0,192.79,193.93,0.0,0.0,0.0,114.23,114.46,0.0,0.0,0.2743484224965706,286.57,285.04,0.0,0.0,0.0,147.02,146.59,0.0,0.0,0.0,1954000.0
Andhra Pradesh,__STATE__,18050,,8.434625178201774,64.05540166204986,93.23545706371192,100.0,,311.31505608368604,1.4736842105263157,2.9085872576177287,6.160664819944598,,16.610255866028137,39.119113573407205,73.35734072022161,94.0,,134.57508289234218,0.2659279778393352,1.3185595567867037,4.903047091412742,,174.96314052609466,0.1163434903047091,1.3905817174515234,7.307479224376731,,246.72005084223707,0.0055401662049861,0.3213296398891966,2.376731301939058,,1151.5121200172175,0.0,0.0,0.0,,165.9990672133795,0.077562326869806,0.925207756232687,4.759002770083103,,96.4393610911979,0.3324099722991689,2.642659279778393,12.238227146814404,,214.79397340170627,0.5263157894736842,2.349030470914127,5.983379501385041,,99.2583638926292,0.6094182825484765,3.872576177285319,15.296398891966758,49400462.0
Arunachal Pradesh,ANJAW,1,8.38,8.38,100.0,100.0,100.0,1021.25,1021.25,0.0,0.0,0.0,138.59,138.59,0.0,0.0,0.0,481.15,481.15,0.0,0.0,0.0,1033.72,1033.72,0.0,0.0,0.0,545.29,545.29,0.0,0.0,0.0,482.68,482.68,0.0,0.0,0.0,557.0,557.0,0.0,0.0,0.0,531.64,531.64,0.0,0.0,0.0,120.32,120.32,0.0,0.0,0.0,200.46,200.46,0.0,0.0,0.0,18748.0
Arunachal Pradesh,BICHOM,1,24.0,24.0,0.0,100.0,100.0,676.73,676.73,0.0,0.0,0.0,83.75,83.75,0.0,0.0,0.0,160.76,160.76,0.0,0.0,0.0,689.96,689.96,0.0,0.0,0.0,176.22,176.22,0.0,0.0,0.0,121.91,121.91,0.0,0.0,0.0,187.85,187.85,0.0,0.0,0.0,244.43,244.43,0.0,0.0,0.0,105.84,105.84,0.0,0.0,0.0,113.77,113.77,0.0,0.0,0.0,26947.0
Arunachal Pradesh,CHANGLANG,1,1.8,1.8,100.0,100.0,100.0,909.01,909.01,0.0,0.0,0.0,32.5,32.5,0.0,0.0,100.0,365.62,365.62,0.0,0.0,0.0,921.35,921.35,0.0,0.0,0.0,443.77,443.77,0.0,0.0,0.0,370.3,370.3,0.0,0.0,0.0,455.0,455.0,0.0,0.0,0.0,416.93,416.93,0.0,0.0,0.0,72.29,72.29,0.0,0.0,0.0,113.62,113.62,0.0,0.0,0.0,144249.0
Arunachal Pradesh,DIBANG VALLEY,1,11.39,11.39,0.0,100.0,100.0,1004.21,1004.21,0.0,0.0,0.0,160.23,160.23,0.0,0.0,0.0,496.34,496.34,0.0,0.0,0.0,1017.15,1017.15,0.0,0.0,0.0,507.07,507.07,0.0,0.0,0.0,450.15,450.15,0.0,0.0,0.0,519.34,519.34,0.0,0.0,0.0,538.02,538.02,0.0,0.0,0.0,118.72,118.72,0.0,0.0,0.0,183.21,183.21,0.0,0.0,0.0,7871.0
Arunachal Pradesh,EAST KAMENG,1,23.3,23.3,0.0,100.0,100.0,704.68,704.68,0.0,0.0,0.0,88.14,88.14,0.0,0.0,0.0,188.39,188.39,0.0,0.0,0.0,717.86,717.86,0.0,0.0,0.0,201.6,201.6,0.0,0.0,0.0,144.23,144.23,0.0,0.0,0.0,213.79,213.79,0.0,0.0,0.0,282.1,282.1,0.0,0.0,0.0,89.97,89.97,0.0,0.0,0.0,73.57,73.57,0.0,0.0,0.0,44539.0
Arunachal Pradesh,EAST SIANG,1,8.11,8.11,100.0,100.0,100.0,909.26,909.26,0.0,0.0,0.0,64.16,64.16,0.0,0.0,0.0,399.66,399.66,0.0,0.0,0.0,922.08,922.08,0.0,0.0,0.0,418.24,418.24,0.0,0.0,0.0,362.72,362.72,0.0,0.0,0.0,430.34,430.34,0.0,0.0,0.0,436.99,436.99,0.0,0.0,0.0,35.47,35.47,0.0,0.0,100.0,81.83,81.83,0.0,0.0,0.0,41837.0
Arunachal Pradesh,KAMLE,1,7.44,7.44,100.0,100.0,100.0,788.93,788.93,0.0,0.0,0.0,80.04,80.04,0.0,0.0,0.0,280.5,280.5,0.0,0.0,0.0,801.94,801.94,0.0,0.0,0.0,290.84,290.84,0.0,0.0,0.0,234.16,234.16,0.0,0.0,0.0,303.09,303.09,0.0,0.0,0.0,339.98,339.98,0.0,0.0,0.0,81.15,81.15,0.0,0.0,0.0,81.15,81.15,0.0,0.0,0.0,51100.0
Arunachal Pradesh,KEYI PANYOR,1,4.53,4.53,100.0,100.0,100.0,743.41,743.41,0.0,0.0,0.0,95.25,95.25,0.0,0.0,0.0,233.48,233.48,0.0,0.0,0.0,756.46,756.46,0.0,0.0,0.0,244.05,244.05,0.0,0.0,0.0,187.19,187.19,0.0,0.0,0.0,256.31,256.31,0.0,0.0,0.0,304.45,304.45,0.0,0.0,0.0,89.75,89.75,0.0,0.0,0.0,47.01,47.01,0.0,0.0,100.0,42310.0
Arunachal Pradesh,KRA DAADI,1,25.04,25.04,0.0,0.0,100.0,783.95,783.95,0.0,0.0,0.0,121.03,121.03,0.0,0.0,0.0,269.19,269.19,0.0,0.0,0.0,797.08,797.08,0.0,0.0,0.0,281.55,281.55,0.0,0.0,0.0,224.02,224.02,0.0,0.0,0.0,293.83,293.83,0.0,0.0,0.0,353.89,353.89,0.0,0.0,0.0,122.15,122.15,0.0,0.0,0.0,96.87,96.87,0.0,0.0,0.0,31538.0
Arunachal Pradesh,KURUNG KUMEY,1,20.0,20.0,0.0,100.0,100.0,746.17,746.17,0.0,0.0,0.0,134.72,134.72,0.0,0.0,0.0,229.28,229.28,0.0,0.0,0.0,759.39,759.39,0.0,0.0,0.0,243.68,243.68,0.0,0.0,0.0,187.15,187.15,0.0,0.0,0.0,255.67,255.67,0.0,0.0,0.0,315.87,315.87,0.0,0.0,0.0,135.88,135.88,0.0,0.0,0.0,106.57,106.57,0.0,0.0,0.0,62189.0
Arunachal Pradesh,LEPA RADA,1,12.04,12.04,0.0,100.0,100.0,845.79,845.79,0.0,0.0,0.0,51.49,51.49,0.0,0.0,0.0,340.59,340.59,0.0,0.0,0.0,858.72,858.72,0.0,0.0,0.0,350.4,350.4,0.0,0.0,0.0,294.16,294.16,0.0,0.0,0.0,362.59,362.59,0.0,0.0,0.0,385.01,385.01,0.0,0.0,0.0,52.39,52.39,0.0,0.0,0.0,52.39,52.39,0.0,0.0,0.0,10341.0
Arunachal Pradesh,LOHIT,1,6.12,6.12,100.0,100.0,100.0,962.12,962.12,0.0,0.0,0.0,84.33,84.33,0.0,0.0,0.0,431.9,431.9,0.0,0.0,0.0,974.74,974.74,0.0,0.0,0.0,480.55,480.55,0.0,0.0,0.0,426.75,426.75,0.0,0.0,0.0,492.39,492.39,0.0,0.0,0.0,477.75,477.75,0.0,0.0,0.0,53.47,53.47,0.0,0.0,0.0,135.22,135.22,0.0,0.0,0.0,93174.0
Arunachal Pradesh,LONGDING,1,0.23,0.23,100.0,100.0,100.0,825.16,825.16,0.0,0.0,0.0,29.23,29.23,0.0,0.0,100.0,285.73,285.73,0.0,0.0,0.0,837.52,837.52,0.0,0.0,0.0,363.65,363.65,0.0,0.0,0.0,302.11,302.11,0.0,0.0,0.0,374.56,374.56,0.0,0.0,0.0,334.21,334.21,0.0,0.0,0.0,66.85,66.85,0.0,0.0,0.0,75.51,75.51,0.0,0.0,0.0,48699.0
Arunachal Pradesh,LOWER DIBANG VALLEY,1,1.87,1.87,100.0,100.0,100.0,954.16,954.16,0.0,0.0,0.0,88.68,88.68,0.0,0.0,0.0,436.08,436.08,0.0,0.0,0.0,966.93,966.93,0.0,0.0,0.0,465.22,465.22,0.0,0.0,0.0,409.95,409.95,0.0,0.0,0.0,477.28,477.28,0.0,0.0,0.0,477.17,477.17,0.0,0.0,0.0,47.42,47.42,0.0,0.0,100.0,124.18,124.18,0.0,0.0,0.0,31748.0
Arunachal Pradesh,LOWER SIANG,1,18.99,18.99,0.0,100.0,100.0,827.02,827.02,0.0,0.0,0.0,48.21,48.21,0.0,0.0,100.0,322.29,322.29,0.0,0.0,0.0,839.96,839.96,0.0,0.0,0.0,331.93,331.93,0.0,0.0,0.0,275.84,275.84,0.0,0.0,0.0,344.11,344.11,0.0,0.0,0.0,367.23,367.23,0.0,0.0,0.0,49.3,49.3,0.0,0.0,100.0,49.3,49.3,0.0,0.0,100.0,30643.0
