state,district,district_code,pop_2011,is_island,primary_port,primary_port_probability,primary_port_drive_hours,secondary_port,secondary_port_probability,secondary_port_drive_hours,hinterland_category,contestability_index
Bihar,Patna,230.0,5784679,False,Paradip Port,32.7,12.79,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.7,10.09,Highly Contested / Split Hinterland,0.92
Bihar,Purba Champaran,204.0,5146506,False,Paradip Port,27.0,16.47,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.1,11.76,Highly Contested / Split Hinterland,0.971
Bihar,Purnia,211.0,3251889,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),40.3,7.09,Paradip Port,25.5,14.04,Highly Contested / Split Hinterland,0.853
Bihar,Rohtas,234.0,2984513,False,Paradip Port,34.8,11.29,Syama Prasad Mookerjee Port (Kolkata/Haldia),22.3,9.86,Highly Contested / Split Hinterland,0.874
Bihar,Saharsa,214.0,1883790,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),36.2,8.37,Paradip Port,26.2,15.31,Highly Contested / Split Hinterland,0.9
Bihar,Samastipur,221.0,3912435,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),30.8,9.07,Paradip Port,28.5,14.28,Highly Contested / Split Hinterland,0.977
Bihar,Saran,219.0,3958308,False,Paradip Port,31.3,14.09,Syama Prasad Mookerjee Port (Kolkata/Haldia),24.4,10.93,Highly Contested / Split Hinterland,0.93
Bihar,Sheikhpura,228.0,662779,False,Paradip Port,31.1,13.92,Syama Prasad Mookerjee Port (Kolkata/Haldia),25.3,10.5,Highly Contested / Split Hinterland,0.942
Bihar,Sheohar,205.0,683510,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),28.5,11.32,Paradip Port,25.3,18.27,Highly Contested / Split Hinterland,0.968
Bihar,Sitamarhi,206.0,3260983,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),26.9,11.47,Paradip Port,24.7,18.11,Highly Contested / Split Hinterland,0.979
Bihar,Siwan,218.0,3346257,False,Paradip Port,31.4,14.61,Syama Prasad Mookerjee Port (Kolkata/Haldia),19.0,13.17,Highly Contested / Split Hinterland,0.877
Bihar,Supaul,208.0,2205224,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),35.6,8.56,Paradip Port,26.1,15.5,Highly Contested / Split Hinterland,0.906
Bihar,Vaishali,220.0,3509985,False,Syama Prasad Mookerjee Port (Kolkata/Haldia),27.9,11.4,Paradip Port,24.9,18.34,Highly Contested / Split Hinterland,0.97
Chandigarh,CHANDIGARH,55.0,1055450,False,Deendayal Port (Kandla),34.4,15.48,Paradip Port,13.7,28.41,Highly Contested / Split Hinterland,0.793
Chhattisgarh,BALOD,645.0,1319276,False,Paradip Port,26.4,12.28,Visakhapatnam Port,15.4,12.59,Highly Contested / Split Hinterland,0.89
Chhattisgarh,BALODA BAZAR,646.0,1299581,False,Paradip Port,29.3,11.97,Visakhapatnam Port,17.1,12.29,Highly Contested / Split Hinterland,0.877
Chhattisgarh,BALRAMPUR,642.0,949237,False,Paradip Port,36.9,11.27,Syama Prasad Mookerjee Port (Kolkata/Haldia),23.6,9.83,Highly Contested / Split Hinterland,0.867
Chhattisgarh,BASTAR,414.0,717379,False,Visakhapatnam Port,43.0,5.45,Paradip Port,20.7,11.46,Highly Contested / Split Hinterland,0.777
Chhattisgarh,BEMETARA,644.0,1112540,False,Paradip Port,30.7,10.97,Visakhapatnam Port,17.0,11.63,Highly Contested / Split Hinterland,0.862
Chhattisgarh,BIJAPUR,417.0,252415,False,Visakhapatnam Port,36.3,7.15,Paradip Port,21.8,13.16,Highly Contested / Split Hinterland,0.855
Chhattisgarh,BILASPUR,406.0,1140557,False,Paradip Port,34.9,9.86,Visakhapatnam Port,15.0,12.16,Highly Contested / Split Hinterland,0.801
Chhattisgarh,DAKSHIN BASTAR DANTEWARA,416.0,168700,False,Visakhapatnam Port,38.6,6.49,Paradip Port,21.5,12.5,Highly Contested / Split Hinterland,0.829
Chhattisgarh,DHAMTARI,412.0,803752,False,Paradip Port,27.7,12.35,Visakhapatnam Port,16.1,12.67,Highly Contested / Split Hinterland,0.885
Chhattisgarh,DURG,409.0,899331,False,Paradip Port,30.4,10.3,Visakhapatnam Port,17.6,10.61,Highly Contested / Split Hinterland,0.872
Chhattisgarh,GARIYABAND,647.0,1591045,False,Paradip Port,28.9,12.18,Visakhapatnam Port,16.9,12.49,Highly Contested / Split Hinterland,0.879
Chhattisgarh,GAURELA-PENDRA-MARWAHI,669.0,639668,False,Paradip Port,23.9,16.72,Visakhapatnam Port,13.6,17.39,Highly Contested / Split Hinterland,0.897
Chhattisgarh,JANJGIR - CHAMPA,405.0,930498,False,Paradip Port,39.5,8.73,Syama Prasad Mookerjee Port (Kolkata/Haldia),15.1,10.4,Highly Contested / Split Hinterland,0.757
Chhattisgarh,JASHPUR,402.0,854099,False,Paradip Port,31.1,13.26,Visakhapatnam Port,14.5,15.56,Highly Contested / Split Hinterland,0.835
Chhattisgarh,KAWARDHA (KABIRDHAM),407.0,821339,False,Paradip Port,29.9,11.54,Visakhapatnam Port,16.6,12.21,Highly Contested / Split Hinterland,0.867
Chhattisgarh,KHAIRGARH-CHHUIKHADAN-GANDAI,755.0,444624,False,Paradip Port,28.5,11.82,Visakhapatnam Port,16.6,12.13,Highly Contested / Split Hinterland,0.881
Chhattisgarh,KONDAGAON,648.0,697653,False,Visakhapatnam Port,39.9,6.26,Paradip Port,21.6,12.27,Highly Contested / Split Hinterland,0.817
Chhattisgarh,KORBA,404.0,1211399,False,Paradip Port,33.4,11.04,Visakhapatnam Port,14.9,13.34,Highly Contested / Split Hinterland,0.815
Chhattisgarh,KOREA,400.0,247263,False,Paradip Port,34.9,13.38,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.5,11.94,Highly Contested / Split Hinterland,0.866
Chhattisgarh,MAHASAMUND,411.0,1030211,False,Paradip Port,37.0,8.73,Visakhapatnam Port,16.9,10.4,Highly Contested / Split Hinterland,0.798
Chhattisgarh,MANENDRAGARH-CHIRMIRI-BHARATPUR,758.0,412863,False,Paradip Port,34.4,14.04,Syama Prasad Mookerjee Port (Kolkata/Haldia),21.0,12.61,Highly Contested / Split Hinterland,0.866
Chhattisgarh,MOHLA-MANPUR-AMBAGARH CHOWKI,756.0,468694,False,Paradip Port,24.6,13.08,Visakhapatnam Port,14.4,13.4,Highly Contested / Split Hinterland,0.898
Chhattisgarh,MUNGELI,643.0,885696,False,Paradip Port,33.5,10.98,Visakhapatnam Port,14.9,13.28,Highly Contested / Split Hinterland,0.814
Chhattisgarh,NARAYANPUR,415.0,144234,False,Paradip Port,18.5,18.03,Jawaharlal Nehru Port (JNPT),14.5,15.93,Highly Contested / Split Hinterland,0.96
