village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
THASKA ALI,KURUKSHETRA,72,58341,village,SHAHBAD MARKNDA,11.25,Chajli,90.07,Deendayal Port (Kandla),1005.76,ICD Baddi,84.75,Attari ICP,226.3,Indira Gandhi International Airport (DEL),181.19,MMLP Sangrur,85.69,Varanasi Multi-Modal Terminal,803.21,FCI Depot Patiala,37.99
MANMUDPUR,YAMUNANAGAR,71,57922,village,KALANOUR,1.31,Naultha,94.7,Dahej Port,1027.64,ICD Baddi,109.7,Attari ICP,283.43,Indira Gandhi International Airport (DEL),168.64,MMLP Sangrur,144.4,Varanasi Multi-Modal Terminal,752.34,FCI Depot Karnal,55.72
KARAMGARH,JIND,77,59982,village,DHARODI,2.05,Chajli,49.55,Deendayal Port (Kandla),916.01,ICD Ludhiana,139.63,Attari ICP,210.66,Indira Gandhi International Airport (DEL),155.62,MMLP Sangrur,68.32,Varanasi Multi-Modal Terminal,821.18,FCI Depot Kaithal,39.29
ADHOI,AMBALA,70,57642,village,BARARA,3.41,Naultha,95.7,Dahej Port,1022.74,ICD Baddi,87.13,Attari ICP,249.32,Indira Gandhi International Airport (DEL),178.33,MMLP Sangrur,111.21,Varanasi Multi-Modal Terminal,783.92,FCI Depot Karnal,54.94
Bhagwanpur,YAMUNANAGAR,71,57798,village,DARAZPUR,17.03,Naultha,78.63,Dahej Port,1010.21,ICD Baddi,109.35,Attari ICP,268.2,Indira Gandhi International Airport (DEL),158.31,MMLP Sangrur,125.1,Varanasi Multi-Modal Terminal,762.28,FCI Depot Karnal,37.61
JHIJRON,YAMUNANAGAR,71,57882,village,DARAZPUR,3.93,Naultha,92.2,Dahej Port,1023.99,ICD Baddi,100.18,Attari ICP,268.82,Indira Gandhi International Airport (DEL),170.7,MMLP Sangrur,129.68,Varanasi Multi-Modal Terminal,765.4,FCI Depot Karnal,51.32
AMRITSAR,JIND,77,59976,village,Gurthuri,5.39,Chajli,50.14,Deendayal Port (Kandla),928.0,ICD Ludhiana,135.17,Attari ICP,213.19,Indira Gandhi International Airport (DEL),153.69,MMLP Sangrur,66.23,Varanasi Multi-Modal Terminal,815.59,FCI Depot Kaithal,26.53
SHERPUR VIRAN,KARNAL,74,59100,village,AMIN,7.54,Naultha,63.69,Dahej Port,992.78,ICD Baddi,117.68,Attari ICP,261.03,Indira Gandhi International Airport (DEL),146.77,MMLP Sangrur,113.99,Varanasi Multi-Modal Terminal,765.91,FCI Depot Karnal,23.09
PAMUWALA,YAMUNANAGAR,71,58019,village,MUSTAFABAD,33.56,Sanehwal,128.68,Dahej Port,1060.22,ICD Baddi,70.89,Attari ICP,261.57,Indira Gandhi International Airport (DEL),208.63,MMLP Sangrur,137.2,Varanasi Multi-Modal Terminal,786.61,FCI Depot Dehradun,74.2
RAIN MAJRA,KURUKSHETRA,72,58340,village,SHAHBAD MARKNDA,9.25,Chajli,92.33,Deendayal Port (Kandla),1007.59,ICD Baddi,84.15,Attari ICP,228.03,Indira Gandhi International Airport (DEL),181.29,MMLP Sangrur,87.85,Varanasi Multi-Modal Terminal,801.86,FCI Depot Patiala,39.76
