village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
CHAK 11 N P,GANGANAGAR,99,065337,village,911,7.43,Amritsar–Jamnagar Expressway,67.87,Mohan Nagar,3.19,Ladhuka,124.51,Deendayal Port (Kandla),772.47,ICD Ludhiana,270.14,Attari ICP,204.77,Sri Guru Ram Dass Jee International Airport (ATQ),271.77,MMLP Sangrur,236.36,Varanasi Multi-Modal Terminal,1024.49,FCI Depot Bathinda,157.4,HANUMANGARH Toll Plaza,78.35
CHAK 2 N P,GANGANAGAR,99,065295,village,911,16.24,Amritsar–Jamnagar Expressway,59.34,Mohan Nagar,9.77,Ladhuka,119.85,Deendayal Port (Kandla),777.18,ICD Ludhiana,261.97,Attari ICP,199.59,Sri Guru Ram Dass Jee International Airport (ATQ),267.11,MMLP Sangrur,227.14,Varanasi Multi-Modal Terminal,1015.93,FCI Depot Bathinda,148.84,HANUMANGARH Toll Plaza,68.66
CHAK 41 P S  (JATON) (KAPRIAWALA),GANGANAGAR,99,065209,village,911,7.21,Amritsar–Jamnagar Expressway,92.16,Rai Singh Nagar,20.69,Ladhuka,139.07,Deendayal Port (Kandla),760.95,ICD Ludhiana,292.24,Attari ICP,219.62,Sri Guru Ram Dass Jee International Airport (ATQ),284.94,MMLP Sangrur,261.19,Varanasi Multi-Modal Terminal,1048.01,FCI Depot Bathinda,180.73,BIKANER Toll Plaza,98.65
DULASAR,GANGANAGAR,99,065215,village,911,3.54,Amritsar–Jamnagar Expressway,87.65,Rai Singh Nagar,17.31,Ladhuka,137.83,Deendayal Port (Kandla),761.25,ICD Ludhiana,289.51,Attari ICP,218.43,Sri Guru Ram Dass Jee International Airport (ATQ),284.12,MMLP Sangrur,257.69,Varanasi Multi-Modal Terminal,1043.51,FCI Depot Bathinda,177.65,BIKANER Toll Plaza,94.45
RAMSARA KUMHARAN,GANGANAGAR,99,065216,village,911,1.96,Amritsar–Jamnagar Expressway,84.47,Rai Singh Nagar,14.14,Ladhuka,135.64,Deendayal Port (Kandla),762.92,ICD Ludhiana,286.47,Attari ICP,216.24,Sri Guru Ram Dass Jee International Airport (ATQ),282.16,MMLP Sangrur,254.34,Varanasi Multi-Modal Terminal,1040.47,FCI Depot Bathinda,174.46,BIKANER Toll Plaza,92.12
CHAK 42 N P,GANGANAGAR,99,065345,village,911,0.41,Amritsar–Jamnagar Expressway,78.71,Rai Singh Nagar,7.97,Ladhuka,130.76,Deendayal Port (Kandla),767.06,ICD Ludhiana,280.12,Attari ICP,211.32,Sri Guru Ram Dass Jee International Airport (ATQ),277.61,MMLP Sangrur,247.6,Varanasi Multi-Modal Terminal,1035.06,FCI Depot Bathinda,167.91,BIKANER Toll Plaza,88.58
CHAK 4 N P,GANGANAGAR,99,065293,village,911,13.38,Amritsar–Jamnagar Expressway,62.06,Mohan Nagar,7.43,Ladhuka,120.66,Deendayal Port (Kandla),776.28,ICD Ludhiana,264.04,Attari ICP,200.59,Sri Guru Ram Dass Jee International Airport (ATQ),267.95,MMLP Sangrur,229.65,Varanasi Multi-Modal Terminal,1018.68,FCI Depot Bathinda,151.05,HANUMANGARH Toll Plaza,71.49
CHAK 1 N P,GANGANAGAR,99,065296,village,911,17.17,Amritsar–Jamnagar Expressway,58.63,Mohan Nagar,10.94,Ladhuka,118.99,Deendayal Port (Kandla),778.08,ICD Ludhiana,260.83,Attari ICP,198.67,Sri Guru Ram Dass Jee International Airport (ATQ),266.23,MMLP Sangrur,225.97,Varanasi Multi-Modal Terminal,1015.18,FCI Depot Bathinda,147.68,HANUMANGARH Toll Plaza,67.59
CHAK 26 N P,GANGANAGAR,99,065286,village,911,4.46,Amritsar–Jamnagar Expressway,71.75,Rai Singh Nagar,5.59,Ladhuka,126.32,Deendayal Port (Kandla),770.86,ICD Ludhiana,273.43,Attari ICP,206.73,Sri Guru Ram Dass Jee International Airport (ATQ),273.48,MMLP Sangrur,240.18,Varanasi Multi-Modal Terminal,1028.32,FCI Depot Bathinda,160.9,HANUMANGARH Toll Plaza,82.46
CHAK 34 P S,GANGANAGAR,99,065204,village,911,5.97,Amritsar–Jamnagar Expressway,88.24,Rai Singh Nagar,15.68,Ladhuka,134.9,Deendayal Port (Kandla),764.42,ICD Ludhiana,287.34,Attari ICP,215.49,Sri Guru Ram Dass Jee International Airport (ATQ),281.07,MMLP Sangrur,256.17,Varanasi Multi-Modal Terminal,1044.38,FCI Depot Bathinda,175.74,BIKANER Toll Plaza,96.31
CHAK 40 P S,GANGANAGAR,99,065207,village,911,8.41,Amritsar–Jamnagar Expressway,91.96,Rai Singh Nagar,19.29,Ladhuka,136.86,Deendayal Port (Kandla),763.21,ICD Ludhiana,290.36,Attari ICP,217.41,Sri Guru Ram Dass Jee International Airport (ATQ),282.69,MMLP Sangrur,259.66,Varanasi Multi-Modal Terminal,1048.01,FCI Depot Bathinda,179.0,BIKANER Toll Plaza,99.34
CHAK 16 T K,GANGANAGAR,99,065262,village,911,13.51,Amritsar–Jamnagar Expressway,62.47,Mohan Nagar,8.85,Ladhuka,118.87,Deendayal Port (Kandla),778.07,ICD Ludhiana,262.65,Attari ICP,198.83,Sri Guru Ram Dass Jee International Airport (ATQ),266.16,MMLP Sangrur,228.61,Varanasi Multi-Modal Terminal,1019.02,FCI Depot Bathinda,149.76,HANUMANGARH Toll Plaza,71.0
CHAK 15 T K,GANGANAGAR,99,065261,village,911,15.26,Amritsar–Jamnagar Expressway,60.94,Mohan Nagar,10.27,Ladhuka,118.1,Deendayal Port (Kandla),778.88,ICD Ludhiana,261.19,Attari ICP,197.95,Sri Guru Ram Dass Jee International Airport (ATQ),265.38,MMLP Sangrur,226.94,Varanasi Multi-Modal Terminal,1017.43,FCI Depot Bathinda,148.23,HANUMANGARH Toll Plaza,69.24
CHAK 9 T K,GANGANAGAR,99,065287,village,911,3.65,Amritsar–Jamnagar Expressway,71.54,Rai Singh Nagar,4.45,Ladhuka,123.84,Deendayal Port (Kandla),773.33,ICD Ludhiana,271.24,Attari ICP,204.25,Sri Guru Ram Dass Jee International Airport (ATQ),271.0,MMLP Sangrur,238.34,Varanasi Multi-Modal Terminal,1028.18,FCI Depot Bathinda,158.81,HANUMANGARH Toll Plaza,81.25
CHAK 12 T K,GANGANAGAR,99,065276,village,911,1.71,Amritsar–Jamnagar Expressway,74.47,Rai Singh Nagar,2.89,Ladhuka,125.36,Deendayal Port (Kandla),772.05,ICD Ludhiana,273.82,Attari ICP,205.86,Sri Guru Ram Dass Jee International Airport (ATQ),272.41,MMLP Sangrur,241.3,Varanasi Multi-Modal Terminal,1031.09,FCI Depot Bathinda,161.56,HANUMANGARH Toll Plaza,84.42
CHAK 54 R B,GANGANAGAR,99,065177,village,911,11.63,Amritsar–Jamnagar Expressway,65.42,Rai Singh Nagar,15.31,Ladhuka,111.2,Deendayal Port (Kandla),785.73,ICD Ludhiana,257.4,Attari ICP,191.36,Sri Guru Ram Dass Jee International Airport (ATQ),258.49,MMLP Sangrur,225.21,Varanasi Multi-Modal Terminal,1021.85,FCI Depot Bathinda,145.13,HANUMANGARH Toll Plaza,70.68
