village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
SIMRI RAJARAM,DAMOH,428,462280,village,DAMOH,4.12,Shivpur - Godawari Commodity Pvt. Ltd.,246.49,Dahej Port,734.62,ICD Gwalior,283.6,Rupaidiha ICP,518.87,Dr. Babasaheb Ambedkar International Airport (NAG),304.78,MMLP Nagpur (Sindi),358.12,Varanasi Multi-Modal Terminal,384.61,FCI FSD Niwari,142.13
MANDLA KHIRIYA,DAMOH,428,462278,village,DAMOH,6.68,Shivpur - Godawari Commodity Pvt. Ltd.,242.46,Dahej Port,731.16,ICD Gwalior,280.43,Rupaidiha ICP,518.78,Dr. Babasaheb Ambedkar International Airport (NAG),305.8,MMLP Nagpur (Sindi),358.97,Varanasi Multi-Modal Terminal,387.71,FCI FSD Niwari,138.39
PAYRA,DAMOH,428,462276,village,DAMOH,7.62,Shivpur - Godawari Commodity Pvt. Ltd.,241.79,Dahej Port,731.73,ICD Gwalior,279.44,Rupaidiha ICP,517.57,Dr. Babasaheb Ambedkar International Airport (NAG),307.02,MMLP Nagpur (Sindi),360.19,Varanasi Multi-Modal Terminal,387.01,FCI FSD Niwari,137.58
SUKHI PIPARIYA,DAMOH,428,462275,village,DAMOH,10.03,Shivpur - Godawari Commodity Pvt. Ltd.,240.11,Dahej Port,732.81,ICD Gwalior,277.12,Rupaidiha ICP,514.94,Dr. Babasaheb Ambedkar International Airport (NAG),309.73,MMLP Nagpur (Sindi),362.9,Varanasi Multi-Modal Terminal,385.66,FCI FSD Niwari,135.61
MARA SUKHI,DAMOH,428,462274,village,DAMOH,8.95,Shivpur - Godawari Commodity Pvt. Ltd.,241.14,Dahej Port,732.99,ICD Gwalior,278.21,Rupaidiha ICP,515.69,Dr. Babasaheb Ambedkar International Airport (NAG),308.83,MMLP Nagpur (Sindi),362.02,Varanasi Multi-Modal Terminal,385.6,FCI FSD Niwari,136.69
KHAJRI DAMOH,DAMOH,428,462273,village,DAMOH,7.51,Shivpur - Godawari Commodity Pvt. Ltd.,243.62,Dahej Port,734.98,ICD Gwalior,280.21,Rupaidiha ICP,515.87,Dr. Babasaheb Ambedkar International Airport (NAG),308.08,MMLP Nagpur (Sindi),361.37,Varanasi Multi-Modal Terminal,383.82,FCI FSD Niwari,139.02
BAIYARPUR,DAMOH,428,462270,village,KARHIYA BHADELI,9.77,Shivpur - Godawari Commodity Pvt. Ltd.,242.91,Dahej Port,737.16,ICD Gwalior,278.52,Rupaidiha ICP,512.92,Dr. Babasaheb Ambedkar International Airport (NAG),310.86,MMLP Nagpur (Sindi),364.2,Varanasi Multi-Modal Terminal,381.42,FCI FSD Niwari,137.93
KHERUWA,DAMOH,428,462272,village,DAMOH,9.88,Shivpur - Godawari Commodity Pvt. Ltd.,241.33,Dahej Port,734.75,ICD Gwalior,277.71,Rupaidiha ICP,514.02,Dr. Babasaheb Ambedkar International Airport (NAG),310.25,MMLP Nagpur (Sindi),363.5,Varanasi Multi-Modal Terminal,383.76,FCI FSD Niwari,136.61
PALAR SINGHI,DAMOH,428,462271,village,KARHIYA BHADELI,9.37,Shivpur - Godawari Commodity Pvt. Ltd.,243.7,Dahej Port,738.81,ICD Gwalior,278.74,Rupaidiha ICP,511.9,Dr. Babasaheb Ambedkar International Airport (NAG),311.59,MMLP Nagpur (Sindi),364.98,Varanasi Multi-Modal Terminal,379.78,FCI FSD Niwari,138.54
MANDLA DHIGSAR,DAMOH,428,462268,village,DAMOH,11.53,Shivpur - Godawari Commodity Pvt. Ltd.,240.44,Dahej Port,735.61,ICD Gwalior,276.36,Rupaidiha ICP,512.31,Dr. Babasaheb Ambedkar International Airport (NAG),311.96,MMLP Nagpur (Sindi),365.21,Varanasi Multi-Modal Terminal,382.76,FCI FSD Niwari,135.54
