village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Sindrangbong,Gyalshing,242,260993,village,510,19.39,19,511.63,Darjeeling,39.0,Budhma,200.13,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,523.74,ICD Siliguri,76.83,Jogbani ICP,134.9,Jay Prakash Narayan International Airport (PAT),352.46,MMLP Jogighopa,271.05,Hatsingimari Ro-Ro Terminal,231.04,FCI Depot Gangtok,16.45,DARJILING Toll Plaza,42.33
Darap,Gyalshing,242,260995,village,510,12.93,19,507.47,Darjeeling,33.36,Budhma,200.31,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,519.56,ICD Siliguri,71.12,Jogbani ICP,135.13,Jay Prakash Narayan International Airport (PAT),354.82,MMLP Jogighopa,264.56,Hatsingimari Ro-Ro Terminal,224.44,FCI Depot Gangtok,10.97,DARJILING Toll Plaza,36.83
Sindrang,Gyalshing,242,260996,village,510,11.25,19,507.87,Darjeeling,33.2,Budhma,201.98,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,519.95,ICD Siliguri,70.82,Jogbani ICP,136.82,Jay Prakash Narayan International Airport (PAT),356.82,MMLP Jogighopa,262.91,Hatsingimari Ro-Ro Terminal,223.13,FCI Depot Gangtok,8.88,DARJILING Toll Plaza,36.74
Singyang,Gyalshing,242,260997,village,510,9.97,19,507.78,Darjeeling,32.81,Budhma,202.87,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,519.85,ICD Siliguri,70.3,Jogbani ICP,137.73,Lokpriya Gopinath Bordoloi International Airport (GAU),357.41,MMLP Jogighopa,261.59,Hatsingimari Ro-Ro Terminal,221.98,FCI Depot Gangtok,7.44,DARJILING Toll Plaza,36.38
Chumbong,Gyalshing,242,260999,village,510,10.87,19,510.29,Darjeeling,35.11,Budhma,205.38,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,522.37,ICD Siliguri,72.43,Jogbani ICP,140.22,Lokpriya Gopinath Bordoloi International Airport (GAU),357.51,MMLP Jogighopa,261.94,Hatsingimari Ro-Ro Terminal,222.92,FCI Depot Gangtok,6.76,DARJILING Toll Plaza,38.72
Nambu,Gyalshing,242,260994,village,510,16.15,19,508.89,Darjeeling,35.63,Budhma,199.48,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,520.99,ICD Siliguri,73.46,Jogbani ICP,134.27,Jay Prakash Narayan International Airport (PAT),353.02,MMLP Jogighopa,267.78,Hatsingimari Ro-Ro Terminal,227.56,FCI Depot Gangtok,13.86,DARJILING Toll Plaza,39.01
Naku,Gyalshing,242,260998,village,510,9.64,19,508.32,Darjeeling,33.2,Budhma,203.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,520.4,ICD Siliguri,70.58,Jogbani ICP,138.67,Lokpriya Gopinath Bordoloi International Airport (GAU),356.89,MMLP Jogighopa,261.14,Hatsingimari Ro-Ro Terminal,221.74,FCI Depot Gangtok,6.63,DARJILING Toll Plaza,36.79
Pechrek,Gyalshing,242,261037,village,510,10.22,19,501.54,Darjeeling,27.28,Budhma,196.84,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,513.62,ICD Siliguri,65.06,Jogbani ICP,131.77,Jay Prakash Narayan International Airport (PAT),353.14,MMLP Jogighopa,260.57,Hatsingimari Ro-Ro Terminal,219.53,FCI Depot Gangtok,11.66,DARJILING Toll Plaza,30.73
Berthang,Gyalshing,242,261040,village,510,4.98,19,501.01,Darjeeling,25.59,Budhma,200.07,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,513.07,ICD Siliguri,62.86,Jogbani ICP,135.13,Lokpriya Gopinath Bordoloi International Airport (GAU),351.85,MMLP Jogighopa,255.58,Hatsingimari Ro-Ro Terminal,215.1,FCI Depot Gangtok,8.42,DARJILING Toll Plaza,29.21
Bermiok,Gyalshing,242,261039,village,510,6.45,19,501.1,Darjeeling,25.92,Budhma,199.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,513.17,ICD Siliguri,63.4,Jogbani ICP,134.13,Lokpriya Gopinath Bordoloi International Airport (GAU),353.28,MMLP Jogighopa,256.97,Hatsingimari Ro-Ro Terminal,216.32,FCI Depot Gangtok,9.18,DARJILING Toll Plaza,29.51
Martam,Gyalshing,242,261038,village,510,8.44,19,501.47,Darjeeling,26.72,Budhma,198.01,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,513.55,ICD Siliguri,64.4,Jogbani ICP,132.97,Jay Prakash Narayan International Airport (PAT),354.67,MMLP Jogighopa,258.95,Hatsingimari Ro-Ro Terminal,218.11,FCI Depot Gangtok,10.3,DARJILING Toll Plaza,30.24
