village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
KANGAM HERI,SOUTH WEST,97,064029,village,PALAM VIHAR HALT,5.13,Farukh Nagar,17.42,Dahej Port,864.22,ICD Garhi Harsaru,12.43,Attari ICP,360.69,Indira Gandhi International Airport (DEL),10.84,MMLP Sangrur,214.88,Varanasi Multi-Modal Terminal,680.87,FCI Depot Delhi (NCR),22.63
,SOUTH WEST,97,,village,BIJWASAN,2.6,Farukh Nagar,20.71,Dahej Port,866.25,ICD Garhi Harsaru,14.24,Attari ICP,362.77,Indira Gandhi International Airport (DEL),7.31,MMLP Sangrur,216.53,Varanasi Multi-Modal Terminal,677.89,FCI Depot Delhi (NCR),19.27
SHIKARPUR,SOUTH WEST,97,064036,village,GURGAON,7.13,Farukh Nagar,13.11,Dahej Port,860.57,ICD Garhi Harsaru,9.74,Attari ICP,359.79,Indira Gandhi International Airport (DEL),15.01,MMLP Sangrur,214.6,Varanasi Multi-Modal Terminal,683.3,FCI Depot Delhi (NCR),26.93
JHATIKARA,SOUTH WEST,97,064034,village,GURGAON,5.68,Farukh Nagar,14.71,Dahej Port,861.49,ICD Garhi Harsaru,9.98,Attari ICP,360.91,Indira Gandhi International Airport (DEL),13.27,MMLP Sangrur,215.51,Varanasi Multi-Modal Terminal,681.72,FCI Depot Delhi (NCR),25.27
GUMAN HERA,SOUTH WEST,97,064038,village,Sultanpur Kalia,9.16,Farukh Nagar,11.33,Dahej Port,859.83,ICD Garhi Harsaru,10.62,Attari ICP,357.67,Indira Gandhi International Airport (DEL),17.38,MMLP Sangrur,212.76,Varanasi Multi-Modal Terminal,685.87,FCI Depot Delhi (NCR),29.11
RAWTA,SOUTH WEST,97,064043,village,Sultanpur Kalia,7.31,Farukh Nagar,9.28,Dahej Port,857.97,ICD Garhi Harsaru,10.03,Attari ICP,357.52,Indira Gandhi International Airport (DEL),19.29,MMLP Sangrur,212.93,Varanasi Multi-Modal Terminal,686.82,FCI Depot Delhi (NCR),31.1
DEORALA,SOUTH WEST,97,064044,village,Sultanpur Kalia,5.68,Farukh Nagar,7.52,Dahej Port,856.27,ICD Garhi Harsaru,9.54,Attari ICP,357.71,Indira Gandhi International Airport (DEL),20.81,MMLP Sangrur,213.4,Varanasi Multi-Modal Terminal,687.35,FCI Depot Delhi (NCR),32.72
GALIB PUR,SOUTH WEST,97,064042,village,Sultanpur Kalia,7.67,Farukh Nagar,8.63,Dahej Port,857.84,ICD Garhi Harsaru,11.83,Attari ICP,355.5,Indira Gandhi International Airport (DEL),21.06,MMLP Sangrur,211.09,Varanasi Multi-Modal Terminal,689.05,FCI Depot Delhi (NCR),32.67
SURAKH PUR,SOUTH WEST,97,064005,village,BAHADURGARH,8.32,Farukh Nagar,20.72,Dahej Port,869.97,ICD Garhi Harsaru,20.81,Attari ICP,351.02,Indira Gandhi International Airport (DEL),16.58,MMLP Sangrur,204.93,Varanasi Multi-Modal Terminal,688.94,FCI Depot Delhi (NCR),25.27
KAIR,SOUTH WEST,97,064046,village,BAHADURGARH,8.77,Farukh Nagar,18.93,Dahej Port,868.16,ICD Garhi Harsaru,20.42,Attari ICP,349.76,Indira Gandhi International Airport (DEL),18.78,MMLP Sangrur,204.04,Varanasi Multi-Modal Terminal,690.97,FCI Depot Delhi (NCR),27.89
