village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
SUKHADIHI,JHARSUGUDA,371,380938,village,IBH1,6.52,ICD Raipur,213.05,Dhamra Port,349.2,Biju Patnaik International Airport (BBI),279.55,Petrapole ICP,543.72
SANYASIPALI,JHARSUGUDA,371,381262,village,PANPALI,13.51,ICD Ranchi,204.1,Dhamra Port,296.81,Biju Patnaik International Airport (BBI),237.33,Petrapole ICP,490.64
GIROIPALI,JHARSUGUDA,371,380929,village,JAMGA,6.95,ICD Raipur,204.12,Dhamra Port,358.74,Biju Patnaik International Airport (BBI),288.0,Petrapole ICP,552.72
KANDADIHI,JHARSUGUDA,371,380937,village,IBH1,5.09,ICD Raipur,211.9,Dhamra Port,351.08,Biju Patnaik International Airport (BBI),281.56,Petrapole ICP,544.89
GAMHAPALI,JHARSUGUDA,371,381269,village,PANPALI,18.1,ICD Ranchi,200.74,Dhamra Port,289.69,Biju Patnaik International Airport (BBI),231.63,Petrapole ICP,483.87
KUNDRUSINGHA,JHARSUGUDA,371,381265,village,PANPALI,14.58,ICD Ranchi,201.32,Dhamra Port,293.62,Biju Patnaik International Airport (BBI),235.29,Petrapole ICP,486.8
KUMAR,JHARSUGUDA,371,380931,village,JAMGA,6.44,ICD Raipur,207.87,Dhamra Port,355.28,Biju Patnaik International Airport (BBI),285.21,Petrapole ICP,548.96
DEOPALI,JHARSUGUDA,371,380932,village,IBH1,5.82,ICD Raipur,209.29,Dhamra Port,353.68,Biju Patnaik International Airport (BBI),283.76,Petrapole ICP,547.51
MACHIDA,JHARSUGUDA,371,380933,village,IBH1,5.15,ICD Raipur,210.23,Dhamra Port,352.93,Biju Patnaik International Airport (BBI),283.24,Petrapole ICP,546.58
JOGIDHIPA,JHARSUGUDA,371,380936,village,IBH1,4.03,ICD Raipur,212.7,Dhamra Port,350.93,Biju Patnaik International Airport (BBI),281.8,Petrapole ICP,544.1
BANAHARPALI,JHARSUGUDA,371,381063,village,LAJKURA CABIN,13.87,ICD Raipur,232.61,Dhamra Port,323.05,Biju Patnaik International Airport (BBI),253.09,Petrapole ICP,525.18
BARBAHAL,JHARSUGUDA,371,381263,village,PANPALI,13.1,ICD Ranchi,202.28,Dhamra Port,295.81,Biju Patnaik International Airport (BBI),237.08,Petrapole ICP,488.84
BARTAP,JHARSUGUDA,371,381008,village,BELPAHAR,4.72,ICD Ranchi,226.83,Dhamra Port,333.85,Biju Patnaik International Airport (BBI),267.3,Petrapole ICP,527.34
BARJHA,JHARSUGUDA,371,380934,village,IBH1,4.24,ICD Raipur,210.49,Dhamra Port,353.28,Biju Patnaik International Airport (BBI),283.88,Petrapole ICP,546.34
BHUNDUPALI,JHARSUGUDA,371,380930,village,JAMGA,6.21,ICD Raipur,205.79,Dhamra Port,357.34,Biju Patnaik International Airport (BBI),286.96,Petrapole ICP,551.05
BANJARI,JHARSUGUDA,371,381007,village,BELPAHAR,2.86,ICD Ranchi,225.52,Dhamra Port,331.94,Biju Patnaik International Airport (BBI),265.72,Petrapole ICP,525.43
AMATI,JHARSUGUDA,371,381272,village,BAGDIHI,19.3,ICD Ranchi,197.08,Dhamra Port,286.53,Biju Patnaik International Airport (BBI),230.09,Petrapole ICP,479.42
KUMARADIHI,JHARSUGUDA,371,381264,village,PANPALI,13.41,ICD Ranchi,200.6,Dhamra Port,294.43,Biju Patnaik International Airport (BBI),236.4,Petrapole ICP,486.87
DHAUNRAMUNDA,JHARSUGUDA,371,<Null>,village,BELPAHAR,2.24,ICD Ranchi,223.33,Dhamra Port,332.16,Biju Patnaik International Airport (BBI),266.79,Petrapole ICP,524.19
LIAKHAI,JHARSUGUDA,371,381041,village,BELPAHAR,2.38,ICD Ranchi,221.88,Dhamra Port,331.59,Biju Patnaik International Airport (BBI),266.72,Petrapole ICP,522.95
KOLABIRA,JHARSUGUDA,371,381250,village,PANPALI,12.34,ICD Ranchi,203.74,Dhamra Port,297.88,Biju Patnaik International Airport (BBI),238.55,Petrapole ICP,491.09
KATAPALI,JHARSUGUDA,371,380928,village,JAMGA,5.14,ICD Raipur,204.9,Dhamra Port,359.05,Biju Patnaik International Airport (BBI),288.86,Petrapole ICP,552.0
PUKHURASALE,JHARSUGUDA,371,381237,village,PANPALI,15.8,ICD Ranchi,199.22,Dhamra Port,291.38,Biju Patnaik International Airport (BBI),233.94,Petrapole ICP,484.0
CHAUNRIMAHUL,JHARSUGUDA,371,381006,village,BELPAHAR,3.45,ICD Ranchi,224.25,Dhamra Port,333.41,Biju Patnaik International Airport (BBI),267.79,Petrapole ICP,525.48
LUDUNGA,JHARSUGUDA,371,381270,village,BAGDIHI,17.06,ICD Ranchi,197.31,Dhamra Port,289.08,Biju Patnaik International Airport (BBI),232.48,Petrapole ICP,481.26
TENGNAMAL,JHARSUGUDA,371,380935,village,IBH1,2.57,ICD Raipur,212.04,Dhamra Port,352.52,Biju Patnaik International Airport (BBI),283.67,Petrapole ICP,544.82
DUMERMUNDA,JHARSUGUDA,371,381135,village,IB,5.72,ICD Ranchi,222.45,Dhamra Port,319.67,Biju Patnaik International Airport (BBI),253.71,Petrapole ICP,516.33
JAMMAL,JHARSUGUDA,371,381242,village,DHUTRA,7.32,ICD Ranchi,204.59,Dhamra Port,304.31,Biju Patnaik International Airport (BBI),244.74,Petrapole ICP,495.69
PAIKAPARA,JHARSUGUDA,371,381249,village,PANPALI,9.59,ICD Ranchi,201.58,Dhamra Port,299.2,Biju Patnaik International Airport (BBI),240.78,Petrapole ICP,490.55
RAGHUNATHAPALI,JHARSUGUDA,371,381251,village,PANPALI,10.44,ICD Ranchi,203.68,Dhamra Port,300.21,Biju Patnaik International Airport (BBI),240.93,Petrapole ICP,492.53
KELENDA,JHARSUGUDA,371,381239,village,DHUTRA,6.36,ICD Ranchi,204.78,Dhamra Port,305.56,Biju Patnaik International Airport (BBI),245.94,Petrapole ICP,496.59
PANDAKIMAL,JHARSUGUDA,371,381271,village,BAGDIHI,14.43,ICD Ranchi,195.67,Dhamra Port,290.92,Biju Patnaik International Airport (BBI),234.98,Petrapole ICP,481.39
PATRAPALI,JHARSUGUDA,371,381136,village,IB,6.41,ICD Ranchi,221.88,Dhamra Port,317.46,Biju Patnaik International Airport (BBI),251.58,Petrapole ICP,514.65
AILAPALI,JHARSUGUDA,371,381104,village,LAJKURA CABIN,4.21,ICD Ranchi,223.22,Dhamra Port,322.41,Biju Patnaik International Airport (BBI),256.33,Petrapole ICP,518.43
KATAPALI,JHARSUGUDA,371,381105,village,LAJKURA CABIN,3.82,ICD Ranchi,223.81,Dhamra Port,323.31,Biju Patnaik International Airport (BBI),257.07,Petrapole ICP,519.34
RAMPUR,JHARSUGUDA,371,381134,village,IB,4.24,ICD Ranchi,220.9,Dhamra Port,319.31,Biju Patnaik International Airport (BBI),253.92,Petrapole ICP,515.15
TUMBADIHI,JHARSUGUDA,371,381189,village,BAGDIHI,2.55,ICD Ranchi,192.81,Dhamra Port,305.16,Biju Patnaik International Airport (BBI),250.39,Petrapole ICP,488.62
PAKELKHOLA,JHARSUGUDA,371,381194,village,BAGDIHI,5.57,ICD Ranchi,189.03,Dhamra Port,297.69,Biju Patnaik International Airport (BBI),244.46,Petrapole ICP,481.44
CHAMARADIHI,JHARSUGUDA,371,381192,village,BAGDIHI,1.61,ICD Ranchi,191.01,Dhamra Port,301.75,Biju Patnaik International Airport (BBI),247.68,Petrapole ICP,485.31
KADOBAHAL,JHARSUGUDA,371,381188,village,PANPALI,2.12,ICD Ranchi,195.07,Dhamra Port,307.01,Biju Patnaik International Airport (BBI),251.34,Petrapole ICP,491.24
TELIDIHI,JHARSUGUDA,371,381191,village,BAGDIHI,1.76,ICD Ranchi,192.2,Dhamra Port,304.52,Biju Patnaik International Airport (BBI),249.98,Petrapole ICP,487.82
CHANDRAPUR,JHARSUGUDA,371,381184,village,DHUTRA,5.37,ICD Ranchi,197.03,Dhamra Port,311.75,Biju Patnaik International Airport (BBI),255.43,Petrapole ICP,495.41
