village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Mudukulam R.F.,ARIYALUR,616,636428,village,81,16.74,716B,201.79,ICHCHANGADU,7.72,Uttangal Mangalam,25.86,Karaikal Port,77.01,ICD Salem,129.07,Petrapole ICP,1629.05,Tiruchirappalli International Airport (TRZ),90.1,MMLP Chennai (Mappedu),208.54,Aluva Terminal,350.74,FCI Depot Tiruchirappalli,88.52
Naduvalur (West),ARIYALUR,616,636415,village,81,7.39,716B,230.33,SUNDARAPERUMAL KOVIL,16.12,Uttangal Mangalam,51.77,Karaikal Port,63.18,ICD Salem,140.33,Petrapole ICP,1651.79,Tiruchirappalli International Airport (TRZ),73.22,MMLP Chennai (Mappedu),235.55,Aluva Terminal,341.45,FCI Depot Tiruchirappalli,72.38
Karuppur (Senapathy),ARIYALUR,616,636476,village,81,0.28,716B,232.35,SILLAKKUDI,8.42,Uttangal Mangalam,62.96,Karaikal Port,82.42,ICD Salem,124.02,Petrapole ICP,1666.07,Tiruchirappalli International Airport (TRZ),54.47,MMLP Coimbatore,236.1,Aluva Terminal,321.15,FCI Depot Tiruchirappalli,53.28
Periyavalayam R.F,ARIYALUR,616,636436,village,81,1.35,716B,219.66,NARASINGAMPET,21.52,Uttangal Mangalam,37.74,Karaikal Port,57.02,ICD Salem,146.53,Petrapole ICP,1634.83,Tiruchirappalli International Airport (TRZ),89.89,MMLP Chennai (Mappedu),220.6,Aluva Terminal,356.9,FCI Depot Tiruchirappalli,88.9
Pappakudi (South),ARIYALUR,616,636351,village,36,0.05,716B,212.31,ANANDTANDAVPUR,23.85,Uttangal Mangalam,29.6,Karaikal Port,55.38,ICD Salem,152.46,Petrapole ICP,1622.06,Tiruchirappalli International Airport (TRZ),102.62,MMLP Chennai (Mappedu),209.62,Aluva Terminal,368.72,FCI Depot Tiruchirappalli,101.55
VANGUDI,ARIYALUR,616,636348,village,36,3.69,716B,210.74,KUTRALAM,26.46,Uttangal Mangalam,28.0,Karaikal Port,58.55,ICD Salem,148.82,Petrapole ICP,1623.36,Tiruchirappalli International Airport (TRZ),100.23,MMLP Chennai (Mappedu),209.52,Aluva Terminal,365.74,FCI Depot Tiruchirappalli,99.09
Thathanur(East),ARIYALUR,616,636399,village,81,1.09,716B,223.78,SENDURAI,17.27,Uttangal Mangalam,46.06,Karaikal Port,66.67,ICD Salem,136.18,Petrapole ICP,1647.4,Tiruchirappalli International Airport (TRZ),75.35,MMLP Chennai (Mappedu),229.8,Aluva Terminal,342.14,FCI Depot Tiruchirappalli,74.28
ANDIPATTAKKADU,ARIYALUR,616,636487,village,81,8.61,716B,236.42,PANDARAVADAI,13.7,Uttangal Mangalam,61.95,Karaikal Port,72.58,ICD Salem,133.98,Petrapole ICP,1663.79,Tiruchirappalli International Airport (TRZ),60.18,MMLP Chennai (Mappedu),245.37,Aluva Terminal,328.76,FCI Depot Tiruchirappalli,59.38
Keezhapalur,ARIYALUR,616,636477,village,136,0.19,716B,233.89,SILLAKKUDI,6.47,Uttangal Mangalam,66.39,Karaikal Port,86.0,ICD Salem,121.6,Petrapole ICP,1669.57,Tiruchirappalli International Airport (TRZ),50.47,MMLP Coimbatore,232.2,Aluva Terminal,316.98,FCI Depot Tiruchirappalli,49.22
Papanacheri,ARIYALUR,616,636478,village,136,2.32,716B,229.86,SILLAKKUDI,2.06,Uttangal Mangalam,64.32,Karaikal Port,88.69,ICD Salem,117.68,Petrapole ICP,1667.44,Tiruchirappalli International Airport (TRZ),51.63,MMLP Coimbatore,230.27,Aluva Terminal,316.45,FCI Depot Tiruchirappalli,50.17
