village,district,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Bharu,Basti,180157,village,TINICH,20.51,ICD Lucknow,154.88,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,732.68,Lal Bahadur Shastri International Airport (VNS),141.69,Sunauli ICP,121.09
Paraspura,Basti,180305,village,TINICH,18.09,ICD Lucknow,160.19,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,728.55,Lal Bahadur Shastri International Airport (VNS),140.78,Sunauli ICP,116.96
Khakhara Amanabad,Basti,181476,village,MUNDERWA,15.09,ICD Lucknow,183.35,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,706.59,Lal Bahadur Shastri International Airport (VNS),131.55,Sunauli ICP,106.82
Dofara,Basti,181366,village,BASTI,17.34,ICD Lucknow,175.42,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,712.76,Lal Bahadur Shastri International Airport (VNS),131.8,Sunauli ICP,111.97
Janjan Khurd,Basti,181505,village,MUNDERWA,13.93,ICD Lucknow,185.61,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,704.81,Lal Bahadur Shastri International Airport (VNS),131.51,Sunauli ICP,105.47
Jagdishpur,Basti,181303,village,BASTI,17.92,ICD Lucknow,171.67,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,716.05,Lal Bahadur Shastri International Airport (VNS),132.78,Sunauli ICP,113.93
Sarvanpur Chaube,Basti,180425,village,BASTI,21.73,ICD Lucknow,164.51,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,721.87,Lal Bahadur Shastri International Airport (VNS),133.99,Sunauli ICP,118.7
Khakhaura,Basti,181293,village,BASTI,20.49,ICD Lucknow,166.41,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,720.36,Lal Bahadur Shastri International Airport (VNS),133.69,Sunauli ICP,117.36
Sajahra,Basti,181096,village,MUNDERWA,12.67,ICD Lucknow,191.9,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,699.72,Lal Bahadur Shastri International Airport (VNS),131.34,Sunauli ICP,102.13
Kathwaliya,Basti,181186,village,BASTI,16.58,ICD Lucknow,175.16,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,713.38,Lal Bahadur Shastri International Airport (VNS),132.62,Sunauli ICP,111.45
Mehdouna,Basti,181470,village,ORWARA,15.89,ICD Lucknow,180.47,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,708.87,Lal Bahadur Shastri International Airport (VNS),131.66,Sunauli ICP,108.58
Pratappur,Basti,180338,village,BASTI,21.03,ICD Lucknow,163.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,723.18,Lal Bahadur Shastri International Airport (VNS),135.53,Sunauli ICP,118.02
Bedpur,Basti,180374,village,GOSHAINGANJ,21.34,ICD Lucknow,158.25,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,727.95,Lal Bahadur Shastri International Airport (VNS),137.2,Sunauli ICP,121.54
Tikarkanchni,Basti,181069,village,MUNDERWA,11.12,ICD Lucknow,187.67,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,704.27,Lal Bahadur Shastri International Airport (VNS),133.54,Sunauli ICP,102.47
Lamti,Basti,180369,village,TINICH,21.49,ICD Lucknow,158.98,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,727.9,Lal Bahadur Shastri International Airport (VNS),138.06,Sunauli ICP,120.18
Pithiya Laskari,Basti,180102,village,ULNA BHARI,11.27,ICD Lucknow,143.6,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,740.35,Lal Bahadur Shastri International Airport (VNS),142.12,Sunauli ICP,131.86
Nankar,Basti,180341,village,BASTI,20.64,ICD Lucknow,163.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,724.05,Lal Bahadur Shastri International Airport (VNS),136.53,Sunauli ICP,117.6
Bhiura,Basti,180176,village,GOSHAINGANJ,19.68,ICD Lucknow,154.77,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,731.43,Lal Bahadur Shastri International Airport (VNS),139.27,Sunauli ICP,123.09
Tharauli,Basti,181058,village,ORWARA,10.23,ICD Lucknow,182.89,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,709.71,Lal Bahadur Shastri International Airport (VNS),136.67,Sunauli ICP,102.7
Harahi,Basti,180319,village,TINICH,19.5,ICD Lucknow,159.57,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,728.39,Lal Bahadur Shastri International Airport (VNS),139.7,Sunauli ICP,118.36
Araji Mangla,Basti,180025,village,ULNA BHARI,10.25,ICD Lucknow,139.57,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,744.62,Chaudhary Charan Singh International Airport (LKO),144.84,Sunauli ICP,133.64
Manjhriya,Basti,179665,village,ULNA BHARI,16.62,ICD Lucknow,148.06,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,738.0,Lal Bahadur Shastri International Airport (VNS),143.12,Sunauli ICP,126.57
Mahadeva,Basti,180074,village,ULNA BHARI,12.62,ICD Lucknow,143.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,742.02,Lal Bahadur Shastri International Airport (VNS),144.47,Sunauli ICP,130.66
Jogahta,Basti,180115,village,GOSHAINGANJ,19.71,ICD Lucknow,152.5,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,734.21,Lal Bahadur Shastri International Airport (VNS),141.56,Sunauli ICP,123.44
Akelwa,Basti,180310,village,TINICH,18.53,ICD Lucknow,160.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,727.58,Lal Bahadur Shastri International Airport (VNS),139.99,Sunauli ICP,116.89
Bharwalia,Basti,181245,village,BASTI,12.77,ICD Lucknow,171.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,718.8,Lal Bahadur Shastri International Airport (VNS),138.08,Sunauli ICP,109.44
Gobindpara,Basti,180160,village,TINICH,19.8,ICD Lucknow,157.18,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,730.62,Lal Bahadur Shastri International Airport (VNS),140.78,Sunauli ICP,119.67
Rajli,Basti,181134,village,BASTI,11.47,ICD Lucknow,174.11,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,717.13,Lal Bahadur Shastri International Airport (VNS),138.13,Sunauli ICP,107.63
Amanabad,Basti,180982,village,MUNDERWA,6.93,ICD Lucknow,192.81,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,702.25,Lal Bahadur Shastri International Airport (VNS),137.3,Sunauli ICP,96.36
Baburi Babu,Basti,180057,village,ULNA BHARI,13.18,ICD Lucknow,143.03,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,742.32,Lal Bahadur Shastri International Airport (VNS),145.06,Sunauli ICP,130.17
Basantpur,Basti,180079,village,ULNA BHARI,15.73,ICD Lucknow,146.25,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,739.88,Lal Bahadur Shastri International Airport (VNS),144.38,Sunauli ICP,127.41
Jotbax,Basti,178971,village,S NARAYAN CHPLA,7.92,ICD Lucknow,135.95,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,760.94,Chaudhary Charan Singh International Airport (LKO),142.81,Sunauli ICP,123.7
Pauni Jabti,Basti,179307,village,GAUR,3.42,ICD Lucknow,160.64,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,741.09,Lal Bahadur Shastri International Airport (VNS),161.88,Sunauli ICP,102.73
Konhadhwa,Basti,180918,village,MUNDERWA,3.87,ICD Lucknow,191.04,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,705.28,Lal Bahadur Shastri International Airport (VNS),140.14,Sunauli ICP,94.86
Chakchai,Basti,179350,village,GAUR,2.77,ICD Lucknow,159.48,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,740.29,Lal Bahadur Shastri International Airport (VNS),159.48,Sunauli ICP,105.08
Ranipur,Basti,179301,village,GAUR,1.44,ICD Lucknow,156.86,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,742.53,Lal Bahadur Shastri International Airport (VNS),160.23,Sunauli ICP,107.09
Ramwapur,Basti,179302,village,GAUR,0.77,ICD Lucknow,157.16,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,742.69,Lal Bahadur Shastri International Airport (VNS),160.78,Sunauli ICP,106.51
Jitiyapur,Basti,179872,village,BILHAR GHAT,15.31,ICD Lucknow,139.74,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,748.32,Chaudhary Charan Singh International Airport (LKO),145.53,Sunauli ICP,128.72
Dhirauli Pandey,Basti,179910,village,RAMGHAT HALT,9.68,ICD Lucknow,132.37,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,754.35,Chaudhary Charan Singh International Airport (LKO),138.16,Sunauli ICP,134.75
Ranipur,Basti,180253,village,TINICH,12.26,ICD Lucknow,161.15,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,730.91,Lal Bahadur Shastri International Airport (VNS),146.1,Sunauli ICP,112.15
Sikari,Basti,179747,village,TINICH,12.36,ICD Lucknow,156.56,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,736.01,Lal Bahadur Shastri International Airport (VNS),149.46,Sunauli ICP,113.93
Parsijot,Basti,179876,village,PARSA TEWARI,17.6,ICD Lucknow,142.1,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,747.54,Chaudhary Charan Singh International Airport (LKO),148.03,Sunauli ICP,125.55
Datt Nagar,Basti,179815,village,RAMGHAT HALT,12.92,ICD Lucknow,136.28,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,752.47,Chaudhary Charan Singh International Airport (LKO),142.23,Sunauli ICP,130.13
