village,district,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Khutaha Sahu,Mirzapur,211656,village,PAHARA,9.02,ICD Patna,249.28,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,625.06,Lal Bahadur Shastri International Airport (VNS),47.52,Sunauli ICP,272.66
Tigora,Mirzapur,211612,village,PAHARA,1.67,ICD Patna,244.9,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,625.35,Lal Bahadur Shastri International Airport (VNS),40.17,Sunauli ICP,265.35
Chak Ghariyari,Mirzapur,212400,village,CHUNAR,6.07,ICD Patna,229.54,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,614.88,Lal Bahadur Shastri International Airport (VNS),31.92,Sunauli ICP,256.08
Majhgawan(CT),Mirzapur,211262,village,MIRZAPUR,4.04,ICD Lucknow,241.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,643.67,Lal Bahadur Shastri International Airport (VNS),44.01,Sunauli ICP,264.5
Durgapur,Mirzapur,211452,village,MIRZAPUR,4.89,ICD Lucknow,245.56,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,637.77,Lal Bahadur Shastri International Airport (VNS),40.14,Sunauli ICP,262.8
Mawaiya,Mirzapur,211503,village,KATKA,6.82,ICD Lucknow,245.99,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.39,Lal Bahadur Shastri International Airport (VNS),35.17,Sunauli ICP,258.54
Bharpatti,Mirzapur,211471,village,KATKA,6.49,ICD Lucknow,243.24,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,638.85,Lal Bahadur Shastri International Airport (VNS),37.1,Sunauli ICP,259.3
Prajapatipur,Mirzapur,211281,village,VINDHYACHAL,4.78,ICD Lucknow,237.98,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,646.05,Lal Bahadur Shastri International Airport (VNS),42.67,Sunauli ICP,261.92
Mujehara Kalan(CT),Mirzapur,211278,village,MADHOSINGH,3.91,ICD Lucknow,237.5,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,645.34,Lal Bahadur Shastri International Airport (VNS),39.84,Sunauli ICP,259.21
Rudauli,Mirzapur,212423,village,KAILAHAT,7.54,ICD Patna,225.79,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,614.63,Lal Bahadur Shastri International Airport (VNS),27.15,Sunauli ICP,250.6
Adampur,Mirzapur,211139,village,GAIPURA,6.57,ICD Lucknow,225.93,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,661.28,Lal Bahadur Shastri International Airport (VNS),53.78,Sunauli ICP,264.97
Parwa Rajdhar,Mirzapur,211477,village,KATKA,4.48,ICD Lucknow,243.4,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,637.67,Lal Bahadur Shastri International Airport (VNS),34.4,Sunauli ICP,256.99
Mahamalpur,Mirzapur,211316,village,KACHHWA ROAD,3.71,ICD Lucknow,243.73,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.71,Lal Bahadur Shastri International Airport (VNS),29.88,Sunauli ICP,253.11
Ramchandarpur,Mirzapur,211318,village,KACHHWA ROAD,1.64,ICD Lucknow,244.24,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,634.54,Lal Bahadur Shastri International Airport (VNS),27.97,Sunauli ICP,251.58
Dunai,Mirzapur,211361,village,BAHERWA HALT,3.04,ICD Patna,234.26,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,623.74,Lal Bahadur Shastri International Airport (VNS),25.3,Sunauli ICP,250.58
Devari Mu. Birohi,Mirzapur,211214,village,BIROHE,1.61,ICD Lucknow,234.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,653.42,Lal Bahadur Shastri International Airport (VNS),52.13,Sunauli ICP,268.34
Dara Nagar,Mirzapur,212261,village,LUSA,11.94,ICD Patna,250.88,Dhamra Port,612.55,Lal Bahadur Shastri International Airport (VNS),62.52,Sunauli ICP,287.76
Rexa Khurd,Mirzapur,212205,village,JHINGURA,26.28,ICD Patna,264.69,Dhamra Port,622.93,Lal Bahadur Shastri International Airport (VNS),66.96,Sunauli ICP,291.56
Hinauta,Mirzapur,212229,village,LUSA,18.22,ICD Patna,256.72,Dhamra Port,617.24,Lal Bahadur Shastri International Airport (VNS),63.74,Sunauli ICP,288.99
Ghura Kanda,Mirzapur,211880,village,GAIPURA,28.09,ICD Lucknow,255.49,Dhamra Port,635.86,Lal Bahadur Shastri International Airport (VNS),74.75,Sunauli ICP,296.03
Charki Kunbiyan,Mirzapur,211802,village,GAIPURA,20.35,ICD Lucknow,249.5,Dhamra Port,640.7,Lal Bahadur Shastri International Airport (VNS),68.05,Sunauli ICP,288.36
Rajai,Mirzapur,211835,village,JIGNA,20.45,ICD Lucknow,245.55,Dhamra Port,645.95,Lal Bahadur Shastri International Airport (VNS),73.73,Sunauli ICP,291.73
Gambhirpur Raja,Mirzapur,211907,village,JIGNA,19.59,ICD Lucknow,242.87,Dhamra Port,649.08,Lal Bahadur Shastri International Airport (VNS),75.46,Sunauli ICP,292.11
Charki Kalan,Mirzapur,211803,village,GAIPURA,20.17,ICD Lucknow,249.7,Dhamra Port,640.34,Lal Bahadur Shastri International Airport (VNS),67.29,Sunauli ICP,287.78
Hinauta,Mirzapur,212867,village,KHAIRAHI,17.88,ICD Patna,222.43,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,593.95,Lal Bahadur Shastri International Airport (VNS),54.6,Sunauli ICP,273.98
Madapur,Mirzapur,212831,village,KAILAHAT,18.52,ICD Patna,214.9,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,590.95,Lal Bahadur Shastri International Airport (VNS),51.1,Sunauli ICP,267.36
Rampur Madwa,Mirzapur,211751,village,MIRZAPUR,12.25,ICD Lucknow,249.68,Dhamra Port,638.75,Lal Bahadur Shastri International Airport (VNS),56.95,Sunauli ICP,278.85
Semara Pratap Singh,Mirzapur,211693,village,GAIPURA,13.53,ICD Lucknow,243.2,Dhamra Port,646.42,Lal Bahadur Shastri International Airport (VNS),64.08,Sunauli ICP,282.62
Shahpur Chausa,Mirzapur,211424,village,JHINGURA,4.5,ICD Lucknow,250.24,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,635.08,Lal Bahadur Shastri International Airport (VNS),45.01,Sunauli ICP,268.52
Nibi,Mirzapur,212609,village,KAILAHAT,7.56,ICD Patna,218.28,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,600.49,Lal Bahadur Shastri International Airport (VNS),40.38,Sunauli ICP,259.38
Bhiskuri,Mirzapur,211420,village,MIRZAPUR,4.29,ICD Lucknow,249.31,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,636.85,Lal Bahadur Shastri International Airport (VNS),46.83,Sunauli ICP,269.87
Duhi Kalan,Mirzapur,212770,village,AHRAURA ROAD,13.76,ICD Patna,208.15,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,590.7,Lal Bahadur Shastri International Airport (VNS),45.6,Sunauli ICP,258.28
Rehia,Mirzapur,212599,village,KAILAHAT,5.93,ICD Patna,222.09,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,603.93,Lal Bahadur Shastri International Airport (VNS),39.36,Sunauli ICP,260.23
Nakahara,Mirzapur,211395,village,MIRZAPUR,3.71,ICD Lucknow,247.75,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,638.94,Lal Bahadur Shastri International Airport (VNS),47.97,Sunauli ICP,270.39
Araji Devghata,Mirzapur,211883,village,GAIPURA,27.74,ICD Lucknow,253.97,Dhamra Port,637.73,Lal Bahadur Shastri International Airport (VNS),75.92,Sunauli ICP,296.56
Boda Khurd,Mirzapur,212175,village,MIRZAPUR,27.79,ICD Lucknow,259.38,Dhamra Port,631.12,Lal Bahadur Shastri International Airport (VNS),71.82,Sunauli ICP,294.55
Maheshpur,Mirzapur,211975,village,MANDA ROAD,28.33,ICD Lucknow,244.14,Dhamra Port,651.44,Lal Bahadur Shastri International Airport (VNS),88.8,Sunauli ICP,303.75
Rudami,Mirzapur,211875,village,GAIPURA,27.11,ICD Lucknow,253.37,Dhamra Port,638.26,Lal Bahadur Shastri International Airport (VNS),75.52,Sunauli ICP,296.02
Piuri,Mirzapur,212167,village,MIRZAPUR,24.91,ICD Lucknow,263.03,Dhamra Port,626.32,Lal Bahadur Shastri International Airport (VNS),67.03,Sunauli ICP,291.09
Semariha,Mirzapur,211923,village,JIGNA,27.6,ICD Lucknow,248.61,Dhamra Port,644.91,Lal Bahadur Shastri International Airport (VNS),82.18,Sunauli ICP,300.0
Bhawan,Mirzapur,212255,village,LUSA,9.57,ICD Patna,247.94,Dhamra Port,611.6,Lal Bahadur Shastri International Airport (VNS),60.76,Sunauli ICP,285.87
Kusami,Mirzapur,212915,village,SAKTESGARH,5.26,ICD Patna,234.28,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,610.9,Lal Bahadur Shastri International Airport (VNS),44.64,Sunauli ICP,268.85
Pandeypur,Mirzapur,211746,village,VINDHYACHAL,11.7,ICD Lucknow,245.74,Dhamra Port,642.85,Lal Bahadur Shastri International Airport (VNS),57.54,Sunauli ICP,278.01
Chiraiya,Mirzapur,212626,village,KAILAHAT,12.02,ICD Patna,218.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,597.56,Lal Bahadur Shastri International Airport (VNS),45.2,Sunauli ICP,263.93
Palpur,Mirzapur,211507,village,JHINGURA,6.19,ICD Lucknow,246.87,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,634.69,Lal Bahadur Shastri International Airport (VNS),35.69,Sunauli ICP,259.27
Ruknapur,Mirzapur,212710,village,JEONATHPUR,9.2,ICD Patna,203.97,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,592.44,Lal Bahadur Shastri International Airport (VNS),40.42,Sunauli ICP,249.97
Harsingpur,Mirzapur,211250,village,VINDHYACHAL,2.75,ICD Lucknow,237.43,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,647.49,Lal Bahadur Shastri International Airport (VNS),44.93,Sunauli ICP,263.62
Negura Ribai Singh,Mirzapur,211038,village,JIGNA,3.36,ICD Lucknow,226.76,Dhamra Port,661.93,Lal Bahadur Shastri International Airport (VNS),58.81,Sunauli ICP,269.94
Gorakhi,Mirzapur,212730,village,GANJ KHAWAJA,11.36,ICD Patna,200.27,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,588.97,Lal Bahadur Shastri International Airport (VNS),43.13,Sunauli ICP,249.62
Atraura,Mirzapur,212257,village,LUSA,12.09,ICD Patna,249.89,Dhamra Port,613.9,Lal Bahadur Shastri International Airport (VNS),60.3,Sunauli ICP,285.55
Pachokhara,Mirzapur,212258,village,LUSA,13.02,ICD Patna,250.64,Dhamra Port,614.72,Lal Bahadur Shastri International Airport (VNS),60.22,Sunauli ICP,285.5
Tilaw No.3,Mirzapur,211931,village,JIGNA,24.0,ICD Lucknow,248.46,Dhamra Port,643.57,Lal Bahadur Shastri International Airport (VNS),76.38,Sunauli ICP,295.07
Bhilgon,Mirzapur,211580,village,PAHARA,3.34,ICD Patna,247.37,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,628.52,Lal Bahadur Shastri International Airport (VNS),39.97,Sunauli ICP,264.82
Chandaipur,Mirzapur,211390,village,MIRZAPUR,3.01,ICD Lucknow,244.93,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,641.64,Lal Bahadur Shastri International Airport (VNS),47.77,Sunauli ICP,269.26
Babu Patali,Mirzapur,211598,village,PAHARA,3.0,ICD Patna,244.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,627.64,Lal Bahadur Shastri International Airport (VNS),36.17,Sunauli ICP,261.18
Kanaura,Mirzapur,211600,village,PAHARA,2.99,ICD Patna,243.28,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,626.74,Lal Bahadur Shastri International Airport (VNS),35.66,Sunauli ICP,260.77
Dunaiyan Dubey,Mirzapur,211519,village,JHINGURA,2.93,ICD Lucknow,248.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,634.14,Lal Bahadur Shastri International Airport (VNS),38.98,Sunauli ICP,262.72
Arjunpur Pathak,Mirzapur,211533,village,JHINGURA,2.53,ICD Lucknow,250.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,634.15,Lal Bahadur Shastri International Airport (VNS),43.11,Sunauli ICP,266.84
Sarauli,Mirzapur,211430,village,MIRZAPUR,3.34,ICD Lucknow,248.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,636.84,Lal Bahadur Shastri International Airport (VNS),44.57,Sunauli ICP,267.58
Naugaon,Mirzapur,211140,village,GAIPURA,6.7,ICD Lucknow,226.35,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,660.54,Lal Bahadur Shastri International Airport (VNS),52.91,Sunauli ICP,264.46
Majhawa,Mirzapur,211334,village,NIGATPUR,4.59,ICD Patna,240.85,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,628.98,Lal Bahadur Shastri International Airport (VNS),28.61,Sunauli ICP,253.54
Baraini,Mirzapur,211320,village,KACHHWA ROAD,5.38,ICD Patna,246.25,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,633.4,Lal Bahadur Shastri International Airport (VNS),31.95,Sunauli ICP,255.9
Mitai,Mirzapur,211340,village,NIGATPUR,6.03,ICD Patna,237.61,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,624.93,Lal Bahadur Shastri International Airport (VNS),28.97,Sunauli ICP,254.26
Madara,Mirzapur,212699,village,AHRAURA ROAD,6.42,ICD Patna,208.79,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,596.83,Lal Bahadur Shastri International Airport (VNS),37.36,Sunauli ICP,250.69
Khaira,Mirzapur,212347,village,DAGMAGPUR,7.83,ICD Patna,236.31,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,621.92,Lal Bahadur Shastri International Airport (VNS),31.32,Sunauli ICP,256.58
Piparwar,Mirzapur,212302,village,LUSA,5.09,ICD Patna,235.09,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,600.5,Lal Bahadur Shastri International Airport (VNS),60.62,Sunauli ICP,283.52
Dhasara,Mirzapur,211736,village,GAIPURA,11.17,ICD Lucknow,241.69,Dhamra Port,647.55,Lal Bahadur Shastri International Airport (VNS),61.66,Sunauli ICP,279.94
Dhauha,Mirzapur,212918,village,CHUNAR,6.75,ICD Patna,231.1,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,607.92,Lal Bahadur Shastri International Airport (VNS),44.69,Sunauli ICP,268.13
Sahira,Mirzapur,211690,village,JIGNA,10.61,ICD Lucknow,237.94,Dhamra Port,652.06,Lal Bahadur Shastri International Airport (VNS),66.01,Sunauli ICP,281.99
Sonbersa Khurd,Mirzapur,212880,village,CHUNAR,9.4,ICD Patna,223.02,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,602.05,Lal Bahadur Shastri International Airport (VNS),43.29,Sunauli ICP,264.15
Taunga,Mirzapur,211640,village,DAGMAGPUR,5.3,ICD Patna,241.48,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,619.03,Lal Bahadur Shastri International Airport (VNS),43.51,Sunauli ICP,268.75
Padaria Kalan,Mirzapur,212203,village,LUSA,24.99,ICD Patna,263.62,Dhamra Port,621.19,Lal Bahadur Shastri International Airport (VNS),67.31,Sunauli ICP,292.11
Urua,Mirzapur,211870,village,JIGNA,28.26,ICD Lucknow,252.37,Dhamra Port,640.19,Lal Bahadur Shastri International Airport (VNS),79.13,Sunauli ICP,298.77
Gorha,Mirzapur,212168,village,MIRZAPUR,25.28,ICD Lucknow,262.34,Dhamra Port,627.21,Lal Bahadur Shastri International Airport (VNS),67.88,Sunauli ICP,291.72
Darhia,Mirzapur,212254,village,LUSA,8.25,ICD Patna,246.86,Dhamra Port,610.46,Lal Bahadur Shastri International Airport (VNS),60.91,Sunauli ICP,285.92
Dadara Mu. Rampur,Mirzapur,212277,village,LUSA,6.61,ICD Patna,245.39,Dhamra Port,609.13,Lal Bahadur Shastri International Airport (VNS),60.94,Sunauli ICP,285.79
Naraina Kalan,Mirzapur,211867,village,JIGNA,26.42,ICD Lucknow,251.47,Dhamra Port,640.54,Lal Bahadur Shastri International Airport (VNS),76.75,Sunauli ICP,296.45
Geruahi,Mirzapur,212185,village,MIRZAPUR,24.44,ICD Lucknow,260.12,Dhamra Port,629.54,Lal Bahadur Shastri International Airport (VNS),67.76,Sunauli ICP,291.14
Matiari Khurd,Mirzapur,211924,village,JIGNA,25.84,ICD Lucknow,247.55,Dhamra Port,645.55,Lal Bahadur Shastri International Airport (VNS),80.49,Sunauli ICP,298.19
Khatkharia,Mirzapur,212316,village,LUSA,9.0,ICD Patna,231.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,596.39,Lal Bahadur Shastri International Airport (VNS),61.62,Sunauli ICP,283.35
Semara Baraho,Mirzapur,212315,village,LUSA,7.66,ICD Patna,232.7,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,597.4,Lal Bahadur Shastri International Airport (VNS),61.9,Sunauli ICP,284.01
Mahular,Mirzapur,211788,village,GAIPURA,26.7,ICD Lucknow,254.24,Dhamra Port,636.95,Lal Bahadur Shastri International Airport (VNS),73.75,Sunauli ICP,294.79
Medanipur,Mirzapur,212154,village,MIRZAPUR,23.86,ICD Lucknow,260.83,Dhamra Port,628.61,Lal Bahadur Shastri International Airport (VNS),66.77,Sunauli ICP,290.42
Tisahi,Mirzapur,212221,village,SAKTESGARH,14.91,ICD Patna,252.2,Dhamra Port,616.56,Lal Bahadur Shastri International Airport (VNS),59.96,Sunauli ICP,285.26
Kothi Khurd,Mirzapur,211953,village,MANDA ROAD,26.42,ICD Lucknow,245.82,Dhamra Port,648.07,Lal Bahadur Shastri International Airport (VNS),83.27,Sunauli ICP,299.84
Patar Kalan,Mirzapur,211805,village,GAIPURA,20.67,ICD Lucknow,250.19,Dhamra Port,639.89,Lal Bahadur Shastri International Airport (VNS),67.55,Sunauli ICP,288.16
Amoi,Mirzapur,212213,village,SAKTESGARH,20.92,ICD Patna,258.83,Dhamra Port,621.64,Lal Bahadur Shastri International Airport (VNS),61.94,Sunauli ICP,286.93
Khachaha,Mirzapur,212214,village,SAKTESGARH,19.67,ICD Patna,257.52,Dhamra Port,620.77,Lal Bahadur Shastri International Airport (VNS),61.38,Sunauli ICP,286.48
Kohad No.1,Mirzapur,211949,village,GAIPURA,23.63,ICD Lucknow,249.96,Dhamra Port,641.33,Lal Bahadur Shastri International Airport (VNS),73.37,Sunauli ICP,293.05
Latifpur,Mirzapur,212864,village,KHAIRAHI,19.07,ICD Patna,220.62,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,592.96,Lal Bahadur Shastri International Airport (VNS),54.03,Sunauli ICP,272.71
Ninwar Dakshin,Mirzapur,211903,village,JIGNA,17.16,ICD Lucknow,241.98,Dhamra Port,649.3,Lal Bahadur Shastri International Airport (VNS),72.52,Sunauli ICP,289.27
Banwaripur,Mirzapur,212122,village,MIRZAPUR,14.35,ICD Lucknow,256.09,Dhamra Port,632.12,Lal Bahadur Shastri International Airport (VNS),56.81,Sunauli ICP,280.48
Jamaiyatpur,Mirzapur,212866,village,KHAIRAHI,20.03,ICD Patna,217.82,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,590.55,Lal Bahadur Shastri International Airport (VNS),54.58,Sunauli ICP,271.92
Ninwar Uttar,Mirzapur,211725,village,JIGNA,16.29,ICD Lucknow,241.31,Dhamra Port,649.84,Lal Bahadur Shastri International Airport (VNS),71.88,Sunauli ICP,288.44
Bhusi Patharaha,Mirzapur,211761,village,MIRZAPUR,16.53,ICD Lucknow,250.86,Dhamra Port,638.13,Lal Bahadur Shastri International Airport (VNS),61.26,Sunauli ICP,282.96
Nava Gaon,Mirzapur,211784,village,MIRZAPUR,24.06,ICD Lucknow,254.04,Dhamra Port,636.11,Lal Bahadur Shastri International Airport (VNS),68.72,Sunauli ICP,290.39
Nikarika,Mirzapur,212314,village,LUSA,6.45,ICD Patna,233.94,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,600.55,Lal Bahadur Shastri International Airport (VNS),59.06,Sunauli ICP,281.83
Khanhwar Majhari,Mirzapur,212157,village,MIRZAPUR,20.85,ICD Lucknow,259.05,Dhamra Port,630.0,Lal Bahadur Shastri International Airport (VNS),63.81,Sunauli ICP,287.39
Jhigaha,Mirzapur,211785,village,GAIPURA,23.77,ICD Lucknow,252.73,Dhamra Port,637.75,Lal Bahadur Shastri International Airport (VNS),70.08,Sunauli ICP,291.16
Dhari,Mirzapur,211779,village,GAIPURA,23.11,ICD Lucknow,251.73,Dhamra Port,638.83,Lal Bahadur Shastri International Airport (VNS),70.28,Sunauli ICP,291.01
Tharparsia,Mirzapur,211857,village,JIGNA,22.66,ICD Lucknow,248.69,Dhamra Port,642.61,Lal Bahadur Shastri International Airport (VNS),73.23,Sunauli ICP,292.48
Maina Amaha,Mirzapur,211814,village,GAIPURA,22.24,ICD Lucknow,248.74,Dhamra Port,642.36,Lal Bahadur Shastri International Airport (VNS),72.39,Sunauli ICP,291.79
Semari Kalan,Mirzapur,211828,village,JIGNA,22.01,ICD Lucknow,244.8,Dhamra Port,647.54,Lal Bahadur Shastri International Airport (VNS),77.26,Sunauli ICP,294.4
Mahdauri,Mirzapur,211645,village,PAHARA,9.23,ICD Patna,247.09,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,622.48,Lal Bahadur Shastri International Airport (VNS),47.48,Sunauli ICP,272.76
Sonpur,Mirzapur,212875,village,KAILAHAT,12.55,ICD Patna,220.44,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,598.33,Lal Bahadur Shastri International Airport (VNS),45.95,Sunauli ICP,265.43
Ram Rasahi,Mirzapur,212881,village,CHUNAR,10.82,ICD Patna,222.42,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,600.66,Lal Bahadur Shastri International Airport (VNS),44.69,Sunauli ICP,265.16
Mirapur,Mirzapur,212627,village,KAILAHAT,12.85,ICD Patna,218.32,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,596.78,Lal Bahadur Shastri International Airport (VNS),45.98,Sunauli ICP,264.46
Nakati Mishrauli,Mirzapur,211632,village,JHINGURA,7.66,ICD Patna,250.4,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,627.17,Lal Bahadur Shastri International Airport (VNS),46.6,Sunauli ICP,271.55
Imiliya,Mirzapur,211635,village,PAHARA,7.21,ICD Patna,248.37,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,625.35,Lal Bahadur Shastri International Airport (VNS),45.7,Sunauli ICP,270.83
Thansingh Ka Pura,Mirzapur,211631,village,JHINGURA,7.08,ICD Patna,250.64,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,627.71,Lal Bahadur Shastri International Airport (VNS),46.29,Sunauli ICP,271.18
Jigna,Mirzapur,212827,village,KAILAHAT,16.22,ICD Patna,214.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,592.31,Lal Bahadur Shastri International Airport (VNS),48.39,Sunauli ICP,264.48
Rajapur,Mirzapur,211738,village,VINDHYACHAL,11.58,ICD Lucknow,244.42,Dhamra Port,644.26,Lal Bahadur Shastri International Airport (VNS),58.05,Sunauli ICP,277.95
Pagar,Mirzapur,211747,village,MIRZAPUR,10.81,ICD Lucknow,246.99,Dhamra Port,641.34,Lal Bahadur Shastri International Airport (VNS),55.65,Sunauli ICP,276.83
Bhagauti Dei,Mirzapur,212877,village,KAILAHAT,11.55,ICD Patna,221.1,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,599.47,Lal Bahadur Shastri International Airport (VNS),44.98,Sunauli ICP,264.85
Mahua Bari,Mirzapur,212823,village,AHRAURA ROAD,12.21,ICD Patna,213.7,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,595.12,Lal Bahadur Shastri International Airport (VNS),43.88,Sunauli ICP,260.11
Kolhua Sahu,Mirzapur,211293,village,MIRZAPUR,5.52,ICD Lucknow,242.38,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,640.71,Lal Bahadur Shastri International Airport (VNS),39.72,Sunauli ICP,261.27
Bela,Mirzapur,212578,village,KAILAHAT,2.06,ICD Patna,220.9,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,608.03,Lal Bahadur Shastri International Airport (VNS),31.61,Sunauli ICP,252.65
Kherairi Nisk,Mirzapur,212677,village,JEONATHPUR,7.82,ICD Patna,205.66,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,594.14,Lal Bahadur Shastri International Airport (VNS),39.07,Sunauli ICP,249.97
Bedauli Kalan,Mirzapur,211509,village,JHINGURA,6.41,ICD Patna,247.22,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,632.44,Lal Bahadur Shastri International Airport (VNS),34.75,Sunauli ICP,258.92
Gulabpura,Mirzapur,212894,village,CHUNAR,8.04,ICD Patna,223.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,603.43,Lal Bahadur Shastri International Airport (VNS),42.0,Sunauli ICP,263.26
Ballipur,Mirzapur,212438,village,CHUNAR,4.46,ICD Patna,233.59,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,612.4,Lal Bahadur Shastri International Airport (VNS),41.46,Sunauli ICP,265.78
Kanauha,Mirzapur,212436,village,DAGMAGPUR,3.59,ICD Patna,235.43,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,614.43,Lal Bahadur Shastri International Airport (VNS),41.09,Sunauli ICP,265.78
Kharhara Tiwari,Mirzapur,211588,village,JHINGURA,5.02,ICD Patna,250.45,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,628.85,Lal Bahadur Shastri International Airport (VNS),44.53,Sunauli ICP,269.29
Barbakpur,Mirzapur,212638,village,KAILAHAT,11.3,ICD Patna,216.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,597.1,Lal Bahadur Shastri International Airport (VNS),43.94,Sunauli ICP,261.86
Karanpur,Mirzapur,211585,village,JHINGURA,3.45,ICD Patna,252.25,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,631.36,Lal Bahadur Shastri International Airport (VNS),44.33,Sunauli ICP,268.68
Dubara Pahari,Mirzapur,211374,village,VINDHYACHAL,8.25,ICD Lucknow,243.79,Dhamra Port,644.45,Lal Bahadur Shastri International Airport (VNS),54.39,Sunauli ICP,274.55
