state,district,district_code,pop_2011,is_island,target_port,road_distance_km,road_cost_per_ton_inr,rail_cost_per_ton_inr,dfc_cost_per_ton_inr,optimal_mode,modal_shift_savings_inr,modal_shift_savings_pct,break_even_distance_km,road_drive_time_hours
Arunachal Pradesh,PAPUMPARE,248.0,144822,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1980.4,7407.1,4404.3,,Conventional Rail,3002.8,40.5,380.0,28.51
Arunachal Pradesh,SHI YOMI,730.0,35999,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2195.2,8203.2,4743.6,,Conventional Rail,3459.6,42.2,380.0,32.65
Arunachal Pradesh,SIANG,722.0,150926,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1994.9,7462.6,4427.2,,Conventional Rail,3035.4,40.7,380.0,29.03
Arunachal Pradesh,TAWANG,245.0,48527,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1368.3,5170.2,3437.5,,Conventional Rail,1732.7,33.5,380.0,20.92
Arunachal Pradesh,TIRAP,254.0,54464,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1847.8,6920.4,4194.9,,Conventional Rail,2725.5,39.4,380.0,26.58
Arunachal Pradesh,UPPER SIANG,252.0,32360,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2010.5,7522.9,4451.8,,Conventional Rail,3071.1,40.8,380.0,29.66
Arunachal Pradesh,UPPER SUBANSIRI,249.0,73724,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2141.1,7998.9,4658.1,,Conventional Rail,3340.8,41.8,380.0,31.11
Arunachal Pradesh,WEST KAMENG,246.0,58931,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1333.9,5040.3,3383.1,,Conventional Rail,1657.1,32.9,380.0,19.94
Arunachal Pradesh,WEST SIANG,250.0,17992,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1978.4,7399.4,4401.1,,Conventional Rail,2998.3,40.5,380.0,28.44
Assam,BAJALI,771.0,347190,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,934.6,3569.9,2608.4,,Conventional Rail,961.5,26.9,380.0,13.5
Assam,BAKSA,324.0,644490,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,969.8,3699.6,2651.8,,Conventional Rail,1047.8,28.3,380.0,14.08
Assam,BARPETA,303.0,1249015,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1091.5,4145.8,3000.3,,Conventional Rail,1145.5,27.6,380.0,15.78
Assam,BISWANATH,734.0,802369,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1986.4,7429.7,4413.8,,Conventional Rail,3016.0,40.6,380.0,28.68
Assam,BONGAIGAON,319.0,732606,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,856.8,3284.4,2248.9,,Conventional Rail,1035.5,31.5,380.0,12.38
Assam,CACHAR,316.0,1692478,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1420.1,5351.6,3324.4,,Conventional Rail,2027.1,37.9,380.0,20.51
Assam,CHARAIDEO,704.0,430435,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1732.7,6498.1,4013.0,,Conventional Rail,2485.1,38.2,380.0,24.94
Assam,CHIRANG,320.0,484461,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,882.1,3378.7,2438.9,,Conventional Rail,939.8,27.8,380.0,12.94
Assam,DARANG,325.0,879320,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1307.6,4938.4,3341.6,,Conventional Rail,1596.8,32.3,380.0,18.85
Assam,DHEMAJI,308.0,628833,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1785.8,6692.6,4096.9,,Conventional Rail,2595.7,38.8,380.0,25.66
Assam,DHUBRI,301.0,1536110,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,766.8,2954.1,2447.5,,Conventional Rail,506.6,17.2,380.0,11.08
Assam,DIBRUGARH,310.0,1284755,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1779.3,6669.7,4086.7,,Conventional Rail,2583.1,38.7,380.0,25.69
