state,district,sub_district,sub_district_code,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Karnataka,Mysuru,Hunsur,5570,Krishnarajanagara,20.71,ICD Coimbatore,156.57,New Mangalore Port,175.47,Calicut International Airport (CCJ),132.11,Petrapole ICP,1764.02
Karnataka,Mysuru,K.R.Nagar,5571,Arjunahalli,1.92,ICD Whitefield,140.96,New Mangalore Port,174.74,Calicut International Airport (CCJ),157.97,Petrapole ICP,1741.01
Karnataka,Mysuru,Mysuru,5572,CHAMARAJAPURAM,1.42,ICD Whitefield,127.42,New Mangalore Port,208.99,Calicut International Airport (CCJ),148.2,Petrapole ICP,1737.11
Karnataka,Mysuru,Nanjangud,5574,NARASAMBUDHI,7.02,ICD Coimbatore,117.68,New Mangalore Port,223.38,Calicut International Airport (CCJ),128.33,Petrapole ICP,1753.42
Karnataka,Mysuru,Piriyapatna,5569,Krishnarajanagara,34.41,ICD Mangalore (Panambur),145.88,New Mangalore Port,147.79,Calicut International Airport (CCJ),139.06,Petrapole ICP,1773.56
Karnataka,Mysuru,Saligrama,7050,Hosa Agrahara,13.02,ICD Whitefield,153.36,New Mangalore Port,159.29,Mangaluru International Airport (IXE),154.46,Petrapole ICP,1748.66
Karnataka,Mysuru,Saraguru,6800,NANJANGUD TOWN,38.14,ICD Coimbatore,118.22,New Mangalore Port,202.6,Calicut International Airport (CCJ),100.17,Petrapole ICP,1784.5
Karnataka,Mysuru,T.Naras\pura,5575,TANDAVAPURA,26.16,ICD Whitefield,108.18,New Mangalore Port,235.67,Kempegowda International Airport (BLR),135.35,Petrapole ICP,1719.43
Karnataka,Raichur,Arakera,7177,YADALAPUR,42.02,ICD Hyderabad (Sanathnagar),205.64,Mormugao Port,347.45,Rajiv Gandhi International Airport (HYD),188.18,Sunauli ICP,1384.23
Karnataka,Raichur,Devdurga,5460,SAIDAPUR,33.46,ICD Hyderabad (Sanathnagar),193.71,Mormugao Port,355.05,Rajiv Gandhi International Airport (HYD),177.17,Sunauli ICP,1369.38
Karnataka,Raichur,Lingasugur,5459,KUDALA SANGAM,61.32,ICD Hyderabad (Sanathnagar),260.22,Mormugao Port,290.17,Rajiv Gandhi International Airport (HYD),243.99,Rupaidiha ICP,1419.39
Karnataka,Raichur,Manvi,5462,KOSGI,25.9,ICD Hyderabad (Sanathnagar),221.98,Mormugao Port,348.9,Rajiv Gandhi International Airport (HYD),202.19,Sunauli ICP,1409.93
Karnataka,Raichur,Maski,6798,KOSGI,66.48,ICD Hyderabad (Sanathnagar),253.06,Mormugao Port,306.65,Rajiv Gandhi International Airport (HYD),235.19,Rupaidiha ICP,1426.85
Karnataka,Raichur,Raichur,5461,RAICHUR,3.0,ICD Hyderabad (Sanathnagar),182.18,Krishnapatnam Port,363.01,Rajiv Gandhi International Airport (HYD),161.67,Sunauli ICP,1374.69
Karnataka,Raichur,Sindhanur,5463,KUPGAL,56.18,ICD Hyderabad (Sanathnagar),264.57,Mormugao Port,310.09,Rajiv Gandhi International Airport (HYD),245.24,Sunauli ICP,1448.04
Karnataka,Raichur,Sirivara,6794,MARICHETHAL,31.56,ICD Hyderabad (Sanathnagar),210.86,Mormugao Port,350.48,Rajiv Gandhi International Airport (HYD),192.05,Sunauli ICP,1395.19
Karnataka,Ramanagara,Channapatna,5607,CHANNAPATNA,3.29,ICD Whitefield,57.11,New Mangalore Port,257.78,Kempegowda International Airport (BLR),83.84,Petrapole ICP,1668.17
Karnataka,Ramanagara,Harohalli,7881,BIDADI,21.29,ICD Whitefield,38.86,New Mangalore Port,289.71,Kempegowda International Airport (BLR),66.85,Petrapole ICP,1645.71
Karnataka,Ramanagara,Kanakapura,5608,RAMANAGARAM,35.77,ICD Whitefield,60.29,New Mangalore Port,289.16,Kempegowda International Airport (BLR),88.1,Petrapole ICP,1663.71
Karnataka,Ramanagara,Magadi,5605,DOBBSPET,24.57,ICD Whitefield,40.08,New Mangalore Port,259.0,Kempegowda International Airport (BLR),56.29,Petrapole ICP,1636.12
Karnataka,Ramanagara,Ramanagara,5606,KETOHALLI,3.92,ICD Whitefield,37.26,New Mangalore Port,273.95,Kempegowda International Airport (BLR),64.74,Petrapole ICP,1648.51
Karnataka,Shivamogga,Bhadravathi,5521,Bhadravati,9.94,ICD Mangalore (Panambur),147.17,New Mangalore Port,148.01,Mangaluru International Airport (IXE),140.86,Rupaidiha ICP,1670.98
Karnataka,Shivamogga,Hosanagar,5518,Anandapuram,30.63,ICD Mangalore (Panambur),104.92,New Mangalore Port,104.74,Mangaluru International Airport (IXE),99.68,Rupaidiha ICP,1702.54
Karnataka,Shivamogga,Sagara,5515,Talguppa,13.42,ICD Mangalore (Panambur),130.66,New Mangalore Port,130.29,Mangaluru International Airport (IXE),125.79,Rupaidiha ICP,1680.05
Karnataka,Shivamogga,Shikaripura,5517,Kumsi,28.76,ICD Mangalore (Panambur),163.99,New Mangalore Port,164.13,Mangaluru International Airport (IXE),158.21,Rupaidiha ICP,1642.13
Karnataka,Shivamogga,Shivamogga,5520,Kotegangur,5.84,ICD Mangalore (Panambur),132.9,New Mangalore Port,133.45,Mangaluru International Airport (IXE),126.7,Rupaidiha ICP,1676.96
Karnataka,Shivamogga,Soraba,5516,Kanale,24.43,ICD Mangalore (Panambur),168.27,New Mangalore Port,167.94,Mangaluru International Airport (IXE),163.28,Rupaidiha ICP,1642.83
Karnataka,Shivamogga,Th\rthahalli,5519,Arasalu,34.0,ICD Mangalore (Panambur),96.98,New Mangalore Port,97.38,Mangaluru International Airport (IXE),90.9,Rupaidiha ICP,1710.26
Karnataka,Tumakuru,Chiknayakanahalli,5532,KARDI,28.48,ICD Whitefield,127.24,New Mangalore Port,197.96,Kempegowda International Airport (BLR),129.15,Petrapole ICP,1649.94
Karnataka,Tumakuru,Gubbi,5538,NITTUR,4.73,ICD Whitefield,89.21,New Mangalore Port,224.04,Kempegowda International Airport (BLR),92.99,Petrapole ICP,1639.26
Karnataka,Tumakuru,Koratagere,5536,KYATSANDRA,22.6,ICD Whitefield,64.52,New Mangalore Port,271.85,Kempegowda International Airport (BLR),54.7,Petrapole ICP,1596.12
Karnataka,Tumakuru,Kunigal,5541,NIDAGHATTA,35.95,ICD Whitefield,63.6,New Mangalore Port,235.2,Kempegowda International Airport (BLR),81.26,Petrapole ICP,1658.64
Karnataka,Tumakuru,Madhugiri,5535,HINDUPUR,25.16,ICD Whitefield,92.97,New Mangalore Port,279.35,Kempegowda International Airport (BLR),76.92,Petrapole ICP,1575.54
Karnataka,Tumakuru,Pavagada,5534,RANGEPALLI,43.35,ICD Whitefield,133.43,New Mangalore Port,285.79,Kempegowda International Airport (BLR),115.4,Petrapole ICP,1556.29
Karnataka,Tumakuru,Sira,5533,GUBBI,51.91,ICD Whitefield,118.69,New Mangalore Port,240.39,Kempegowda International Airport (BLR),110.69,Petrapole ICP,1605.05
Karnataka,Tumakuru,Tiptur,5539,TIPTUR,1.89,ICD Whitefield,122.73,New Mangalore Port,183.27,Kempegowda International Airport (BLR),131.34,Petrapole ICP,1675.26
Karnataka,Tumakuru,Tumkuru,5537,KYATSANDRA,1.65,ICD Whitefield,62.13,New Mangalore Port,254.62,Kempegowda International Airport (BLR),61.96,Petrapole ICP,1617.35
Karnataka,Tumakuru,Turuvekere,5540,AMMASANDRA,12.29,ICD Whitefield,97.29,New Mangalore Port,204.86,Kempegowda International Airport (BLR),107.81,Petrapole ICP,1665.37
Karnataka,Udupi,Bainduru,6738,BIJOOR,13.27,ICD Mangalore (Panambur),101.83,New Mangalore Port,101.13,Mangaluru International Airport (IXE),97.8,Rupaidiha ICP,1714.4
Karnataka,Udupi,Bramhavara,6740,BARKUR,5.29,ICD Mangalore (Panambur),61.13,New Mangalore Port,60.47,Mangaluru International Airport (IXE),57.1,Rupaidiha ICP,1750.46
