village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Veluarchar,Sepahijala,653,272084,village,8;44,8.6,Belghoria Expressway,301.23,Agartala,18.27,Bihara,206.15,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,312.16,ICD Amingaon,280.11,Agartala ICP (Akhaura),30.57,Lokpriya Gopinath Bordoloi International Airport (GAU),270.73,MMLP Silchar,203.45,Karimganj Terminal,176.22,FCI Depot Agartala,22.51
Putia,Sepahijala,653,272083,village,8;44,8.42,Belghoria Expressway,301.36,Agartala,17.42,Bihara,205.6,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,312.31,ICD Amingaon,279.12,Agartala ICP (Akhaura),29.98,Lokpriya Gopinath Bordoloi International Airport (GAU),269.73,MMLP Silchar,202.98,Karimganj Terminal,175.58,FCI Depot Agartala,21.63
Rahimpur,Sepahijala,653,272082,village,8,11.13,Belghoria Expressway,298.28,Agartala,18.77,Bihara,207.76,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,309.27,ICD Amingaon,279.24,Agartala ICP (Akhaura),32.17,Lokpriya Gopinath Bordoloi International Airport (GAU),269.75,MMLP Silchar,205.35,Karimganj Terminal,177.48,FCI Depot Agartala,22.77
Nabachandra Nagar,Sepahijala,653,272110,village,8,1.34,Belghoria Expressway,300.61,Agartala,34.26,Bihara,215.29,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,311.06,ICD Amingaon,296.55,Agartala ICP (Akhaura),42.89,Lokpriya Gopinath Bordoloi International Airport (GAU),287.39,MMLP Silchar,211.34,Karimganj Terminal,186.83,FCI Depot Agartala,38.55
Chowmohani,Sepahijala,653,272099,village,8,6.33,Belghoria Expressway,309.0,Agartala,26.02,Bihara,204.86,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,319.62,ICD Amingaon,287.33,Agartala ICP (Akhaura),32.87,Lokpriya Gopinath Bordoloi International Airport (GAU),278.31,MMLP Silchar,201.02,Karimganj Terminal,176.35,FCI Depot Agartala,30.12
Bagbassa,Sepahijala,653,272102,village,8,3.0,Belghoria Expressway,316.11,Agartala,27.57,Bihara,199.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,326.68,ICD Amingaon,285.97,Agartala ICP (Akhaura),31.03,Lokpriya Gopinath Bordoloi International Airport (GAU),277.17,MMLP Silchar,195.44,Karimganj Terminal,171.76,FCI Depot Agartala,31.2
Paschim Jumerdhepa,Sepahijala,653,272100,village,8,5.2,Belghoria Expressway,311.83,Agartala,26.13,Bihara,202.63,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,322.44,ICD Amingaon,286.51,Agartala ICP (Akhaura),31.7,Lokpriya Gopinath Bordoloi International Airport (GAU),277.57,MMLP Silchar,198.65,Karimganj Terminal,174.32,FCI Depot Agartala,30.07
Bijoynagar,Sepahijala,653,272094,village,8,8.89,Belghoria Expressway,302.35,Agartala,24.67,Bihara,208.93,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,313.06,ICD Amingaon,287.09,Agartala ICP (Akhaura),34.57,Lokpriya Gopinath Bordoloi International Airport (GAU),277.85,MMLP Silchar,205.57,Karimganj Terminal,179.75,FCI Depot Agartala,28.99
Banshibari,Sepahijala,653,272066,village,8,7.73,Belghoria Expressway,302.39,Agartala,20.26,Bihara,206.58,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,313.22,ICD Amingaon,282.59,Agartala ICP (Akhaura),31.38,Lokpriya Gopinath Bordoloi International Airport (GAU),273.28,MMLP Silchar,203.59,Karimganj Terminal,176.99,FCI Depot Agartala,24.58
Banstali,Sepahijala,653,272073,village,8,1.67,Belghoria Expressway,311.23,Agartala,21.43,Bihara,200.78,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,321.95,ICD Amingaon,282.46,Agartala ICP (Akhaura),28.05,Lokpriya Gopinath Bordoloi International Airport (GAU),273.45,MMLP Silchar,197.16,Karimganj Terminal,172.01,FCI Depot Agartala,25.44
