district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
Chandauli,1639,8.37,10.73,56.98596705308114,91.64124466137889,100.0,110.24,110.87,0.0,0.0,0.0,7.84,10.61,58.14521049420378,94.08175716900548,100.0,92.22,87.21,0.0,0.0,4.8200122025625385,582.51,583.24,0.0,0.0,0.0,192.29,191.49,0.0,0.0,0.0,241.11,244.22,0.0,0.0,0.0,51.06,50.8,0.0,0.5491153142159854,46.2477120195241,34.87,35.67,1.586333129957291,16.47345942647956,88.89566809029897,34.87,35.67,1.586333129957291,16.47345942647956,88.89566809029897,34.87,35.67,1.586333129957291,16.47345942647956,88.89566809029897,20.52,21.02,9.273947528981086,74.862721171446,99.14582062233069,1938147.0
Chitrakoot,651,4.97,6.57,82.18125960061444,97.84946236559139,100.0,23.96,24.18,13.210445468509985,52.995391705069125,99.38556067588326,10.53,12.08,47.77265745007681,93.24116743471582,100.0,62.68,62.7,0.0,0.0,18.89400921658986,761.61,759.24,0.0,0.0,0.0,149.92,152.3,0.0,0.0,0.0,329.68,331.85,0.0,0.0,0.0,159.97,160.29,0.0,0.0,0.0,188.09,187.25,0.0,0.0,0.0,188.09,187.25,0.0,0.0,0.0,147.5,148.59,0.0,0.0,0.0,47.16,46.01,0.0,2.3041474654377883,57.91090629800307,1020100.0
Deoria,2093,4.49,5.31,85.71428571428571,100.0,100.0,199.7,199.39,0.0,0.0,0.0,5.77,7.61,72.86192068800764,99.90444338270426,100.0,24.94,26.36,15.957955088389872,50.54945054945055,94.88772097467749,612.34,611.05,0.0,0.0,0.0,155.14,154.15,0.0,0.0,0.0,111.88,110.78,0.0,0.0,0.0,135.24,137.78,0.0,0.0,0.0,139.57,142.41,0.0,0.0,0.0,129.87,127.82,0.0,0.0,0.0,61.0,62.19,0.0,0.0,28.093645484949832,37.29,35.16,3.487816531294792,22.64691829909221,90.06211180124224,3079826.0
Etah,880,6.68,8.15,69.54545454545455,97.5,100.0,184.3,186.27,0.0,0.0,0.0,9.375,10.34,53.75,100.0,100.0,22.69,26.4,14.545454545454545,55.45454545454545,88.06818181818183,884.0350000000001,882.95,0.0,0.0,0.0,140.86,140.22,0.0,0.0,0.0,258.18,256.68,0.0,0.0,0.0,184.9,185.96,0.0,0.0,0.0,405.57,406.36,0.0,0.0,0.0,479.49,478.49,0.0,0.0,0.0,147.70499999999998,148.05,0.0,0.0,0.0,40.305,40.0,0.0,6.8181818181818175,80.45454545454545,1702955.0
Etawah,694,4.005,4.94,89.04899135446685,100.0,100.0,243.865,242.25,0.0,0.0,0.0,9.059999999999999,10.69,55.18731988472623,94.95677233429394,100.0,94.935,96.75,0.0,0.0,0.0,854.46,855.43,0.0,0.0,0.0,107.07499999999999,106.58,0.0,0.0,0.0,269.66999999999996,268.88,0.0,0.0,0.0,174.66500000000002,175.9,0.0,0.0,0.0,411.53,413.09,0.0,0.0,0.0,411.53,413.09,0.0,0.0,0.0,107.16499999999999,106.62,0.0,0.0,0.0,13.84,13.46,28.674351585014406,99.27953890489914,100.0,1559596.0
Farrukhabad,984,10.114999999999998,13.64,49.390243902439025,80.9959349593496,100.0,250.54500000000002,246.44,0.0,0.0,0.0,5.36,6.49,79.57317073170732,99.89837398373984,100.0,84.215,82.39,0.0,0.0,0.8130081300813009,928.985,929.37,0.0,0.0,0.0,133.715,131.62,0.0,0.0,0.0,197.655,197.11,0.0,0.0,0.0,153.865,156.08,0.0,0.0,0.0,410.77,411.43,0.0,0.0,0.0,410.77,412.57,0.0,0.0,0.0,135.2,135.81,0.0,0.0,0.0,32.37,32.25,2.8455284552845526,24.898373983739837,94.8170731707317,1869531.0
Fatehpur,1482,7.845,8.49,61.1336032388664,100.0,100.0,67.97999999999999,69.66,0.0,0.0,23.076923076923077,9.4,10.09,54.99325236167342,99.12280701754386,100.0,27.095,32.71,6.5452091767881235,45.41160593792173,78.60998650472335,820.39,822.22,0.0,0.0,0.0,82.36500000000001,81.74,0.0,0.0,14.035087719298245,270.74,272.76,0.0,0.0,0.0,96.42500000000001,98.04,0.0,0.0,0.0,215.41,219.07,0.0,0.0,0.0,215.41,219.07,0.0,0.0,0.0,81.46000000000001,80.79,0.0,0.0,14.912280701754385,24.695,26.69,5.3306342780027,50.53981106612686,98.4480431848853,2606150.0
Firozabad,810,6.875,7.56,69.38271604938272,100.0,100.0,196.89499999999998,197.88,0.0,0.0,0.0,7.17,8.55,64.93827160493827,100.0,100.0,48.644999999999996,46.56,0.3703703703703704,6.5432098765432105,54.19753086419753,841.6,842.74,0.0,0.0,0.0,109.775,110.78,0.0,0.0,0.0,290.195,290.44,0.0,0.0,0.0,203.535,202.31,0.0,0.0,0.0,420.78,421.85,0.0,0.0,0.0,480.195,480.3,0.0,0.0,0.0,109.93,110.87,0.0,0.0,0.0,19.270000000000003,19.25,19.38271604938272,74.44444444444444,100.0,2467586.0
Gautam Buddha Nagar,144,5.275,6.84,78.47222222222221,100.0,100.0,36.58,39.57,0.6944444444444444,12.5,74.30555555555556,8.184999999999999,9.31,63.19444444444444,100.0,100.0,32.085,31.38,0.0,23.61111111111111,100.0,889.48,884.19,0.0,0.0,0.0,12.455,16.68,37.5,74.30555555555556,100.0,349.83000000000004,350.5,0.0,0.0,0.0,51.385000000000005,51.76,0.0,0.0,44.44444444444444,255.85500000000002,259.27,0.0,0.0,0.0,626.06,625.09,0.0,0.0,0.0,31.605,37.84,0.0,21.52777777777778,72.91666666666666,6.11,6.14,91.66666666666666,100.0,100.0,1538497.0
Ghaziabad,198,4.22,4.57,97.47474747474747,100.0,100.0,22.29,21.36,17.17171717171717,60.60606060606061,100.0,5.27,5.56,92.42424242424242,100.0,100.0,20.744999999999997,19.91,19.19191919191919,68.68686868686868,100.0,913.48,912.8,0.0,0.0,0.0,20.495,19.46,17.17171717171717,73.73737373737373,100.0,357.95,357.79,0.0,0.0,0.0,47.07,46.09,0.0,0.0,61.111111111111114,223.085,223.63,0.0,0.0,0.0,654.36,653.67,0.0,0.0,0.0,22.33,22.13,0.5050505050505051,68.18181818181817,100.0,6.755,7.75,71.21212121212122,100.0,100.0,3306982.0
