village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
JABRA STATE,BAGESHWAR,63,051272,village,RAMNAGAR,75.75,Dhamora,144.76,Dahej Port,1134.07,ICD Moradabad,144.52,Rupaidiha ICP,234.7,Indira Gandhi International Airport (DEL),281.73,MMLP Sangrur,354.98,Varanasi Multi-Modal Terminal,604.41,FCI Depot Dehradun,150.77
SIRKOT,BAGESHWAR,63,051277,village,RAMNAGAR,76.93,Dhamora,145.74,Dahej Port,1135.29,ICD Moradabad,145.67,Rupaidiha ICP,234.44,Indira Gandhi International Airport (DEL),283.03,MMLP Sangrur,356.02,Varanasi Multi-Modal Terminal,604.34,FCI Depot Dehradun,151.68
SAL GARA,BAGESHWAR,63,051339,village,KATHGODAM,78.57,Dhamora,148.52,Dahej Port,1139.28,ICD Moradabad,149.31,Rupaidiha ICP,232.15,Indira Gandhi International Airport (DEL),287.76,MMLP Sangrur,360.72,Varanasi Multi-Modal Terminal,602.69,FCI Depot Dehradun,156.05
LAMCHULA,BAGESHWAR,63,051336,village,KATHGODAM,79.46,Dhamora,150.84,Dahej Port,1143.27,ICD Moradabad,152.88,Rupaidiha ICP,228.07,Indira Gandhi International Airport (DEL),293.1,MMLP Sangrur,366.98,Varanasi Multi-Modal Terminal,599.27,FCI Depot Dehradun,162.16
HAWIL KULWAN,BAGESHWAR,63,051268,village,RAMNAGAR,76.65,Dhamora,145.99,Dahej Port,1134.83,ICD Moradabad,145.46,Rupaidiha ICP,236.27,Indira Gandhi International Airport (DEL),281.99,MMLP Sangrur,354.17,Varanasi Multi-Modal Terminal,606.03,FCI Depot Dehradun,149.74
MAJ KOT,BAGESHWAR,63,051273,village,RAMNAGAR,75.34,Dhamora,145.6,Dahej Port,1133.08,ICD Moradabad,144.21,Rupaidiha ICP,239.34,Indira Gandhi International Airport (DEL),279.3,MMLP Sangrur,350.4,Varanasi Multi-Modal Terminal,608.74,FCI Depot Dehradun,145.95
TALLA PAYA,BAGESHWAR,63,051303,village,KATHGODAM,79.0,Dhamora,148.61,Dahej Port,1138.94,ICD Moradabad,149.11,Rupaidiha ICP,233.34,Indira Gandhi International Airport (DEL),287.04,MMLP Sangrur,359.48,Varanasi Multi-Modal Terminal,603.8,FCI Depot Dehradun,154.76
BHAGDANU,BAGESHWAR,63,051335,village,KATHGODAM,80.71,Dhamora,151.73,Dahej Port,1143.61,ICD Moradabad,153.37,Rupaidiha ICP,230.04,Indira Gandhi International Airport (DEL),292.8,MMLP Sangrur,365.57,Varanasi Multi-Modal Terminal,601.23,FCI Depot Dehradun,160.57
MALLA PAYA,BAGESHWAR,63,051302,village,KATHGODAM,79.58,Dhamora,149.1,Dahej Port,1139.27,ICD Moradabad,149.5,Rupaidiha ICP,233.94,Indira Gandhi International Airport (DEL),287.17,MMLP Sangrur,359.2,Varanasi Multi-Modal Terminal,604.43,FCI Depot Dehradun,154.4
SURAG,BAGESHWAR,63,051337,village,KATHGODAM,78.08,Dhamora,149.04,Dahej Port,1141.05,ICD Moradabad,150.75,Rupaidiha ICP,228.75,Indira Gandhi International Airport (DEL),290.64,MMLP Sangrur,364.82,Varanasi Multi-Modal Terminal,599.65,FCI Depot Dehradun,160.2
