district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
JALOR,836,24.73,28.63,21.650717703349283,50.59808612440191,84.0909090909091,209.29,209.98,0.0,0.0,0.0,285.185,292.94,0.0,0.0,0.0,221.515,223.72,0.0,0.0,0.0,710.0,701.6,0.0,0.0,0.0,223.06,224.71,0.0,0.0,0.0,419.74,420.77,0.0,0.0,0.0,1070.92,1069.68,0.0,0.0,0.0,164.32,156.3,0.0,0.0,0.0,1833059.0
JHALAWAR,1631,30.58,29.48,10.72961373390558,36.29675045984059,93.93010423053342,174.54,184.36,0.0,0.0,0.0,479.92,470.79,0.0,0.0,0.0,202.27,196.35,0.0,0.0,0.0,645.72,655.39,0.0,0.0,0.0,187.83,183.66,0.0,0.0,0.0,186.36,182.89,0.0,0.0,0.0,670.47,676.17,0.0,0.0,0.0,98.77,98.14,0.0,0.0,0.0,1448458.0
JHUNJHUNUN,1003,10.51,11.19,46.75972083748754,100.0,100.0,118.92,118.62,0.0,0.0,0.0,756.07,755.58,0.0,0.0,0.0,101.96,101.31,0.0,0.0,0.09970089730807577,341.43,341.77,0.0,0.0,0.0,133.54,135.32,0.0,0.0,0.0,234.64,236.17,0.0,0.0,0.0,785.28,785.05,0.0,0.0,0.0,131.69,130.62,0.0,0.0,0.0,2146150.0
JODHPUR,1247,21.49,24.05,24.057738572574177,56.936647955092226,91.49959903769046,130.16,128.38,0.0,0.0,0.0,453.52,455.49,0.0,0.0,0.0,302.08,294.82,0.0,0.0,0.0,537.63,536.63,0.0,0.0,0.0,299.09,291.9,0.0,0.0,0.0,483.95,486.93,0.0,0.0,0.0,1004.63,1001.48,0.0,0.0,0.0,54.2,52.56,1.5236567762630313,14.194065757818766,45.0681635926223,2156916.0
KARAULI,901,13.95,14.25,29.52275249722531,92.78579356270811,100.0,138.95,138.27,0.0,0.0,0.0,693.34,689.5,0.0,0.0,0.0,105.16,103.8,0.0,0.0,0.0,454.39,457.81,0.0,0.0,0.0,115.08,116.39,0.0,0.0,0.0,400.15,400.82,0.0,0.0,0.0,609.54,608.48,0.0,0.0,0.0,111.25,109.66,0.0,0.0,0.0,1466707.0
KHAIRTHAL-TIJARA,559,14.3,14.84,33.810375670840784,86.22540250447227,100.0,60.0,58.94,0.0,0.0,29.5169946332737,791.94,793.8,0.0,0.0,0.0,26.17,25.98,1.7889087656529516,45.796064400715565,100.0,399.82,401.0,0.0,0.0,0.0,80.19,78.39,0.0,0.0,3.7567084078711988,264.53,265.14,0.0,0.0,0.0,673.84,675.13,0.0,0.0,0.0,90.95,89.02,0.0,0.0,0.0,2073427.0
KOTA,881,12.91,13.46,37.3439273552781,92.16799091940976,100.0,153.87,155.5,0.0,0.0,0.0,513.28,517.45,0.0,0.0,0.0,193.29,185.52,0.0,0.0,0.0,612.81,609.65,0.0,0.0,0.0,198.47,188.87,0.0,0.0,0.0,250.96,260.78,0.0,0.0,0.0,674.81,676.25,0.0,0.0,0.0,46.7,47.26,0.7945516458569807,11.691259931895573,55.39160045402951,1785506.0
KOTPUTLI-BEHROR,599,26.33,26.41,9.181969949916526,46.57762938230384,100.0,101.76,101.15,0.0,0.0,0.0,748.72,749.15,0.0,0.0,0.0,54.61,52.58,0.0,8.681135225375627,43.572621035058425,406.18,403.34,0.0,0.0,0.0,95.53,93.84,0.0,0.0,0.0,282.16,279.08,0.0,0.0,0.0,708.54,708.2,0.0,0.0,0.0,95.47,92.36,0.0,0.0,0.5008347245409015,897461.0
NAGAUR,860,15.620000000000001,17.67,34.53488372093023,73.13953488372093,100.0,59.705,58.7,3.1395348837209305,15.930232558139535,38.72093023255814,563.27,563.08,0.0,0.0,0.0,183.57,189.43,0.0,0.0,0.0,462.66499999999996,459.41,0.0,0.0,0.0,179.32,185.4,0.0,0.0,0.0,407.16499999999996,404.26,0.0,0.0,0.0,897.585,904.14,0.0,0.0,0.0,125.265,122.89,0.0,0.0,0.0,2044363.0
PALI,792,10.725,11.91,46.464646464646464,93.18181818181817,100.0,189.925,191.03,0.0,0.0,0.0,420.24,418.7,0.0,0.0,0.0,251.015,249.81,0.0,0.0,0.0,611.88,616.04,0.0,0.0,0.0,250.18,248.7,0.0,0.0,0.0,389.21500000000003,393.04,0.0,0.0,0.0,942.7149999999999,942.17,0.0,0.0,0.0,94.675,90.6,0.0,0.0,10.1010101010101,1642235.0
