state,district,district_code,pop_2011,is_island,highway_access_dist_km,highway_access_time_min,nearest_rail_station_name,rail_station_straight_km,rail_station_road_distance_km,rail_station_drive_time_hours,rail_station_drive_time_min,nearest_freight_terminal_name,freight_terminal_straight_km,freight_terminal_road_distance_km,freight_terminal_drive_time_hours,freight_terminal_drive_time_min,nearest_port_name,port_straight_km,port_road_distance_km,port_drive_time_hours,port_drive_time_min,nearest_icd_name,icd_straight_km,icd_road_distance_km,icd_drive_time_hours,icd_drive_time_min,nearest_mmlp_name,mmlp_straight_km,mmlp_road_distance_km,mmlp_drive_time_hours,mmlp_drive_time_min,nearest_air_cargo_name,air_cargo_straight_km,air_cargo_road_distance_km,air_cargo_drive_time_hours,air_cargo_drive_time_min,nearest_icp_name,icp_straight_km,icp_road_distance_km,icp_drive_time_hours,icp_drive_time_min,nearest_toll_plaza_name,toll_plaza_straight_km,toll_plaza_road_distance_km,toll_plaza_drive_time_hours,toll_plaza_drive_time_min,nearest_expressway_name,expressway_straight_km,expressway_road_distance_km,expressway_drive_time_hours,expressway_drive_time_min
Andhra Pradesh,Sri Sathya Sai,695.0,1967670,False,12.0,20.5,Malaka Vemala,14.2,36.7,0.36,21.0,New Makardhokda,364.8,517.1,0.47,28.0,New Mangalore Port,364.8,517.1,0.47,28.0,ICD Tiruppur,345.4,493.7,0.46,28.0,MMLP Bengaluru (Muddalinganahalli),133.3,201.2,0.41,24.0,Kempegowda International Airport (BLR),110.9,157.3,0.48,29.0,Petrapole ICP,1489.8,1800.4,0.82,49.0,Sri Sathya Sai Toll Plaza,40.3,54.4,0.36,21.0,Bangalore - Nelamangala Expressway,133.9,191.1,0.39,23.0
Andhra Pradesh,Srikakulam,542.0,1942334,False,8.1,13.9,HARISHCHANDRAPURAM,15.9,21.2,0.24,15.0,Amagura,212.4,369.9,0.34,20.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,605.3,705.7,0.4,24.0,ICD Bhubaneswar,250.8,285.9,0.38,23.0,MMLP Vijayawada,432.8,586.4,0.4,24.0,Biju Patnaik International Airport (BBI),247.2,277.8,0.39,24.0,Petrapole ICP,681.9,781.1,0.47,28.0,Srikakulam Toll Plaza,28.4,36.6,0.24,15.0,NE 19,612.0,703.0,0.4,24.0
Andhra Pradesh,Tirupati,692.0,1818614,False,6.6,11.4,DORAVARI CHATRAM,13.0,32.5,0.2,12.0,Krishnapatnam,61.1,94.0,0.28,17.0,Krishnapatnam Port,61.1,94.0,0.28,17.0,ICD Tiruppur,401.1,590.2,0.33,20.0,MMLP Bengaluru (Muddalinganahalli),273.7,328.0,0.29,17.0,Tiruchirappalli International Airport (TRZ),355.5,514.7,0.33,20.0,Petrapole ICP,1380.8,1747.9,0.66,39.0,Sullurpeta,17.1,41.5,0.2,12.0,Chitoor-Thatchur Expressway,57.9,91.2,0.21,13.0
Andhra Pradesh,Visakhapatnam,544.0,466714,False,5.3,9.0,Mallividu,21.7,27.5,0.16,10.0,Amagura,181.5,280.6,0.23,14.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,732.2,839.5,0.35,21.0,ICD Bhubaneswar,377.7,419.7,0.33,20.0,MMLP Vijayawada,310.6,446.9,0.29,17.0,Biju Patnaik International Airport (BBI),374.1,411.6,0.34,21.0,Petrapole ICP,808.8,914.9,0.42,25.0,Anakapalli Toll Plaza,22.8,29.4,0.16,10.0,NE 19,738.9,836.9,0.35,21.0
Andhra Pradesh,Vizianagaram,543.0,2092958,False,12.2,20.9,GAJAPATINAGARAM,13.4,21.3,0.37,22.0,Amagura,161.6,229.3,0.42,25.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,682.4,854.5,0.55,33.0,ICD Raipur,374.9,659.2,0.53,32.0,MMLP Vijayawada,352.6,512.1,0.5,30.0,Biju Patnaik International Airport (BBI),324.8,426.6,0.54,33.0,Petrapole ICP,758.9,929.9,0.62,37.0,Vizianagaram Toll Plaza,23.1,28.7,0.36,21.0,NE 19,688.7,851.8,0.55,33.0
Andhra Pradesh,West Godavari,546.0,1146158,False,10.0,17.1,BHIMAVARAM TOWN,12.8,16.6,0.29,17.0,Jaggayyapet,159.3,216.0,0.41,24.0,Krishnapatnam Port,304.3,823.8,0.55,33.0,ICD Hyderabad (Sanathnagar),339.6,417.1,0.42,25.0,MMLP Vijayawada,100.3,135.8,0.35,21.0,Rajiv Gandhi International Airport (HYD),338.6,427.5,0.51,31.0,Petrapole ICP,1023.8,1235.4,0.63,38.0,West Godavari Toll Plaza,24.5,41.3,0.3,18.0,Chitoor-Thatchur Expressway,423.1,764.1,0.46,28.0
Andhra Pradesh,Y.S.R.,551.0,1954000,False,5.0,8.6,YERRAGUNTLA,13.7,30.2,0.16,9.0,Uttangal Mangalam,357.1,526.8,0.28,17.0,Krishnapatnam Port,165.2,303.4,0.28,17.0,ICD Hyderabad (Sanathnagar),303.8,469.3,0.29,17.0,MMLP Bengaluru (Muddalinganahalli),220.8,316.7,0.24,14.0,Tiruchirappalli International Airport (TRZ),433.0,595.0,0.31,18.0,Petrapole ICP,1397.5,1639.7,0.58,35.0,Y.S.R. Toll Plaza,15.1,24.9,0.15,9.0,Chitoor-Thatchur Expressway,183.2,220.6,0.19,12.0
Arunachal Pradesh,ANJAW,260.0,18748,False,49.6,85.1,Powai,139.4,220.7,1.46,88.0,Khongsang,479.3,802.1,1.6,96.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1032.1,2006.8,1.89,113.0,ICD Amingaon,544.0,998.8,1.67,100.0,MMLP Jogighopa,643.3,1138.3,1.68,101.0,Lokpriya Gopinath Bordoloi International Airport (GAU),555.7,1008.6,1.68,101.0,Moreh ICP,480.7,807.7,1.63,98.0,LAKHIMPUR Toll Plaza,311.6,418.9,1.51,91.0,Belghoria Expressway,1020.0,1992.6,1.88,113.0
Arunachal Pradesh,BICHOM,788.0,26947,False,58.1,99.6,SEPON,226.2,416.3,1.75,105.0,Khongsang,310.7,923.7,1.87,112.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,689.7,2128.4,2.16,130.0,ICD Amingaon,175.7,1120.5,1.94,116.0,MMLP Jogighopa,244.5,1259.9,1.95,117.0,Lokpriya Gopinath Bordoloi International Airport (GAU),187.4,1130.2,1.95,117.0,Moreh ICP,398.4,929.3,1.9,114.0,LAKHIMPUR Toll Plaza,133.0,228.8,1.7,102.0,Belghoria Expressway,676.7,2114.3,2.15,129.0
Arunachal Pradesh,CHANGLANG,253.0,144249,False,0.4,0.7,Powai,42.2,69.3,0.03,2.0,Khongsang,367.7,704.8,0.19,11.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,923.4,1909.5,0.47,28.0,ICD Amingaon,445.5,901.5,0.25,15.0,MMLP Jogighopa,548.8,1040.9,0.26,16.0,Lokpriya Gopinath Bordoloi International Airport (GAU),456.7,911.3,0.26,16.0,Moreh ICP,372.4,710.4,0.21,13.0,LAKHIMPUR Toll Plaza,218.4,321.6,0.09,6.0,Belghoria Expressway,911.4,1895.3,0.46,28.0
