district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
Gopalganj,1525,4.41,5.11,86.0327868852459,100.0,100.0,238.9,241.18,0.0,0.0,0.0,5.9,7.0,74.09836065573771,100.0,100.0,43.28,42.03,0.0,0.06557377049180328,84.98360655737704,587.43,582.78,0.0,0.0,0.0,128.42,124.39,0.0,0.0,0.0,79.9,81.43,0.0,0.0,0.0,125.79,121.85,0.0,0.0,0.0,128.77,124.72,0.0,0.0,0.0,104.77,101.05,0.0,0.0,0.0,85.45,84.0,0.0,0.0,0.39344262295081966,2573785.0
Jamui,1507,4.25,5.35,83.60982083609821,100.0,100.0,296.9,298.48,0.0,0.0,0.0,13.08,13.32,36.03185136031851,92.63437292634373,100.0,86.0,83.23,0.0,0.0,0.6635700066357001,307.56,309.16,0.0,0.0,0.0,154.09,150.76,0.0,0.0,0.0,203.51,202.79,0.0,0.0,0.0,157.79,156.06,0.0,0.0,0.0,153.9,152.27,0.0,0.0,0.0,135.63,134.67,0.0,0.0,0.0,136.49,133.9,0.0,0.0,0.0,1765337.0
Jehanabad,573,4.14,4.93,90.0523560209424,100.0,100.0,281.27,281.35,0.0,0.0,0.0,7.17,7.08,77.66143106457243,100.0,100.0,104.11,104.19,0.0,0.0,0.0,437.34,437.18,0.0,0.0,0.0,50.26,49.78,0.0,0.0,49.040139616055846,198.76,199.0,0.0,0.0,0.0,47.83,47.65,0.0,0.0,58.46422338568935,49.61,49.11,0.0,0.0,51.30890052356021,49.61,49.11,0.0,0.0,51.30890052356021,38.55,38.08,0.0,1.2216404886561953,100.0,1156211.0
Kaimur (Bhabua),1685,4.43,5.92,84.03560830860533,98.57566765578635,100.0,150.71,148.23,0.0,0.0,0.0,10.76,13.02,45.875370919881306,90.20771513353115,100.0,94.36,92.63,0.0,0.0,0.0,545.04,544.94,0.0,0.0,0.0,159.84,160.94,0.0,0.0,0.0,240.71,240.37,0.0,0.0,0.0,87.76,87.18,0.0,0.0,0.0,72.89,71.15,0.0,0.0,7.596439169139465,72.89,71.15,0.0,0.0,7.596439169139465,72.89,71.15,0.0,0.0,7.596439169139465,1632430.0
Katihar,1528,7.27,7.66,65.0523560209424,100.0,100.0,324.975,324.16,0.0,0.0,0.0,4.25,5.19,89.26701570680629,100.0,100.0,61.45,61.19,0.0,0.0,13.285340314136127,337.18,336.39,0.0,0.0,0.0,138.885,141.56,0.0,0.0,0.0,82.14,82.26,0.0,0.0,0.0,265.4,260.23,0.0,0.0,0.0,259.17,252.15,0.0,0.0,0.0,44.97,43.01,1.0471204188481675,10.471204188481675,68.25916230366492,138.525,141.1,0.0,0.0,0.0,3076670.0
Khagaria,285,5.79,6.95,81.40350877192982,100.0,100.0,351.04,351.1,0.0,0.0,0.0,5.42,6.49,82.80701754385966,100.0,100.0,11.22,12.8,40.0,92.98245614035088,100.0,362.77,362.79,0.0,0.0,0.0,149.19,144.74,0.0,0.0,0.0,120.01,118.22,0.0,0.0,0.0,154.32,149.98,0.0,0.0,0.0,149.34,144.93,0.0,0.0,0.0,102.53,104.68,0.0,0.0,0.0,143.87,139.75,0.0,0.0,0.0,1677533.0
Kishanganj,769,5.2,5.34,92.71781534460338,100.0,100.0,395.91,395.08,0.0,0.0,0.0,14.0,15.12,40.442132639791936,78.54356306892068,100.0,106.35,106.79,0.0,0.0,0.0,408.03,407.27,0.0,0.0,0.0,71.45,69.17,0.0,0.0,15.474642392717817,66.41,66.85,0.0,0.0,15.084525357607282,286.5,289.22,0.0,0.0,0.0,260.86,256.11,0.0,0.0,0.0,116.59,116.01,0.0,0.0,0.0,70.26,68.1,0.0,0.0,16.25487646293888,1692838.0
Lakhisarai,467,4.65,4.96,90.36402569593149,100.0,100.0,345.98,346.96,0.0,0.0,0.0,3.04,4.23,91.43468950749465,100.0,100.0,56.12,55.96,0.0,0.0,29.336188436830835,357.14,357.92,0.0,0.0,0.0,111.42,110.54,0.0,0.0,0.0,172.25,172.31,0.0,0.0,0.0,115.74,114.94,0.0,0.0,0.0,111.35,110.48,0.0,0.0,0.0,111.35,110.47,0.0,0.0,0.0,110.85,110.15,0.0,0.0,0.0,961204.0
Madhepura,429,4.36,4.56,98.6013986013986,100.0,100.0,371.45,369.34,0.0,0.0,0.0,10.39,10.42,47.55244755244755,100.0,100.0,19.18,19.15,14.685314685314685,72.96037296037296,100.0,383.54,381.39,0.0,0.0,0.0,171.69,170.51,0.0,0.0,0.0,72.13,72.11,0.0,0.0,12.121212121212121,183.01,182.65,0.0,0.0,0.0,177.89,177.57,0.0,0.0,0.0,96.14,95.79,0.0,0.0,0.0,156.51,155.64,0.0,0.0,0.0,2004898.0
Madhubani,1090,3.53,4.2,93.4862385321101,100.0,100.0,412.28499999999997,411.09,0.0,0.0,0.0,6.645,7.88,70.45871559633028,100.0,100.0,66.26,66.77,0.0,0.0,4.036697247706423,466.61,467.4,0.0,0.0,0.0,135.68,136.09,0.0,0.0,0.0,103.58,100.87,0.0,0.0,0.0,140.63,140.85,0.0,0.0,0.0,136.235,136.71,0.0,0.0,0.0,136.235,136.24,0.0,0.0,0.0,88.32,88.53,0.0,0.0,0.27522935779816515,4584705.0
