village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Unnamed,NICOBARS,638,,village,4,354.77,Chitoor-Thatchur Expressway,1545.27,KOTABOMMALI,1463.32,Paradeep,1475.3,Paradip Port,1469.69,ICD Chennai (Tondiarpet),1497.28,Zorinpui ICP,1598.66,Visakhapatnam International Airport (VTZ),1476.81,MMLP Visakhapatnam,1474.77,Paradip Terminal,1469.69,FCI Depot Visakhapatnam,1474.77,Srikakulam Toll Plaza,1468.63
Unnamed,NICOBARS,638,,village,4,354.78,Chitoor-Thatchur Expressway,1545.25,KOTABOMMALI,1463.31,Paradeep,1475.31,Paradip Port,1469.69,ICD Chennai (Tondiarpet),1497.26,Zorinpui ICP,1598.68,Visakhapatnam International Airport (VTZ),1476.81,MMLP Visakhapatnam,1474.76,Paradip Terminal,1469.69,FCI Depot Visakhapatnam,1474.76,Srikakulam Toll Plaza,1468.63
Unnamed,NICOBARS,638,,village,4,354.91,Chitoor-Thatchur Expressway,1545.34,KOTABOMMALI,1463.44,Paradeep,1475.44,Paradip Port,1469.83,ICD Chennai (Tondiarpet),1497.35,Zorinpui ICP,1598.8,Visakhapatnam International Airport (VTZ),1476.93,MMLP Visakhapatnam,1474.88,Paradip Terminal,1469.83,FCI Depot Visakhapatnam,1474.88,Srikakulam Toll Plaza,1468.76
Unnamed,NICOBARS,638,,village,4,358.26,Chitoor-Thatchur Expressway,1600.47,Paradip,1496.28,Paradeep,1496.65,Paradip Port,1490.75,ICD Bhubaneswar,1538.92,Zorinpui ICP,1590.0,Visakhapatnam International Airport (VTZ),1515.24,MMLP Visakhapatnam,1513.31,Paradip Terminal,1490.75,FCI Depot Visakhapatnam,1513.31,Srikakulam Toll Plaza,1502.56
Unnamed,NICOBARS,638,,village,4,489.3,Chitoor-Thatchur Expressway,1656.3,VELANKANNI,1579.92,Tondiarpet Marshalling Yard,1608.07,Karaikal Port,1585.63,ICD Chennai (Tondiarpet),1608.07,Zorinpui ICP,1725.0,Visakhapatnam International Airport (VTZ),1612.35,MMLP Visakhapatnam,1610.22,Paradip Terminal,1610.82,FCI Depot Chennai,1608.16,"ECR Toll Plaze, Kovalam",1599.41
Minlana/Minlan,NICOBARS,638,645141,village,4,488.82,Chitoor-Thatchur Expressway,1660.89,VELANKANNI,1585.18,Tondiarpet Marshalling Yard,1612.67,Karaikal Port,1590.83,ICD Chennai (Tondiarpet),1612.67,Zorinpui ICP,1723.36,Visakhapatnam International Airport (VTZ),1615.09,MMLP Visakhapatnam,1612.97,Paradip Terminal,1611.87,FCI Depot Chennai,1612.78,"ECR Toll Plaze, Kovalam",1604.1
Unnamed,NICOBARS,638,,village,4,502.9,Chitoor-Thatchur Expressway,1678.09,VELANKANNI,1601.45,Tondiarpet Marshalling Yard,1629.87,Karaikal Port,1607.21,ICD Chennai (Tondiarpet),1629.87,Zorinpui ICP,1735.04,Visakhapatnam International Airport (VTZ),1632.58,MMLP Visakhapatnam,1630.47,Paradip Terminal,1628.0,FCI Depot Chennai,1629.96,"ECR Toll Plaze, Kovalam",1621.2
Pulobed/Lababu,NICOBARS,638,645164,village,4,530.34,Chitoor-Thatchur Expressway,1692.14,VELANKANNI,1611.21,Tondiarpet Marshalling Yard,1643.88,Karaikal Port,1617.38,ICD Chennai (Tondiarpet),1643.88,Zorinpui ICP,1762.93,Chennai International Airport (MAA),1650.4,MMLP Visakhapatnam,1652.11,Paradip Terminal,1653.66,FCI Depot Chennai,1643.88,CHENGALPATTU Toll Plaza,1634.56
Bompoka Island*,NICOBARS,638,645045,village,4,379.75,Chitoor-Thatchur Expressway,1572.26,KOTABOMMALI,1493.22,Paradeep,1504.3,Paradip Port,1498.65,ICD Chennai (Tondiarpet),1524.22,Zorinpui ICP,1621.19,Visakhapatnam International Airport (VTZ),1506.69,MMLP Visakhapatnam,1504.64,Paradip Terminal,1498.65,FCI Depot Visakhapatnam,1504.64,Srikakulam Toll Plaza,1498.55
Uper Tapu*,NICOBARS,638,645103,village,4,399.2,Chitoor-Thatchur Expressway,1604.71,KOTABOMMALI,1522.7,Paradeep,1530.3,Paradip Port,1524.56,ICD Chennai (Tondiarpet),1556.67,Zorinpui ICP,1635.78,Visakhapatnam International Airport (VTZ),1537.24,MMLP Visakhapatnam,1535.21,Paradip Terminal,1524.56,FCI Depot Visakhapatnam,1535.21,Srikakulam Toll Plaza,1528.23
