village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
M.Turkapalle,YADADRI BHUVANAGIRI,697,576484,village,202,15.89,Solapur–Chennai Economic Corridor,210.09,BHONGIR,16.2,Uppalvai,99.46,Krishnapatnam Port,397.83,ICD Hyderabad (Sanathnagar),44.45,Sunauli ICP,1162.77,Rajiv Gandhi International Airport (HYD),63.1,MMLP Hyderabad,47.13,Vedadri Terminal,175.89,FCI Depot Hyderabad,47.13
Gowraipally,YADADRI BHUVANAGIRI,697,576517,village,163,8.86,Solapur–Chennai Economic Corridor,218.11,WANGAPALLI,10.16,Uppalvai,105.49,Krishnapatnam Port,394.48,ICD Hyderabad (Sanathnagar),54.25,Sunauli ICP,1158.26,Rajiv Gandhi International Airport (HYD),71.13,MMLP Hyderabad,56.18,Vedadri Terminal,166.58,FCI Depot Hyderabad,56.18
Dattaipally,YADADRI BHUVANAGIRI,697,576483,village,202,14.72,Solapur–Chennai Economic Corridor,213.26,RAIGIR,14.36,Uppalvai,101.24,Krishnapatnam Port,396.95,ICD Hyderabad (Sanathnagar),48.15,Sunauli ICP,1160.75,Rajiv Gandhi International Airport (HYD),66.21,MMLP Hyderabad,50.58,Vedadri Terminal,172.67,FCI Depot Hyderabad,50.58
Saduvelly,YADADRI BHUVANAGIRI,697,576518,village,163,6.46,Solapur–Chennai Economic Corridor,220.33,ALER,8.52,Uppalvai,107.58,Krishnapatnam Port,393.33,ICD Hyderabad (Sanathnagar),57.1,Sunauli ICP,1157.18,Rajiv Gandhi International Airport (HYD),73.47,MMLP Hyderabad,58.82,Vedadri Terminal,163.78,FCI Depot Hyderabad,58.82
China Laxma Puram,YADADRI BHUVANAGIRI,697,576487,village,163,18.94,Solapur–Chennai Economic Corridor,205.47,PAGIDIPALLI,19.65,Uppalvai,96.19,Krishnapatnam Port,400.05,ICD Hyderabad (Sanathnagar),38.9,Sunauli ICP,1165.44,Rajiv Gandhi International Airport (HYD),58.79,MMLP Hyderabad,42.18,Vedadri Terminal,181.61,FCI Depot Hyderabad,42.18
Voilpally,YADADRI BHUVANAGIRI,697,577142,village,65,17.25,Solapur–Chennai Economic Corridor,174.18,RAMANNAPET,30.97,Vishnupuram,91.92,Krishnapatnam Port,339.45,ICD Hyderabad (Sanathnagar),56.79,Petrapole ICP,1214.52,Rajiv Gandhi International Airport (HYD),48.13,MMLP Hyderabad,50.83,Vedadri Terminal,152.71,FCI Depot Hyderabad,50.83
Janagama,YADADRI BHUVANAGIRI,697,577141,village,65,14.62,Solapur–Chennai Economic Corridor,176.25,RAMANNAPET,28.67,Vishnupuram,92.3,Krishnapatnam Port,341.37,ICD Hyderabad (Sanathnagar),55.81,Petrapole ICP,1212.37,Rajiv Gandhi International Airport (HYD),48.29,MMLP Hyderabad,50.05,Vedadri Terminal,152.21,FCI Depot Hyderabad,50.05
Gujja,YADADRI BHUVANAGIRI,697,577145,village,65,8.81,Solapur–Chennai Economic Corridor,186.63,RAMANNAPET,19.08,Vishnupuram,85.4,Krishnapatnam Port,340.54,ICD Hyderabad (Sanathnagar),62.05,Petrapole ICP,1202.13,Rajiv Gandhi International Airport (HYD),57.55,MMLP Hyderabad,57.03,Vedadri Terminal,142.82,FCI Depot Hyderabad,57.03
Narayanapuram,YADADRI BHUVANAGIRI,697,577138,village,65,12.03,Solapur–Chennai Economic Corridor,176.47,RAMANNAPET,28.25,Vishnupuram,95.48,Krishnapatnam Port,345.08,ICD Hyderabad (Sanathnagar),52.34,Petrapole ICP,1212.01,Rajiv Gandhi International Airport (HYD),45.8,MMLP Hyderabad,46.72,Vedadri Terminal,154.54,FCI Depot Hyderabad,46.72
Peepal Pahad,YADADRI BHUVANAGIRI,697,576828,village,65,5.19,Solapur–Chennai Economic Corridor,179.44,MAMDAPUR,23.21,Vishnupuram,100.0,Krishnapatnam Port,351.83,ICD Hyderabad (Sanathnagar),47.42,Sunauli ICP,1207.54,Rajiv Gandhi International Airport (HYD),43.9,MMLP Hyderabad,42.35,Vedadri Terminal,156.96,FCI Depot Hyderabad,42.35
