state,district,district_code,drive_hours_to_deendayal_(kandla),drive_hours_to_mumbai,drive_hours_to_jawaharlal_nehru_(jnpt/navi_mumbai),drive_hours_to_mormugao,drive_hours_to_new_mangalore,drive_hours_to_cochin,drive_hours_to_v.o._chidambaranar_(tuticorin),drive_hours_to_chennai,drive_hours_to_kamarajar_(ennore),drive_hours_to_visakhapatnam,drive_hours_to_paradip,drive_hours_to_kolkata_(syama_prasad_mookerjee)_incl._haldia_dock_complex
Andaman and Nicobar Islands,NICOBARS,638.0,105.87,107.87,106.25,110.94,111.29,114.21,116.53,105.51,105.63,92.61,87.64,80.7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,639.0,88.13,90.13,88.51,93.2,93.55,96.47,98.79,87.77,87.89,74.88,69.9,62.96
Andaman and Nicobar Islands,SOUTH ANDAMANS,640.0,95.7,97.71,96.08,100.77,101.12,104.05,106.36,95.35,95.47,82.45,77.48,70.53
Andhra Pradesh,Alluri Sitarama Raju,684.0,34.21,24.52,21.7,21.32,19.13,22.06,24.37,13.36,13.47,3.68,13.69,14.82
Andhra Pradesh,Anakapalli,685.0,33.89,24.21,21.38,21.12,18.94,21.86,24.17,13.16,13.28,1.26,11.9,13.04
Andhra Pradesh,Ananthapuramu,553.0,27.21,16.06,13.1,10.15,7.96,10.89,13.2,6.29,6.4,12.68,23.32,24.46
Andhra Pradesh,Annamayya,693.0,30.39,18.87,15.9,10.99,8.25,10.74,13.05,4.17,4.29,11.99,22.63,23.77
Andhra Pradesh,Bapatla,691.0,30.76,21.08,18.25,19.41,19.49,22.42,24.73,14.53,14.64,7.17,17.81,18.95
Andhra Pradesh,Chittoor,554.0,30.78,19.01,16.04,11.13,7.29,9.78,12.09,3.08,3.2,13.07,23.7,24.84
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,687.0,30.76,21.08,18.25,19.41,17.28,20.2,22.52,11.51,11.62,4.15,14.79,15.93
Andhra Pradesh,East Godavari,545.0,31.81,22.13,19.17,18.61,16.42,19.35,21.66,10.65,10.76,3.18,13.82,14.96
Andhra Pradesh,Eluru,688.0,33.17,23.02,20.05,19.49,17.31,20.23,22.54,11.53,11.65,4.54,15.18,16.32
Andhra Pradesh,Guntur,548.0,30.02,19.71,16.74,16.17,13.99,16.91,19.23,8.22,8.33,5.99,16.63,17.77
Andhra Pradesh,Kakinada,686.0,31.89,22.21,19.38,20.54,18.41,21.33,23.65,12.64,12.75,5.28,15.92,17.06
Andhra Pradesh,Krishna,547.0,28.85,19.16,16.33,17.5,17.58,20.5,22.82,13.56,13.68,6.2,16.84,17.98
Andhra Pradesh,Kurnool,552.0,25.87,14.73,11.76,12.64,10.61,13.53,15.85,8.94,9.05,14.42,25.06,26.2
Andhra Pradesh,NTR,689.0,27.11,17.42,14.59,15.76,15.84,18.76,21.08,12.56,12.68,7.33,17.27,19.11
Andhra Pradesh,Nandyal,694.0,29.1,18.2,15.23,12.17,9.98,12.9,15.22,5.72,5.84,10.03,20.67,21.81
Andhra Pradesh,Palnadu,690.0,31.65,21.33,18.36,16.84,14.65,17.58,19.89,8.88,8.99,7.89,18.53,19.67
Andhra Pradesh,Parvathipuram Manyam,683.0,33.93,24.25,22.13,23.87,21.73,24.65,26.97,15.96,16.07,3.06,12.5,13.64
Andhra Pradesh,Prakasam,549.0,28.24,17.92,14.95,13.82,11.63,14.56,16.87,5.86,5.98,8.58,19.22,20.36
Andhra Pradesh,Sri Potti Sriramulu Nellore,550.0,31.03,20.72,17.75,12.99,10.81,13.73,16.05,4.69,4.81,10.01,20.65,21.79
Andhra Pradesh,Sri Sathya Sai,695.0,28.9,17.75,14.78,10.06,7.53,10.45,12.77,5.65,5.76,13.05,23.69,24.83
Andhra Pradesh,Srikakulam,542.0,34.11,25.9,23.78,23.67,21.48,24.41,26.72,15.71,15.82,2.81,9.06,10.2
Andhra Pradesh,Tirupati,692.0,32.41,20.89,17.92,13.01,9.26,11.75,14.07,2.0,2.12,12.23,22.87,24.01
Andhra Pradesh,Visakhapatnam,544.0,34.27,24.58,21.89,21.63,19.45,22.37,24.69,13.67,13.79,0.77,10.94,12.08
Andhra Pradesh,Vizianagaram,543.0,33.63,23.94,21.82,22.66,20.48,23.4,25.72,14.71,14.82,1.81,11.25,12.39
Andhra Pradesh,West Godavari,546.0,30.02,20.34,17.51,18.67,18.08,21.01,23.32,12.31,12.42,4.95,15.59,16.73
Andhra Pradesh,Y.S.R.,551.0,30.39,19.14,16.17,11.26,9.08,12.0,14.32,4.46,4.58,10.66,21.29,22.43
Arunachal Pradesh,ANJAW,260.0,54.68,56.69,55.06,59.75,60.1,63.03,65.34,54.33,54.45,41.43,36.46,29.51
Arunachal Pradesh,BICHOM,788.0,56.54,58.54,56.92,61.61,61.96,64.88,67.2,56.19,56.3,43.29,38.31,31.37
Arunachal Pradesh,CHANGLANG,253.0,52.59,54.59,52.97,57.66,58.01,60.93,63.25,52.23,52.35,39.33,34.36,27.42
Arunachal Pradesh,DIBANG VALLEY,257.0,55.74,57.75,56.12,60.81,61.16,64.09,66.4,55.39,55.51,42.49,37.52,30.57
Arunachal Pradesh,EAST KAMENG,247.0,55.79,57.8,56.17,60.86,61.21,64.14,66.45,55.44,55.56,42.54,37.57,30.62
Arunachal Pradesh,EAST SIANG,251.0,52.38,54.39,52.77,57.46,57.81,60.73,63.04,52.03,52.15,39.13,34.16,27.22
Arunachal Pradesh,KAMLE,733.0,55.05,57.06,55.43,60.12,60.47,63.4,65.71,54.7,54.81,41.8,36.82,29.88
Arunachal Pradesh,KEYI PANYOR,789.0,54.04,56.05,54.42,59.11,59.46,62.39,64.7,53.69,53.81,40.79,35.82,28.87
Arunachal Pradesh,KRA DAADI,721.0,55.41,57.41,55.79,60.48,60.83,63.75,66.07,55.05,55.17,42.15,37.18,30.24
Arunachal Pradesh,KURUNG KUMEY,256.0,56.34,58.34,56.72,61.41,61.76,64.68,67.0,55.98,56.1,43.08,38.11,31.17
Arunachal Pradesh,LEPA RADA,729.0,54.48,56.49,54.86,59.55,59.9,62.83,65.14,54.13,54.24,41.23,36.25,29.31
Arunachal Pradesh,LOHIT,259.0,53.67,55.68,54.05,58.74,59.09,62.02,64.33,53.32,53.43,40.42,35.44,28.5
Arunachal Pradesh,LONGDING,680.0,51.0,53.0,51.38,56.07,56.42,59.34,61.66,50.65,50.76,37.75,32.77,25.83
Arunachal Pradesh,LOWER DIBANG VALLEY,258.0,52.9,54.9,53.28,57.97,58.32,61.24,63.56,52.54,52.66,39.64,34.67,27.73
Arunachal Pradesh,LOWER SIANG,723.0,55.14,57.14,55.52,60.21,60.56,63.48,65.79,54.78,54.9,41.88,36.91,29.97
Arunachal Pradesh,LOWER SUBANSIRI,255.0,54.23,56.24,54.61,59.3,59.65,62.58,64.89,53.88,53.99,40.98,36.0,29.06
Arunachal Pradesh,NAMSAI,724.0,52.52,54.53,52.9,57.59,57.94,60.87,63.18,52.17,52.29,39.27,34.3,27.35
Arunachal Pradesh,PAKKE KESSANG,726.0,54.53,56.54,54.91,59.6,59.95,62.87,65.19,54.18,54.29,41.28,36.3,29.36
Arunachal Pradesh,PAPUMPARE,248.0,53.67,55.68,54.05,58.74,59.09,62.01,64.33,53.32,53.43,40.42,35.44,28.5
Arunachal Pradesh,SHI YOMI,730.0,57.81,59.82,58.19,62.88,63.23,66.16,68.47,57.46,57.57,44.56,39.59,32.64
Arunachal Pradesh,SIANG,722.0,54.19,56.2,54.58,59.26,59.61,62.54,64.85,53.84,53.96,40.94,35.97,29.02
Arunachal Pradesh,TAWANG,245.0,46.09,48.09,46.47,51.16,51.51,54.43,56.74,45.73,45.85,32.83,27.86,20.92
Arunachal Pradesh,TIRAP,254.0,51.74,53.74,52.12,56.81,57.16,60.08,62.4,51.38,51.5,38.48,33.51,26.57
Arunachal Pradesh,UPPER SIANG,252.0,54.82,56.83,55.2,59.89,60.24,63.16,65.48,54.47,54.58,41.57,36.59,29.65
Arunachal Pradesh,UPPER SUBANSIRI,249.0,56.27,58.27,56.65,61.34,61.69,64.61,66.93,55.91,56.03,43.01,38.04,31.1
Arunachal Pradesh,WEST KAMENG,246.0,45.1,47.11,45.48,50.17,50.52,53.45,55.76,44.75,44.87,31.85,26.88,19.93
Arunachal Pradesh,WEST SIANG,250.0,53.6,55.6,53.98,58.67,59.02,61.94,64.25,53.24,53.36,40.34,35.37,28.43
Assam,BAJALI,771.0,38.67,40.67,39.05,43.74,44.09,47.01,49.33,38.31,38.43,25.41,20.44,13.5
Assam,BAKSA,324.0,39.24,41.25,39.63,44.31,44.66,47.59,49.9,38.89,39.01,25.99,21.02,14.07
Assam,BARPETA,303.0,40.95,42.95,41.33,46.02,46.37,49.29,51.61,40.59,40.71,27.69,22.72,15.78
Assam,BISWANATH,734.0,53.83,55.84,54.22,58.9,59.26,62.18,64.49,53.48,53.6,40.58,35.61,28.66
Assam,BONGAIGAON,319.0,37.54,39.55,37.93,42.61,42.96,45.89,48.2,37.19,37.31,24.29,19.32,12.37
Assam,CACHAR,316.0,45.67,47.68,46.05,50.74,51.09,54.02,56.33,45.32,45.43,32.42,27.44,20.5
Assam,CHARAIDEO,704.0,50.11,52.11,50.49,55.18,55.53,58.45,60.76,49.75,49.87,36.85,31.88,24.94
Assam,CHIRANG,320.0,38.11,40.11,38.49,43.18,43.53,46.45,48.77,37.76,37.87,24.86,19.88,12.94
Assam,DARANG,325.0,44.02,46.02,44.4,49.09,49.44,52.36,54.68,43.66,43.78,30.76,25.79,18.85
Assam,DHEMAJI,308.0,50.82,52.82,51.2,55.89,56.24,59.16,61.48,50.47,50.58,37.57,32.59,25.65
Assam,DHUBRI,301.0,36.25,38.26,36.63,41.32,41.67,44.59,46.91,35.9,36.01,23.0,18.02,11.08
Assam,DIBRUGARH,310.0,50.85,52.85,51.23,55.92,56.27,59.19,61.5,50.49,50.61,37.59,32.62,25.68
Assam,DIMA HASAO,315.0,45.02,47.02,45.4,50.09,50.44,53.36,55.68,44.67,44.78,31.77,26.79,19.85
Assam,GOALPARA,302.0,38.09,40.1,38.47,43.16,43.51,46.43,48.75,37.74,37.85,24.84,19.86,12.92
Assam,GOLAGHAT,313.0,44.36,46.36,44.74,49.43,49.78,52.7,55.02,44.0,44.12,31.1,26.13,19.19
Assam,HAILAKANDI,318.0,44.58,46.59,44.97,49.65,50.0,52.93,55.24,44.23,44.35,31.33,26.36,19.41
Assam,HOJAI,720.0,42.3,44.31,42.68,47.37,47.72,50.64,52.96,41.95,42.06,29.05,24.07,17.13
Assam,JORHAT,312.0,44.36,46.37,44.75,49.43,49.78,52.71,55.02,44.01,44.13,31.11,26.14,19.19
Assam,KAMRUP METRO,322.0,40.22,42.22,40.6,45.29,45.64,48.56,50.88,39.86,39.98,26.96,21.99,15.05
Assam,KAMRUP RURAL,321.0,39.52,41.52,39.9,44.59,44.94,47.86,50.18,39.16,39.28,26.26,21.29,14.35
Assam,KARBI ANGLONG,314.0,43.27,45.27,43.65,48.34,48.69,51.61,53.93,42.91,43.03,30.01,25.04,18.1
Assam,KOKRAJHAR,300.0,36.26,38.27,36.65,41.34,41.69,44.61,46.93,35.91,36.03,23.01,18.04,11.1
Assam,LAKHIMPUR,307.0,52.41,54.41,52.79,57.48,57.83,60.75,63.07,52.05,52.17,39.15,34.18,27.24
Assam,MAJULI,707.0,49.8,51.81,50.19,54.87,55.22,58.15,60.46,49.45,49.57,36.55,31.58,24.63
Assam,MARIGAON,304.0,41.38,43.39,41.76,46.45,46.8,49.72,52.04,41.03,41.14,28.13,23.15,16.21
Assam,NAGAON,305.0,41.61,43.61,41.99,46.68,47.03,49.95,52.27,41.25,41.37,28.35,23.38,16.44
Assam,NALBARI,323.0,40.51,42.51,40.89,45.58,45.93,48.85,51.17,40.16,40.27,27.26,22.28,15.34
Assam,SIBSAGAR,311.0,49.34,51.35,49.72,54.41,54.76,57.68,60.0,48.99,49.1,36.09,31.11,24.17
Assam,SONITPUR,306.0,42.86,44.87,43.24,47.93,48.28,51.2,53.52,42.51,42.62,29.61,24.63,17.69
Assam,SOUTH SALMARA,664.0,41.06,43.07,41.44,46.13,46.48,49.41,51.72,40.71,40.82,27.81,22.84,15.89
Assam,SRIBHUMI,317.0,44.65,46.66,45.04,49.72,50.07,53.0,55.31,44.3,44.42,31.4,26.43,19.48
Assam,TAMULPUR,766.0,39.77,41.78,40.15,44.84,45.19,48.12,50.43,39.42,39.53,26.52,21.55,14.6
Assam,TINSUKIA,309.0,51.58,53.59,51.96,56.65,57.0,59.93,62.24,51.23,51.35,38.33,33.36,26.41
Assam,UDALGURI,326.0,43.67,45.68,44.06,48.74,49.1,52.02,54.33,43.32,43.44,30.42,25.45,18.51
Assam,WEST KARBI ANAGLONG,752.0,47.5,49.51,47.89,52.57,52.92,55.85,58.16,47.15,47.27,34.25,29.28,22.33
Bihar,Araria,209.0,30.78,33.75,32.13,36.82,38.2,41.12,43.44,32.43,32.54,19.53,14.55,7.61
Bihar,Arwal,240.0,26.34,27.53,25.91,30.6,32.15,37.17,39.48,30.77,30.88,17.87,11.71,10.27
Bihar,Aurangabad,235.0,25.63,26.82,25.19,29.88,31.44,36.46,38.77,29.86,29.98,16.96,10.8,9.36
Bihar,Banka,225.0,31.65,32.83,31.21,35.9,37.46,40.92,43.23,32.22,32.33,19.32,14.34,7.4
Bihar,Begusarai,222.0,28.96,30.15,28.52,33.21,34.77,39.79,42.1,33.32,33.44,20.42,14.33,8.51
Bihar,Bhagalpur,224.0,31.06,32.25,30.62,35.31,36.87,39.88,42.2,31.18,31.3,18.28,13.31,6.37
Bihar,Bhojpur,231.0,25.93,27.12,25.5,30.19,31.75,36.76,39.07,30.7,30.81,18.39,12.23,10.79
Bihar,Buxar,232.0,25.41,26.6,24.97,29.66,31.22,36.23,38.55,30.17,30.29,18.39,12.23,10.79
Bihar,Darbhanga,215.0,28.77,31.74,30.12,34.81,36.37,41.38,43.7,35.32,35.43,22.44,17.46,10.52
Bihar,Gaya,236.0,26.54,27.73,26.11,30.8,32.35,37.37,39.68,29.2,29.32,16.3,10.14,8.7
Bihar,Gopalganj,217.0,27.67,28.85,27.23,31.92,33.48,38.49,40.81,32.43,32.54,21.21,15.05,13.61
Bihar,Jamui,238.0,29.56,30.75,29.12,33.81,35.37,40.39,42.7,33.84,33.96,20.94,14.78,9.38
Bihar,Jehanabad,239.0,28.95,30.14,28.51,33.2,34.76,39.78,42.09,33.38,33.49,20.48,14.32,11.74
Bihar,Kaimur (Bhabua),233.0,24.49,25.68,24.06,28.75,30.3,35.32,37.63,29.26,29.37,18.55,12.39,10.95
Bihar,Katihar,212.0,31.64,32.83,31.2,35.89,37.03,39.95,42.27,31.25,31.37,18.35,13.38,6.44
Bihar,Khagaria,223.0,33.63,35.09,33.47,38.16,39.72,42.88,45.19,34.18,34.3,21.28,16.31,9.37
Bihar,Kishanganj,210.0,31.68,34.47,32.85,37.53,38.65,41.57,43.89,32.88,32.99,19.98,15.0,8.06
Bihar,Lakhisarai,227.0,32.2,33.38,31.76,36.45,38.01,41.47,43.78,32.77,32.88,19.87,14.9,7.95
Bihar,Madhepura,213.0,32.66,34.03,32.41,37.1,38.66,41.82,44.13,33.12,33.24,20.22,15.25,8.31
Bihar,Madhubani,207.0,29.06,32.03,30.41,35.1,36.66,41.67,43.99,34.33,34.44,21.43,16.45,9.51
Bihar,Munger,226.0,31.56,32.75,31.13,35.82,37.37,40.83,43.15,32.13,32.25,19.23,14.26,7.32
Bihar,Muzaffarpur,216.0,27.39,30.37,28.75,33.44,35.0,40.01,42.32,33.95,34.06,22.6,17.16,10.68
Bihar,Nalanda,229.0,28.07,29.26,27.64,32.32,33.88,38.9,41.21,32.5,32.61,19.6,13.44,10.86
Bihar,Nawada,237.0,28.6,29.79,28.17,32.85,34.41,39.43,41.74,33.03,33.14,20.13,13.97,11.45
Bihar,Pashchim Champaran,203.0,26.15,29.3,27.67,32.36,33.92,38.93,41.25,32.87,32.99,22.9,16.74,12.98
Bihar,Patna,230.0,27.42,28.61,26.99,31.68,33.23,38.25,40.56,31.85,31.97,18.95,12.79,10.09
Bihar,Purba Champaran,204.0,26.7,29.68,28.06,32.75,34.31,39.32,41.63,33.26,33.37,22.63,16.47,11.76
Bihar,Purnia,211.0,31.63,32.82,31.2,35.89,37.44,40.61,42.92,31.91,32.03,19.01,14.04,7.09
Bihar,Rohtas,234.0,24.78,25.96,24.34,29.03,30.59,35.6,37.92,29.54,29.66,17.45,11.29,9.86
Bihar,Saharsa,214.0,32.67,34.1,32.47,37.16,38.72,41.88,44.2,33.19,33.3,20.29,15.31,8.37
Bihar,Samastipur,221.0,28.91,30.1,28.48,33.17,34.72,39.74,42.05,33.34,33.45,20.44,14.28,9.07
Bihar,Saran,219.0,28.73,29.92,28.29,32.98,34.54,39.55,41.87,33.15,33.27,20.25,14.09,10.93
Bihar,Sheikhpura,228.0,28.55,29.74,28.12,32.81,34.37,39.38,41.7,32.98,33.1,20.08,13.92,10.5
Bihar,Sheohar,205.0,30.66,33.63,32.01,36.7,38.26,43.27,45.59,36.14,36.26,23.24,18.27,11.32
Bihar,Sitamarhi,206.0,28.35,31.32,29.7,34.39,35.95,40.96,43.28,34.9,35.01,23.38,18.11,11.47
Bihar,Siwan,218.0,27.22,28.41,26.79,31.48,33.03,38.05,40.36,31.98,32.1,20.77,14.61,13.17
Bihar,Supaul,208.0,32.11,34.31,32.69,37.38,38.94,42.07,44.39,33.38,33.49,20.48,15.5,8.56
Bihar,Vaishali,220.0,29.65,32.62,31.0,35.69,37.25,42.26,44.58,36.2,36.31,23.32,18.34,11.4
Chandigarh,CHANDIGARH,55.0,15.48,23.65,24.47,34.62,36.18,43.04,45.35,36.97,37.09,31.47,28.41,26.97
Chhattisgarh,BALOD,645.0,25.42,17.37,15.75,19.74,21.29,25.66,27.97,19.59,19.71,12.59,12.28,13.95
Chhattisgarh,BALODA BAZAR,646.0,26.57,19.49,17.87,22.55,24.11,28.91,31.23,22.85,22.96,12.29,11.97,13.65
Chhattisgarh,BALRAMPUR,642.0,28.52,29.7,28.08,32.77,34.33,38.95,41.27,30.33,30.44,17.43,11.27,9.83
Chhattisgarh,BASTAR,414.0,31.16,21.47,19.35,21.1,21.26,24.18,26.5,17.98,18.1,5.45,11.46,14.33
Chhattisgarh,BEMETARA,644.0,24.91,18.84,17.21,21.9,23.46,28.47,30.79,22.41,22.53,11.63,10.97,12.64
Chhattisgarh,BIJAPUR,417.0,32.86,23.17,21.05,22.8,22.96,25.88,28.2,19.68,19.8,7.15,13.16,16.03
Chhattisgarh,BILASPUR,406.0,26.09,19.37,17.74,22.43,23.99,29.0,31.32,22.94,23.06,12.16,9.86,11.53
Chhattisgarh,DAKSHIN BASTAR DANTEWARA,416.0,32.19,22.51,20.39,22.14,22.3,25.22,27.54,19.02,19.14,6.49,12.5,15.36
Chhattisgarh,DHAMTARI,412.0,26.73,18.68,17.06,21.05,22.61,26.97,29.28,20.9,21.02,12.67,12.35,14.02
Chhattisgarh,DURG,409.0,24.38,17.3,15.67,20.36,21.92,26.93,29.25,20.87,20.99,10.61,10.3,11.97
Chhattisgarh,GARIYABAND,647.0,26.78,19.69,18.07,22.47,24.03,28.39,30.71,22.33,22.44,12.49,12.18,13.85
Chhattisgarh,GAURELA-PENDRA-MARWAHI,669.0,24.43,21.88,20.26,24.95,26.5,31.52,33.83,25.46,25.57,17.39,16.72,18.39
Chhattisgarh,JANJGIR - CHAMPA,405.0,26.53,19.81,18.19,22.88,24.44,29.45,31.77,23.39,23.5,12.61,8.73,10.4
Chhattisgarh,JASHPUR,402.0,29.49,22.77,21.14,25.83,27.39,32.4,34.72,26.34,26.46,15.56,13.26,14.93
Chhattisgarh,KAWARDHA (KABIRDHAM),407.0,23.75,19.41,17.78,22.47,24.03,29.04,31.36,22.98,23.1,12.21,11.54,13.21
Chhattisgarh,KHAIRGARH-CHHUIKHADAN-GANDAI,755.0,25.35,18.27,16.65,21.33,22.89,27.91,30.22,21.84,21.96,12.13,11.82,13.49
Chhattisgarh,KONDAGAON,648.0,32.45,22.76,20.64,22.39,22.55,25.48,27.79,19.16,19.28,6.26,12.27,15.13
Chhattisgarh,KORBA,404.0,27.27,20.55,18.92,23.61,25.17,30.18,32.5,24.12,24.24,13.34,11.04,12.71
Chhattisgarh,KOREA,400.0,30.63,31.82,30.2,34.89,36.44,41.07,43.39,32.44,32.56,19.54,13.38,11.94
Chhattisgarh,MAHASAMUND,411.0,26.19,19.1,17.48,22.17,23.72,28.74,31.05,22.68,22.79,10.4,8.73,10.4
Chhattisgarh,MANENDRAGARH-CHIRMIRI-BHARATPUR,758.0,31.29,32.48,30.86,35.55,37.11,41.73,44.05,33.11,33.22,20.21,14.04,12.61
Chhattisgarh,MOHLA-MANPUR-AMBAGARH CHOWKI,756.0,24.98,16.93,15.3,19.29,20.85,25.21,27.53,19.15,19.27,13.4,13.08,14.76
Chhattisgarh,MUNGELI,643.0,27.2,20.48,18.86,23.55,25.11,30.12,32.44,24.06,24.17,13.28,10.98,12.65
Chhattisgarh,NARAYANPUR,415.0,27.07,17.96,15.93,19.44,20.99,25.36,27.67,19.29,19.41,17.18,18.03,19.7
Chhattisgarh,RAIGARH,403.0,28.99,22.27,20.65,25.34,26.89,31.91,34.22,25.84,25.96,15.07,12.77,14.44
Chhattisgarh,RAIPUR,410.0,25.16,18.08,16.45,21.14,22.7,27.71,30.03,21.65,21.77,10.09,9.78,11.45
Chhattisgarh,RAJNANDGAON,408.0,23.37,16.28,14.66,19.35,20.91,25.92,28.24,19.86,19.97,11.63,11.32,12.99
Chhattisgarh,SAKTI,759.0,27.39,20.67,19.04,23.73,25.29,30.31,32.62,24.24,24.36,13.47,8.49,10.16
Chhattisgarh,SARANGARH-BILAIGARH,757.0,27.42,20.34,18.71,23.4,24.96,29.97,32.29,23.91,24.03,11.63,8.09,9.76
Chhattisgarh,SUKMA,649.0,29.64,19.96,17.84,19.59,19.75,22.67,24.99,16.47,16.59,7.3,13.31,16.17
Chhattisgarh,SURAJPUR,641.0,30.26,31.45,29.82,34.51,36.07,40.7,43.01,32.07,32.18,19.17,13.01,11.57
Chhattisgarh,SURGUJA,401.0,29.92,31.11,29.48,34.17,35.73,40.36,42.67,31.73,31.84,18.83,12.67,11.23
Chhattisgarh,UTTAR BASTAR KANKER,413.0,25.57,17.51,15.89,19.88,21.44,25.8,28.12,19.74,19.85,14.32,14.01,15.68
Dadra and Nagar Haveli and Daman and Diu,DADRA AND NAGAR HAVELI,496.0,12.69,2.79,3.61,14.33,15.89,24.06,26.37,21.69,21.8,23.98,26.81,28.48
Dadra and Nagar Haveli and Daman and Diu,DAMAN,495.0,12.25,2.93,3.75,14.47,16.03,24.2,26.52,21.83,21.95,23.7,26.52,28.19
Dadra and Nagar Haveli and Daman and Diu,DIU,494.0,6.64,11.96,12.79,23.51,25.06,33.23,35.55,30.63,30.74,31.57,34.39,36.06
Delhi,CENTRAL,95.0,17.1,22.31,23.14,31.62,33.17,39.34,41.66,33.28,33.39,27.77,24.71,23.28
Delhi,EAST,93.0,17.26,22.48,23.3,31.79,33.34,39.51,41.83,33.45,33.56,27.94,24.88,23.45
Delhi,NAZUL,,17.12,22.34,23.16,31.65,33.21,39.37,41.69,33.31,33.43,27.81,24.75,23.31
Delhi,NEW DELHI,94.0,15.9,21.12,21.94,32.08,33.64,40.74,43.06,34.68,34.79,31.54,28.59,27.15
Delhi,NORTH,91.0,17.81,24.01,24.84,34.98,36.54,43.64,45.95,37.57,37.69,33.83,30.77,29.33
Delhi,NORTH EAST,92.0,17.02,22.24,23.06,31.62,33.18,39.35,41.66,33.28,33.4,27.78,24.72,23.28
Delhi,NORTH WEST,90.0,15.79,21.01,21.83,31.97,33.53,40.63,42.94,34.56,34.68,31.43,28.48,27.04
Delhi,SHAHDARA,676.0,17.11,22.33,23.15,31.56,33.12,39.29,41.6,33.22,33.34,27.72,24.66,23.22
Delhi,SOUTH,98.0,16.0,21.22,22.04,32.19,33.75,40.84,43.16,34.78,34.9,31.65,28.69,27.25
Delhi,SOUTH EAST,677.0,19.06,24.27,24.16,29.91,31.47,37.64,39.95,31.57,31.69,26.07,23.7,22.26
Delhi,SOUTH WEST,97.0,15.76,20.98,21.8,31.95,33.51,40.6,42.92,34.54,34.66,31.41,28.45,27.01
Delhi,WEST,96.0,15.84,21.06,21.88,32.03,33.59,40.69,43.0,34.62,34.74,31.49,28.53,27.09
Goa,KUSHAVATI,793.0,26.06,14.3,11.33,1.22,4.76,16.14,18.46,13.77,13.89,21.34,30.32,31.99
Goa,NORTH GOA,585.0,22.7,10.94,7.97,7.83,9.39,17.56,19.87,15.19,15.3,21.32,28.67,30.34
Goa,SOUTH GOA,586.0,26.19,14.43,11.46,0.46,4.9,16.28,18.59,13.91,14.03,21.48,30.46,32.13
Gujarat,AHMADABAD,474.0,4.72,11.35,12.18,22.9,24.45,32.62,34.94,30.02,30.13,30.96,32.37,32.31
Gujarat,AMRELI,480.0,4.98,10.9,11.73,22.45,24.01,32.17,34.49,29.57,29.68,30.51,33.33,35.0
Gujarat,ANAND,482.0,7.72,7.26,8.08,18.8,20.36,28.53,30.84,25.92,26.04,26.86,29.68,31.35
Gujarat,ARVALLI,650.0,6.84,8.82,9.64,20.36,21.92,30.09,32.4,27.48,27.6,28.42,30.6,30.54
Gujarat,BANAS KANTHA,469.0,4.19,12.8,13.62,24.34,25.9,34.07,36.38,31.46,31.58,30.92,30.61,30.55
Gujarat,BHARUCH,488.0,10.11,5.55,6.37,17.09,18.65,26.82,29.13,24.21,24.33,25.15,27.97,29.64
Gujarat,BHAVNAGAR,481.0,5.94,9.77,10.59,21.31,22.87,31.04,33.36,28.43,28.55,29.37,32.2,33.87
Gujarat,BOTAD,653.0,4.55,10.42,11.25,21.97,23.52,31.69,34.01,29.09,29.2,30.03,32.85,34.52
Gujarat,CHHOTAUDEPUR,654.0,14.97,6.74,7.57,18.14,19.7,27.87,30.18,24.57,24.69,25.51,28.34,30.01
Gujarat,DAHOD,485.0,13.52,9.66,10.48,21.05,22.61,30.78,33.1,27.49,27.6,28.43,30.62,30.56
Gujarat,DANGS,489.0,13.31,5.0,5.82,14.81,16.36,24.53,26.85,21.24,21.36,22.18,25.0,26.67
Gujarat,DEVBHUMI DWARKA,656.0,4.6,16.35,17.18,27.9,29.45,37.62,39.94,35.02,35.13,35.96,37.24,37.19
Gujarat,GANDHINAGAR,473.0,5.76,10.47,11.29,22.01,23.57,31.74,34.05,29.13,29.25,30.07,31.48,31.43
Gujarat,GIR SOMNATH,652.0,7.14,12.46,13.28,24.0,25.56,33.73,36.05,31.12,31.24,32.06,34.89,36.56
Gujarat,JAMNAGAR,477.0,6.0,15.57,16.4,27.12,28.68,36.84,39.16,34.24,34.35,35.18,37.55,37.5
Gujarat,JUNAGADH,479.0,7.45,13.37,14.2,24.92,26.48,34.65,36.96,32.04,32.15,32.98,35.8,37.47
Gujarat,KACHCHH,468.0,2.74,16.54,17.37,28.09,29.65,37.81,40.13,35.21,35.32,36.15,36.37,36.32
Gujarat,KHEDA,483.0,14.85,10.99,11.82,22.39,23.95,32.12,34.43,28.82,28.94,29.76,31.95,31.89
Gujarat,MAHESANA,471.0,4.7,10.68,11.51,22.23,23.79,31.96,34.27,29.35,29.46,30.29,31.7,31.64
Gujarat,MAHISAGAR,655.0,14.85,11.0,11.82,22.39,23.95,32.12,34.43,28.83,28.94,29.77,31.95,31.9
Gujarat,MORBI,657.0,2.1,13.13,13.95,24.67,26.23,34.4,36.71,31.79,31.91,32.73,34.74,34.68
Gujarat,NARMADA,487.0,17.85,9.53,9.04,16.7,18.26,26.43,28.75,23.14,23.25,24.08,26.9,28.57
