state,district,district_code,drive_hours_to_deendayal_(kandla),drive_hours_to_mumbai,drive_hours_to_jawaharlal_nehru_(jnpt/navi_mumbai),drive_hours_to_mormugao,drive_hours_to_new_mangalore,drive_hours_to_cochin,drive_hours_to_v.o._chidambaranar_(tuticorin),drive_hours_to_chennai,drive_hours_to_kamarajar_(ennore),drive_hours_to_visakhapatnam,drive_hours_to_paradip,drive_hours_to_kolkata_(syama_prasad_mookerjee)_incl._haldia_dock_complex
Odisha,PURI,387.0,34.53,27.44,25.82,28.59,26.41,29.33,31.65,20.63,20.75,7.73,6.05,7.19
Odisha,RAYAGARHA,396.0,34.01,24.33,22.21,23.96,24.12,27.04,29.36,18.76,18.87,5.86,13.04,14.28
Odisha,SAMBALPUR,372.0,29.36,22.28,20.66,25.34,26.9,31.86,34.17,24.11,24.23,11.21,5.96,7.63
Odisha,SUBARNAPUR,392.0,29.66,22.58,20.96,25.48,25.64,28.56,30.88,20.81,20.93,7.91,5.89,8.75
Odisha,SUNDARGARH,374.0,31.36,24.28,22.66,27.34,28.9,32.35,34.66,23.72,23.83,10.82,5.5,7.09
Puducherry,KARAIKAL,637.0,35.78,24.02,21.05,16.14,12.3,14.79,17.1,8.64,8.75,18.62,29.26,30.4
Puducherry,PUDUCHERRY,635.0,33.94,22.18,19.21,14.3,10.45,12.94,15.26,6.79,6.91,16.78,27.42,28.56
Punjab,AMRITSAR,49.0,15.35,24.17,24.99,35.71,37.27,45.44,47.75,40.35,40.47,35.66,32.6,31.16
Punjab,BARNALA,54.0,13.15,21.97,22.79,33.51,35.07,43.24,45.55,37.51,37.62,33.61,30.55,29.11
Punjab,BATHINDA,46.0,12.51,21.32,22.15,32.87,34.43,42.6,44.91,38.11,38.23,34.31,31.25,29.81
Punjab,FARIDKOT,45.0,13.12,21.93,22.76,33.48,35.04,43.21,45.52,38.72,38.84,34.51,31.45,30.01
Punjab,FATEHGARH SAHIB,40.0,15.39,23.79,24.62,34.76,36.32,43.42,45.73,37.35,37.47,32.24,29.18,27.74
Punjab,FAZILKA,673.0,13.14,21.96,22.78,33.5,35.06,43.23,45.54,38.56,38.68,34.76,31.7,30.26
Punjab,FIROZPUR,43.0,13.77,22.58,23.4,34.13,35.68,43.85,46.17,39.19,39.3,34.56,31.5,30.06
Punjab,GURDASPUR,35.0,15.9,24.71,25.53,36.25,37.81,45.98,48.3,40.59,40.71,35.11,32.05,30.62
Punjab,HOSHIARPUR,38.0,15.64,24.46,25.28,36.0,37.56,45.35,47.66,39.29,39.4,33.79,30.73,29.29
Punjab,JALANDHAR,37.0,14.74,23.56,24.38,35.1,36.66,44.83,47.14,38.95,39.07,33.58,30.52,29.08
Punjab,KAPURTHALA,36.0,14.97,23.78,24.6,35.33,36.88,45.05,47.37,39.38,39.5,34.01,30.95,29.51
Punjab,LUDHIANA,41.0,14.87,23.68,24.51,35.23,36.78,44.24,46.56,38.18,38.3,33.0,29.94,28.5
Punjab,MALER KOTLA,748.0,15.62,24.43,25.25,35.97,37.53,44.67,46.98,38.6,38.72,33.42,30.36,28.92
Punjab,MANSA,47.0,13.52,22.33,23.15,33.88,35.43,43.41,45.72,37.34,37.46,33.64,30.58,29.14
Punjab,MOGA,42.0,13.56,22.38,23.2,33.92,35.48,43.65,45.96,38.49,38.61,33.84,30.78,29.34
Punjab,PATHANKOT,678.0,16.56,25.37,26.2,36.92,38.48,46.63,48.94,40.57,40.68,35.09,32.03,30.59
Punjab,PATIALA,48.0,14.65,23.46,24.28,34.95,36.51,43.61,45.92,37.55,37.66,32.44,29.38,27.94
Punjab,RUPNAGAR,51.0,16.12,24.46,25.28,35.43,36.99,44.08,46.4,38.02,38.14,32.52,29.46,28.02
Punjab,SANGRUR,53.0,13.88,22.69,23.51,34.24,35.79,42.97,45.28,36.9,37.02,33.16,30.1,28.66
Punjab,SAS NAGAR (SAHIBZADA AJIT SINGH NAGAR),52.0,15.36,23.53,24.35,34.5,36.06,43.08,45.39,37.02,37.13,31.51,28.45,27.01
Punjab,SHAHID BHAGAT SINGH NAGAR,39.0,15.64,24.46,25.28,35.57,37.12,44.22,46.54,38.16,38.27,32.66,29.6,28.16
Punjab,SRI MUKTSAR SAHIB,44.0,12.53,21.34,22.17,32.89,34.44,42.61,44.93,37.95,38.07,34.14,31.08,29.64
Punjab,TARN TARAN,50.0,14.54,23.35,24.18,34.9,36.46,44.62,46.94,39.54,39.65,34.89,31.83,30.39
