census_district_code,state,district,Population,Male,Female,Literate,Workers,Cultivator_Workers,Agricultural_Workers,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
242,Sikkim,West District,136435,70238,66197,93432,70348,40797,8053,10005,6439,4831,84209,32520,19400
243,Sikkim,South District,146850,76670,70180,106741,74753,37802,4188,12415,7260,5766,87982,37318,20982
244,Sikkim,East District,283583,151432,132151,214329,139678,31489,11483,29215,19258,20904,165520,80354,37456
245,Arunachal Pradesh,Tawang,49977,29151,20826,26073,28561,7631,1581,2140,1989,1379,30709,13849,5399
246,Arunachal Pradesh,West Kameng,83947,46155,37792,48492,42493,14476,1705,5633,3987,2693,53026,22362,8493
247,Arunachal Pradesh,East Kameng,78690,38775,39915,38449,31710,21835,1063,6213,4510,2330,53752,17922,6960
248,Arunachal Pradesh,Papum Pare,176573,89182,87391,121048,65772,14104,1859,20007,17342,13840,120592,43812,11856
249,Arunachal Pradesh,Upper Subansiri,83448,41758,41690,45278,33370,21690,1846,10348,8017,4276,56054,20055,7230
250,Arunachal Pradesh,West Siang,112274,58168,54106,64746,49177,28852,1384,11441,8418,6030,70415,28305,13469
251,Arunachal Pradesh,East Siang,99214,50116,49098,62576,40222,20185,3565,10937,9498,6540,61993,25334,11802
252,Arunachal Pradesh,Upper Siang,35320,18699,16621,18195,17644,9976,804,2935,2211,1349,21090,8910,5252
253,Arunachal Pradesh,Changlang,148226,76948,71278,73174,62966,39732,4208,10032,5641,3633,96630,35018,16414
254,Arunachal Pradesh,Tirap,111975,57604,54371,47974,50169,35967,1811,7834,4305,2134,71785,25669,14423
255,Arunachal Pradesh,Lower Subansiri,83030,41843,41187,54057,30202,13656,1968,9861,7674,5230,55258,20305,7412
256,Arunachal Pradesh,Kurung Kumey,92076,45318,46758,36606,38044,27417,2947,6997,4353,2031,64379,20713,6836
257,Arunachal Pradesh,Dibang Valley,8004,4414,3590,4436,3555,1290,106,809,656,356,5113,2088,786
258,Arunachal Pradesh,Lower Dibang Valley,54080,28053,26027,31849,22326,9687,3354,5508,3570,2795,35140,13254,5652
259,Arunachal Pradesh,Lohit,145726,76221,69505,83062,60945,29909,7789,13070,7612,5180,94890,35493,15195
260,Arunachal Pradesh,Anjaw,21167,11507,9660,9990,10501,6316,181,1167,793,502,13913,4755,2456
261,Nagaland,Mon,250260,131753,118507,119626,147654,113473,10836,7628,3565,1772,168773,53600,27437
262,Nagaland,Mokokchung,194622,101092,93530,159494,100067,48925,9166,27425,13077,10299,111243,52853,30363
263,Nagaland,Zunheboto,140757,71217,69540,102881,79466,44723,11955,17282,8821,5560,91709,32267,16730
264,Nagaland,Wokha,166343,84505,81838,128208,78412,47473,6438,18746,10223,8030,106951,40510,18811
265,Nagaland,Dimapur,378811,197394,181417,278037,151350,24517,8990,44343,26712,27532,243392,98601,36618
266,Nagaland,Phek,163418,83743,79675,105893,80277,55091,3159,12785,7268,5926,108514,37842,16969
267,Nagaland,Tuensang,196596,101933,94663,117511,98154,75212,3913,15013,6008,2760,134573,43210,18762
268,Nagaland,Longleng,50484,26502,23982,29859,30568,22501,1309,3458,1695,595,33970,11210,5271
269,Nagaland,Kiphire,74004,37830,36174,41232,31959,21432,1259,5204,2052,997,52699,14955,6309
270,Nagaland,Kohima,267988,138966,129022,197489,114825,44684,2198,30518,19855,23439,173701,68485,25557
271,Nagaland,Peren,95219,49714,45505,62204,61390,39671,3739,8082,3938,2169,64393,21597,9156
272,Manipur,Senapati,479148,247323,231825,264477,233622,175127,30369,62033,40438,24940,314439,111516,52008
273,Manipur,Tamenglong,140651,72371,68280,85006,70675,48849,1924,17867,11645,7102,90273,33290,16924
274,Manipur,Churachandpur,274143,138820,135323,195935,122655,64834,8282,38567,23284,14523,168608,67802,37096
275,Manipur,Bishnupur,237399,118782,118617,156333,109937,34358,15109,31775,20077,20074,135220,62907,38815
276,Manipur,Thoubal,422168,210845,211323,269304,195319,77331,33106,55803,37899,28550,251975,107196,62060
277,Manipur,Imphal West,517992,255054,262938,392626,213387,37107,12870,77472,60821,81876,278940,148146,89394
278,Manipur,Imphal East,456113,226094,230019,324664,194848,36355,20250,60422,47390,50647,261530,123439,70005
279,Manipur,Ukhrul,183998,94718,89280,129829,87929,56815,3852,31734,22729,15636,113715,43646,25165
280,Manipur,Chandel,144182,74579,69603,90302,76238,43255,8315,18971,12213,8105,86255,39324,18329
281,Mizoram,Mamit,86364,44828,41536,60191,39339,28669,2553,10756,3180,1771,55914,20082,10318
282,Mizoram,Kolasib,83955,42918,41037,65895,36672,17992,5921,9849,3473,2530,52147,20576,11167
283,Mizoram,Aizawl,400309,199270,201039,340595,174636,39266,11434,78752,37701,31310,235892,108094,56092
284,Mizoram,Champhai,125745,63388,62357,100802,60342,38336,5823,16259,4956,4087,78778,29690,17189
285,Mizoram,Serchhip,64937,32851,32086,54476,32397,21804,1284,9062,2915,2128,39568,15894,9404
286,Mizoram,Lunglei,161428,82891,78537,121122,78292,45439,10662,19918,8503,5509,100250,39690,21424
287,Mizoram,Lawngtlai,117894,60599,57295,62861,45566,29189,3153,10538,3763,2515,80723,25303,11831
288,Mizoram,Saiha,56574,28594,27980,42233,19461,8908,957,7269,3628,2204,37127,12784,6636
289,Tripura,West Tripura,1725739,879428,846311,1361354,698178,115175,156108,156277,88122,85405,940424,499719,284637
290,Tripura,South Tripura,876001,447544,428457,646810,366845,85530,111332,70173,31690,26870,505558,236676,133424
291,Tripura,Dhalai,378230,194544,183686,276217,155831,45956,42201,21430,9157,6425,232286,95548,50269
292,Tripura,North Tripura,693947,352860,341087,520402,248667,49286,43977,47160,22720,18419,414878,178608,100274
293,Meghalaya,West Garo Hills,643291,324159,319132,358702,255693,120740,39725,70941,29404,10856,427629,143604,70599
294,Meghalaya,East Garo Hills,317917,161223,156694,192147,126073,77390,19246,31328,9473,2484,216742,70424,29926
295,Meghalaya,South Garo Hills,142334,73170,69164,82062,53069,28145,5565,13858,3998,826,97082,30605,14495
296,Meghalaya,West Khasi Hills,383461,193715,189746,230678,163345,84956,37184,28417,12295,6450,278569,69988,33431
297,Meghalaya,Ribhoi,258840,132531,126309,155859,106473,55833,19989,20134,7632,3911,183343,52945,22365
298,Meghalaya,East Khasi Hills,825922,410749,415173,578030,326786,76767,40889,94579,58836,61639,545961,192428,86576
299,Meghalaya,Jaintia Hills,395124,196285,198839,187527,154180,50844,35766,26748,13544,8039,291097,72934,30362
300,Assam,Kokrajhar,887142,452905,434237,489305,341131,156753,56330,78788,39571,17287,552671,224715,108956
301,Assam,Dhubri,1949258,997848,951410,922341,669819,205305,171116,100387,65082,34401,1286592,439375,221745
302,Assam,Goalpara,1008183,513292,494891,563577,362573,126549,75828,73683,39885,18294,650509,239831,117427
303,Assam,Barpeta,1693622,867004,826618,897058,561824,205259,98946,121924,87377,46947,1072312,405046,215355
304,Assam,Morigaon,957423,486651,470772,539902,351148,157612,75984,67969,40803,18462,612737,225224,118271
305,Assam,Nagaon,2823768,1439112,1384656,1710716,979998,346123,196174,199792,115864,66994,1778277,678034,366112
306,Assam,Sonitpur,1924110,983904,940206,1108572,770606,249123,114865,141373,90385,49901,1159991,501239,261648
307,Assam,Lakhimpur,1042137,529674,512463,683486,429995,239377,43922,107326,82885,44212,639385,268872,133615
308,Assam,Dhemaji,686133,351249,334884,423028,316800,231937,19181,80804,55399,28006,434221,169630,82051
309,Assam,Tinsukia,1327929,680231,647698,798322,557196,149482,47756,109805,61040,38152,799874,352158,175377
310,Assam,Dibrugarh,1326335,676434,649901,884531,560557,135194,61209,139813,89500,59380,767147,371864,186774
311,Assam,Sivasagar,1151050,589216,561834,813505,485717,138100,48468,158118,96939,53437,648056,330947,171710
312,Assam,Jorhat,1092256,556805,535451,794929,498618,145885,53153,128050,97025,62608,604908,315550,171062
313,Assam,Golaghat,1066888,543161,523727,721764,479928,190590,66616,111145,66197,36887,629153,289085,148244
314,Assam,Karbi Anglong,956313,490167,466146,557214,383441,223020,60952,93137,40602,18225,618633,233739,103123
315,Assam,Dima Hasao,214102,110802,103300,140873,85028,44480,4818,27839,10859,5565,135463,53699,24830
316,Assam,Cachar,1736617,886284,850333,1174128,608062,120356,68664,156156,79766,45341,1048990,444899,241776
317,Assam,Karimganj,1228686,625864,602822,795297,399171,94348,67033,76685,39637,21408,779850,284368,163990
318,Assam,Hailakandi,659296,337890,321406,407366,214240,65673,31248,50056,28504,11608,419921,156243,82841
319,Assam,Bongaigaon,738804,375818,362986,434078,255806,83442,47406,55924,35491,20221,458796,184849,94939
320,Assam,Chirang,482162,244860,237302,259902,193894,80328,35224,37792,17702,6594,301518,122244,58282
321,Assam,Kamrup,1517542,778461,739081,995319,628954,185803,99522,154831,118849,55011,895775,408232,212740
322,Assam,Kamrup Metropolitan,1253938,647585,606353,1001191,490932,25250,16995,148429,143478,167972,659453,401500,190908
323,Assam,Nalbari,771639,396006,375633,531771,267623,58070,34984,81507,71734,39368,442061,211320,117809
324,Assam,Baksa,950075,481330,468745,572837,406756,149288,94591,96782,53446,15422,563089,256282,130083
325,Assam,Darrang,928500,475273,453227,487039,324843,129456,81617,59039,47398,22267,583436,226525,118102
326,Assam,Udalguri,831668,421617,410051,469926,345030,124824,72744,63394,34334,14001,499214,221518,109962
327,West Bengal,Darjiling,1846823,937259,909564,1315585,683726,76178,66041,176129,113905,110193,1031221,523288,289979
328,West Bengal,Jalpaiguri,3872846,1983064,1889782,2498780,1512910,214932,349672,292056,150360,129393,2259507,1035449,575667
329,West Bengal,Koch Bihar,2819086,1451542,1367544,1850504,1127977,364797,391875,209153,93119,81100,1623320,744646,448761
330,West Bengal,Uttar Dinajpur,3007134,1551066,1456068,1489667,1075626,257377,442328,163106,73395,59457,1916033,704859,385155
331,West Bengal,Dakshin Dinajpur,1676276,857199,819077,1083685,702987,193276,279932,135556,63286,52345,937283,465982,271423
332,West Bengal,Maldah,3988845,2051541,1937304,2086432,1537847,255182,545759,238078,109719,92207,2511004,955283,520122
333,West Bengal,Murshidabad,7103807,3627564,3476243,4055834,2589907,381076,842294,443254,230242,170051,4390564,1717594,991413
334,West Bengal,Birbhum,3502404,1790920,1711484,2158447,1331603,227254,611510,245201,122865,115743,2008655,952059,539463
335,West Bengal,Barddhaman,7717563,3966889,3750674,5247208,2911251,342166,973182,698251,405935,439823,4149420,2265543,1292913
336,West Bengal,Nadia,5167600,2653768,2513832,3480555,1842607,308742,556134,412193,236828,209562,2745828,1484986,934417
337,West Bengal,North Twenty Four Parganas,10009781,5119389,4890392,7608693,3571624,288058,599039,989053,670977,852923,5104876,2968996,1921143
338,West Bengal,Hugli,5519145,2814653,2704492,4078388,2152870,259680,583380,515807,333658,380060,2766489,1688206,1060821
339,West Bengal,Bankura,3596674,1838095,1758579,2232992,1466220,309723,647374,261478,143882,133465,1942335,1014764,637834
340,West Bengal,Puruliya,2930115,1496996,1433119,1624905,1249642,268800,492205,177459,91807,77621,1678057,764776,484166
341,West Bengal,Haora,4850029,2500819,2349210,3605206,1819845,80575,181662,446743,284481,304594,2587164,1423304,833104
342,West Bengal,Kolkata,4496694,2356766,2139928,3588137,1795740,16039,12388,555529,425245,691804,2025389,1433314,1014769
343,West Bengal,South Twenty Four Parganas,8161961,4173778,3988183,5531657,2964494,355350,806562,564417,316571,322157,4763943,2151474,1235558
344,West Bengal,Paschim Medinipur,5913457,3007885,2905572,4078412,2509159,572268,1105201,477973,262072,211437,3243971,1664250,990179
345,West Bengal,Purba Medinipur,5095875,2629834,2466041,3923194,1910320,345215,702304,444668,236549,184225,2866678,1384242,842025
346,Jharkhand,Garhwa,1322784,683575,639209,653476,571431,113561,328673,87844,46882,28144,860869,284036,177599
347,Jharkhand,Chatra,1042886,533935,508951,510061,397690,119297,188513,63670,35342,21697,692650,222892,126682
348,Jharkhand,Kodarma,716259,367222,349037,390249,257418,83126,64275,52622,26415,20907,462098,158603,95309
349,Jharkhand,Giridih,2445474,1258098,1187376,1253475,1036277,369913,362610,146464,77540,55122,1597269,533788,312967
350,Jharkhand,Deoghar,1492073,775022,717051,793538,551467,128656,209693,96331,54419,43979,944961,338413,205514
351,Jharkhand,Godda,1313551,677927,635624,604519,552191,144603,307767,79430,47395,30870,820367,308639,183519
352,Jharkhand,Sahibganj,1150567,589391,561176,483263,490202,109975,206902,52248,28087,19832,745027,261849,137727
353,Jharkhand,Pakur,900422,452661,447761,352881,404584,105334,150028,29934,15700,9822,587976,206826,104418
354,Jharkhand,Dhanbad,2684487,1405956,1278531,1722204,844504,97118,103488,305054,186697,107382,1634835,648876,356445
355,Jharkhand,Bokaro,2062330,1072807,989523,1273520,685368,137521,126406,232434,154076,116396,1261238,510375,282115
356,Jharkhand,Lohardaga,461790,232629,229161,259707,221332,99780,80840,38503,21987,13847,298844,100340,62244
357,Jharkhand,Purbi Singhbhum,2293919,1176902,1117017,1507699,837167,112059,209802,278853,162210,157688,1292595,632314,368148
358,Jharkhand,Palamu,1939869,1006302,933567,1024563,713175,133585,380976,160964,100290,63595,1244572,425668,268387
359,Jharkhand,Latehar,726978,369666,357312,350682,313379,103693,142729,46142,23885,13956,484084,152720,89870
360,Jharkhand,Hazaribagh,1734495,890881,843614,1013249,654636,242460,172385,173378,99945,79898,1107452,396466,230033
361,Jharkhand,Ramgarh,949443,494230,455213,596497,312125,90770,46815,101381,70249,47207,594747,230525,123794
362,Jharkhand,Dumka,1321442,668514,652928,672409,624779,193402,303084,69525,38383,25593,799323,324226,196164
363,Jharkhand,Jamtara,791042,404830,386212,426312,326631,106008,135667,40613,22995,14802,480895,189889,116810
364,Jharkhand,Ranchi,2914253,1494937,1419316,1911433,1142867,317487,267360,370847,247237,195181,1742293,725938,409166
365,Jharkhand,Khunti,531885,266335,265550,284575,259984,166290,49448,48591,20689,10130,327152,125649,78736
366,Jharkhand,Gumla,1025213,514390,510823,559720,487508,321272,97918,82114,45613,23742,643579,225871,155452
367,Jharkhand,Simdega,599578,300309,299269,343483,288645,158019,90232,47836,24842,13674,357859,143560,97817
368,Jharkhand,Pashchimi Singhbhum,1502338,749385,752953,727561,694863,244172,267475,79516,35824,10743,960987,353305,187635
369,Jharkhand,Saraikela-Kharsawan,1065056,544411,520645,612993,430051,116731,142966,106348,49944,29840,634975,265892,161542
370,Odisha,Bargarh,1481255,749161,732094,983783,762092,216413,360650,147217,58840,49238,787033,410005,282422
371,Odisha,Jharsuguda,579505,296690,282815,405879,247707,40867,56809,70928,32909,22010,320156,159477,98555
372,Odisha,Sambalpur,1041099,526877,514222,703691,505840,86800,160798,108455,50705,45828,565700,286575,186726
373,Odisha,Debagarh,312520,158230,154290,197819,165435,42660,82490,27415,13420,9041,176062,81789,53989
374,Odisha,Sundargarh,2093437,1061147,1032290,1342322,873227,184273,253327,243386,120373,94710,1188918,573238,324436
375,Odisha,Kendujhar,1801733,906487,895246,1052518,766514,198044,310075,158035,70059,57762,1038890,472908,282751
376,Odisha,Mayurbhanj,2519738,1256213,1263525,1369397,1223534,238772,568755,214921,92060,72847,1449729,650135,414076
377,Odisha,Baleshwar,2320529,1185787,1134742,1621232,932707,288818,358214,267354,112392,105962,1303828,622575,390611
378,Odisha,Bhadrak,1506337,760260,746077,1094140,468599,155956,151377,177013,71815,67536,848660,393629,260486
379,Odisha,Kendrapara,1440361,717814,722547,1089265,466890,149264,143864,203472,76449,75926,771284,374559,290894
380,Odisha,Jagatsinghapur,1136971,577865,559106,889027,403649,111320,110323,185671,72703,70602,577896,317148,238753
381,Odisha,Cuttack,2624470,1352760,1271710,2011469,936365,138698,248298,328319,159456,181601,1372301,743090,499895
382,Odisha,Jajapur,1827192,926034,901158,1290455,552234,120881,186021,223657,96963,87623,1010147,479392,332706
383,Odisha,Dhenkanal,1192811,612593,580218,829910,435533,71230,163636,132002,53162,43064,641697,326233,222398
384,Odisha,Anugul,1273821,655718,618103,869456,526520,107607,172414,129226,58029,45588,708493,347521,213517
385,Odisha,Nayagarh,962789,502636,460153,688362,343633,83022,120129,90089,36951,33148,502136,262086,196994
386,Odisha,Khordha,2251673,1167137,1084536,1749936,792193,92662,116274,295099,177974,247498,1199521,653346,391701
387,Odisha,Puri,1698730,865380,833350,1291939,621676,172761,163942,179086,84374,87000,888134,477430,328666
388,Odisha,Ganjam,3529031,1779218,1749813,2210050,1501772,284943,565448,297490,121151,97147,1980232,924756,613249
389,Odisha,Gajapati,577817,282882,294935,262537,293933,65062,153199,36977,17084,12556,345387,144043,85072
390,Odisha,Kandhamal,733110,359945,373165,399786,355349,79221,162932,48856,21351,14962,436625,177471,117777
391,Odisha,Baudh,441162,221625,219537,271612,219457,63657,104685,30799,12500,8124,253467,111571,75046
392,Odisha,Subarnapur,610183,311312,298871,398421,286661,74005,139413,65368,25556,16745,341561,153760,113450
393,Odisha,Balangir,1648997,830097,818900,927260,720601,166565,326416,116297,54694,42401,904026,430011,310876
394,Odisha,Nuapada,610382,301962,308420,299383,305438,94692,149834,51886,19577,10131,344075,152681,112325
395,Odisha,Kalahandi,1576869,787101,789768,802036,751930,144991,436733,94044,40383,27385,880160,415778,275533
396,Odisha,Rayagada,967911,471960,495951,407735,467122,99265,248175,46001,21439,17681,577569,245766,140825
397,Odisha,Nabarangapur,1220946,604812,616134,470379,610906,173086,328783,44522,16463,11198,745206,297552,171761
398,Odisha,Koraput,1379647,678809,700838,568090,693406,207194,290626,60589,32257,29000,818578,348803,207206
399,Odisha,Malkangiri,613192,303624,309568,244706,310666,151260,106353,19031,8487,5585,381913,146355,83284
400,Chhattisgarh,Koriya,658917,334737,324180,397823,307071,118498,94648,47127,38677,26802,399581,165022,94073
401,Chhattisgarh,Surguja,2359886,1193129,1166757,1187941,1155807,465287,523356,135374,105992,64607,1441436,561915,355077
402,Chhattisgarh,Jashpur,851669,424747,426922,495415,487360,226866,197558,64188,50562,26161,488965,214455,148100
403,Chhattisgarh,Raigarh,1493984,750278,743706,951639,690167,208313,323788,130700,93340,66358,841958,398257,253488
404,Chhattisgarh,Korba,1206640,612915,593725,748759,521186,113071,221806,89167,83166,61215,729708,309479,166959
405,Chhattisgarh,Janjgir - Champa,1619707,815717,803990,1019634,846466,281266,402359,152183,127543,58712,975114,383172,260898
406,Chhattisgarh,Bilaspur,2663629,1351574,1312055,1596560,1203197,276691,572292,189296,152838,134637,1625484,655032,380114
407,Chhattisgarh,Kabeerdham,822526,412058,410468,414167,404156,167662,185850,37650,28074,16671,515971,198517,107854
408,Chhattisgarh,Rajnandgaon,1537133,762855,774278,1008379,800092,342116,290108,105149,82141,51698,898915,404418,233068
409,Chhattisgarh,Durg,3343872,1682101,1661771,2303378,1496805,392341,560415,309508,286244,202424,1919832,898241,523656
410,Chhattisgarh,Raipur,4063872,2048186,2015686,2629749,1757664,383279,708993,313247,267265,227382,2454299,1038155,560184
411,Chhattisgarh,Mahasamund,1032754,511967,520787,637963,499260,139199,278073,78583,57949,33357,582544,272009,177826
412,Chhattisgarh,Dhamtari,799781,397897,401884,546833,402895,135435,182602,65196,58875,31319,461125,213021,125429
413,Chhattisgarh,Uttar Bastar Kanker,748941,373338,375603,456042,389359,194018,129142,47002,43956,21410,437598,197603,113450
414,Chhattisgarh,Bastar,1413199,698487,714712,650863,726531,284472,287828,60936,57413,32895,864272,358157,189569
415,Chhattisgarh,Narayanpur,139820,70104,69716,56621,71089,44389,13820,4158,4488,2216,91338,33956,14367
416,Chhattisgarh,Dakshin Bastar Dantewada,533638,264142,269496,191237,286595,165389,69385,16665,16905,11197,334987,140188,58170
417,Chhattisgarh,Bijapur,255230,128663,126567,86919,134525,66504,49859,7192,6755,3421,167348,63802,23927
418,Madhya Pradesh,Sheopur,687861,361784,326077,328025,277455,106745,115261,37072,24732,17091,449974,155063,82416
419,Madhya Pradesh,Morena,1965970,1068417,897553,1179685,675993,304674,148222,170254,115790,71005,1254302,452484,257704
420,Madhya Pradesh,Bhind,1703005,926843,776162,1094917,520768,231185,158266,140743,96011,50222,1040736,399676,258588
421,Madhya Pradesh,Gwalior,2032036,1090327,941709,1357210,685311,130586,120348,193082,166719,193947,1218319,519728,291451
422,Madhya Pradesh,Datia,786754,420157,366597,491445,321160,152903,93744,73398,48978,34853,473097,195131,118186
423,Madhya Pradesh,Shivpuri,1726050,919795,806255,900846,759281,383340,220440,84684,58509,44812,1106084,389652,227989
424,Madhya Pradesh,Tikamgarh,1445166,760355,684811,747940,655318,305859,223852,78053,58245,35034,898323,343824,201875
425,Madhya Pradesh,Chhatarpur,1762375,936121,826254,943033,751797,302228,238364,112961,77787,59704,1112636,394060,252417
426,Madhya Pradesh,Panna,1016520,533480,483040,552559,431998,135445,198847,70359,47903,29795,635347,235035,144827
427,Madhya Pradesh,Sagar,2378458,1256257,1122201,1545719,1006035,203600,378560,214137,137899,116753,1470688,569166,335432
428,Madhya Pradesh,Damoh,1264219,661873,602346,747715,574595,114611,250165,95032,64414,41158,768929,312593,181403
429,Madhya Pradesh,Satna,2228935,1157495,1071440,1371781,911349,227967,371584,197373,148091,105499,1365647,535086,326049
430,Madhya Pradesh,Rewa,2365106,1225100,1140006,1441757,991946,258321,463506,206274,180635,122371,1460075,540235,362228
431,Madhya Pradesh,Umaria,644758,330674,314084,356672,289691,65369,145690,43418,27216,18144,403030,158140,82984
432,Madhya Pradesh,Neemuch,826067,422653,403414,508834,418682,175602,136330,69134,53465,42343,476995,217403,131227
433,Madhya Pradesh,Mandsaur,1340411,682851,657560,834591,679723,281465,266350,109751,77219,52546,781000,346861,211815
434,Madhya Pradesh,Ratlam,1455069,738241,716828,825880,690980,218692,305946,111461,86507,67192,876905,363858,213560
435,Madhya Pradesh,Ujjain,1986864,1016289,970575,1240990,897442,289013,302003,159263,119586,111290,1156749,508302,320502
436,Madhya Pradesh,Shajapur,1512681,780520,732161,894612,717871,287924,303157,111366,75967,48671,901161,369741,240768
437,Madhya Pradesh,Dewas,1563715,805359,758356,925369,742676,260222,310606,125772,94403,55383,943954,388648,230280
438,Madhya Pradesh,Dhar,2185793,1112725,1073068,1077338,1027974,385522,437437,134279,99882,66721,1377326,533243,273050
439,Madhya Pradesh,Indore,3276697,1699627,1577070,2309130,1268195,150907,185528,362209,300076,382658,1877270,894464,493096
440,Madhya Pradesh,Khargone (West Nimar),1873046,953121,919925,986234,894119,307085,425712,114246,89581,64150,1166866,450248,254570
441,Madhya Pradesh,Barwani,1385881,699340,686541,549926,653897,287704,267196,59100,42649,30754,923665,302833,158594
442,Madhya Pradesh,Rajgarh,1545814,790212,755602,804245,745603,285095,330820,96386,72316,51499,935230,363218,246447
443,Madhya Pradesh,Vidisha,1458875,769568,689307,862918,550402,168615,228308,104007,65581,59814,919239,335690,203005
444,Madhya Pradesh,Bhopal,2371061,1236130,1134931,1660690,867457,73346,105195,211371,178165,266618,1405814,625594,330291
445,Madhya Pradesh,Sehore,1311332,683743,627589,780362,586087,201307,227026,120687,77541,50655,817608,305605,187611
446,Madhya Pradesh,Raisen,1331597,700358,631239,820220,517838,138725,228151,117908,69419,48384,832939,316319,181524
447,Madhya Pradesh,Betul,1575362,799236,776126,939769,786980,253602,358157,140402,105696,82761,938819,392728,242592
448,Madhya Pradesh,Harda,570465,294838,275627,352550,230979,68019,101256,46556,31939,27126,347774,138882,83417
449,Madhya Pradesh,Hoshangabad,1241350,648725,592625,810644,478082,116440,181967,119682,89589,84769,730768,318232,191501
450,Madhya Pradesh,Katni,1292042,662013,630029,790773,543874,112812,223902,112242,80935,53578,778414,326582,185857
451,Madhya Pradesh,Jabalpur,2463289,1277278,1186011,1756468,1005624,106882,283636,268333,222987,235072,1387369,679185,391903
452,Madhya Pradesh,Narsimhapur,1091854,568810,523044,718785,477818,113866,257865,109996,82020,52763,620415,289560,180831
453,Madhya Pradesh,Dindori,704524,351913,352611,378714,389925,150084,190962,49277,31104,15179,419531,181841,102522
454,Madhya Pradesh,Mandla,1054905,525272,529633,604962,559649,148931,318909,82166,58066,35476,614794,278553,160510
455,Madhya Pradesh,Chhindwara,2090922,1064468,1026454,1294198,957984,283111,422668,215098,167946,112383,1232263,535316,321977
456,Madhya Pradesh,Seoni,1379131,695879,683252,864194,684434,173665,376404,116124,84398,55984,809922,363037,205237
457,Madhya Pradesh,Balaghat,1701698,842178,859520,1147623,893014,257785,459796,168635,126308,74213,969773,453605,276799
458,Madhya Pradesh,Guna,1241519,649362,592157,653980,514897,213949,175615,79924,50724,42147,793150,285176,162104
459,Madhya Pradesh,Ashoknagar,845071,443837,401234,469109,315270,116913,122387,51499,29551,22791,535410,194772,114131
460,Madhya Pradesh,Shahdol,1066063,540021,526042,604194,493057,95795,258991,80402,60915,46513,645619,269145,150655
461,Madhya Pradesh,Anuppur,749237,379114,370123,436595,346471,115448,130376,58536,42743,31646,444954,193520,109813
462,Madhya Pradesh,Sidhi,1127033,575912,551121,600785,461760,102644,262030,80312,60845,33067,721531,253685,150959
463,Madhya Pradesh,Singrauli,1178273,613637,564636,585054,499439,147732,228472,61089,42434,30597,771725,267189,138276
464,Madhya Pradesh,Jhabua,1025048,515023,510025,352081,515121,329175,115649,38236,28990,20240,684200,220769,119681
465,Madhya Pradesh,Alirajpur,728999,362542,366457,209754,366797,256393,73693,18213,15358,10040,488848,155328,84149
466,Madhya Pradesh,Khandwa (East Nimar),1310061,674329,635732,731615,612976,179337,306623,77010,56847,42771,809091,313456,186928
467,Madhya Pradesh,Burhanpur,757847,388504,369343,408679,328339,67799,156295,57058,42618,28237,469838,181605,106034
468,Gujarat,Kachchh,2092371,1096737,995634,1252319,776228,105876,183971,157284,61366,60386,1278604,524052,286086
469,Gujarat,Banas Kantha,3120506,1610379,1510127,1704923,1248600,475585,350541,226765,105372,66950,1984701,738412,394793
470,Gujarat,Patan,1343734,694397,649337,837913,554830,136590,227080,129584,57494,46355,786357,341381,213465
471,Gujarat,Mahesana,2035064,1056520,978544,1502645,812064,189760,242969,266108,139208,130723,1119451,554432,357578
472,Gujarat,Sabar Kantha,2428589,1244231,1184358,1578734,1084878,366711,333867,333650,198963,110817,1393131,630963,400905
473,Gujarat,Gandhinagar,1391753,723864,667889,1030494,534976,104147,129356,196456,95730,108400,769329,391862,224886
474,Gujarat,Ahmadabad,7214225,3788051,3426174,5435760,2594952,142670,268954,1135058,549188,839295,3952858,2043895,1198152
475,Gujarat,Surendranagar,1756268,909917,846351,1093626,723500,185235,270861,172947,61164,58389,1033435,439352,280582
476,Gujarat,Rajkot,3804558,1974445,1830113,2725056,1479050,349357,214285,540278,204306,266295,2080568,1052871,659576
477,Gujarat,Jamnagar,2160119,1114192,1045927,1396534,847440,264318,147193,199634,74029,87523,1220598,576319,358455
478,Gujarat,Porbandar,585449,300209,285240,393678,231169,65702,48964,63458,25119,22458,314886,163777,105638
479,Gujarat,Junagadh,2743082,1404356,1338726,1842818,1123709,367311,333996,311849,137505,139957,1527888,749156,461650
480,Gujarat,Amreli,1514190,771049,743141,995459,657139,232126,209935,149478,66785,50999,836343,389892,282409
481,Gujarat,Bhavnagar,2880365,1490201,1390164,1887255,1150632,231796,334025,281250,96241,93391,1708938,720241,445121
482,Gujarat,Anand,2092745,1087224,1005521,1551253,844794,152412,346329,283571,127459,110351,1134962,585093,366419
483,Gujarat,Kheda,2299885,1185727,1114158,1660243,933983,239241,359842,310341,148530,84223,1260660,628221,388646
484,Gujarat,Panch Mahals,2390776,1226961,1163815,1440805,1097507,456768,376038,283648,139773,71810,1421859,599925,363391
485,Gujarat,Dohad,2127086,1068651,1058435,1007171,999124,388612,438597,156556,95794,41458,1402616,467115,252153
486,Gujarat,Vadodara,4165626,2153736,2011890,2893080,1693473,312126,570361,504732,268451,314960,2213474,1190041,733710
487,Gujarat,Narmada,590297,301086,289211,370336,294795,62823,188030,52687,28396,14748,336830,157910,93466
