census_district_code,state,district,Population,Male,Female,Literate,Workers,Cultivator_Workers,Agricultural_Workers,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
39,Punjab,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,204329,42608,22626,101970,61643,26893,318597,163305,128310
40,Punjab,Fatehgarh Sahib,600163,320795,279368,426033,214783,44245,21389,95073,59555,34990,321018,166781,111028
41,Punjab,Ludhiana,3498739,1867816,1630923,2560225,1284822,140737,98646,527568,318876,272280,1901528,980046,614258
42,Punjab,Moga,995746,525920,469826,627889,359172,91622,82397,128693,85642,37417,535408,258826,194768
43,Punjab,Firozpur,2029074,1071637,957437,1227511,756695,191685,227971,221806,147698,82448,1171770,525459,331259
44,Punjab,Muktsar,901896,475622,426274,524848,335326,86565,111014,104682,62612,36905,495167,242628,162297
45,Punjab,Faridkot,617508,326671,290837,381285,221555,53230,54058,75419,48360,29838,336540,164962,113721
46,Punjab,Bathinda,1388525,743197,645328,844868,549986,141535,128382,163928,96329,70240,754927,377707,255283
47,Punjab,Mansa,769751,408732,361019,423560,328512,105963,90367,85953,48663,27461,420050,200882,146103
48,Punjab,Patiala,1895686,1002522,893164,1266791,660267,113182,89123,256826,157435,141947,1042519,517079,335100
49,Punjab,Amritsar,2490656,1318408,1172248,1684770,917856,124617,121599,328229,203656,142399,1384987,667193,436496
50,Punjab,Tarn Taran,1119627,589369,530258,666162,380702,115853,81216,147856,83290,21322,641875,283645,190898
51,Punjab,Rupnagar,684627,357485,327142,502731,233676,45640,21520,116836,68794,38823,365300,185424,131707
52,Punjab,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,355995,40867,21791,147214,96568,105306,540872,281462,171656
53,Punjab,Sangrur,1655169,878029,777140,1002077,568758,157191,91799,220210,130155,73636,904316,435148,311621
54,Punjab,Barnala,595527,317522,278005,359831,209331,60340,40460,81545,43467,23657,322607,158413,114077
55,Chandigarh,Chandigarh,1055450,580663,474787,805438,404136,2578,1687,124707,98786,174528,602411,303748,148945
56,Uttarakhand,Uttarkashi,330086,168597,161489,215126,157276,117264,4387,30901,24989,18882,202426,75997,51245
57,Uttarakhand,Chamoli,391605,193991,197614,280556,180940,121157,3845,47703,32557,27168,229715,93182,67873
58,Uttarakhand,Rudraprayag,242285,114589,127696,170933,113032,83155,3200,28916,21131,15096,141848,54979,44986
59,Uttarakhand,Tehri Garhwal,618931,297986,320945,407994,280442,187121,8129,74008,58434,30704,368324,139371,109998
60,Uttarakhand,Dehradun,1696694,892199,804495,1259506,582768,77176,38195,206730,187700,247622,968517,446046,276280
61,Uttarakhand,Garhwal,687271,326829,360442,494889,274152,150607,13715,95590,74219,52076,380765,160183,145445
62,Uttarakhand,Pithoragarh,483439,239306,244133,345550,216490,137332,5432,56591,42086,28375,273494,116749,92517
63,Uttarakhand,Bageshwar,259898,124326,135572,179483,123638,85125,8985,31224,20785,10900,147488,60569,51672
64,Uttarakhand,Almora,622506,291081,331425,436497,298211,207617,10274,76148,53026,37742,351595,141238,128994
65,Uttarakhand,Champawat,259648,131125,128523,177726,99566,59993,4032,23610,18360,15110,156916,60722,41913
66,Uttarakhand,Nainital,954605,493666,460939,696500,376181,137530,34742,115317,98851,89101,562548,243095,147053
67,Uttarakhand,Udham Singh Nagar,1648902,858783,790119,1037839,591458,122686,165250,169274,113661,111062,1042614,392370,212223
68,Uttarakhand,Hardwar,1890422,1005295,885127,1178354,578121,93660,103115,165003,114114,134182,1207120,435385,246229
69,Haryana,Panchkula,561293,299679,261614,405318,211479,26682,12827,69163,48306,83256,309078,157076,93606
70,Haryana,Ambala,1128350,598703,529647,818025,372139,52871,57293,163544,97980,91472,617859,308126,201685
71,Haryana,Yamunanagar,1214205,646718,567487,832457,389233,61516,73251,159311,99170,82532,694813,317708,201386
72,Haryana,Kurukshetra,964655,510976,453679,646893,336780,68908,85890,120790,81964,71007,552034,250830,160216
73,Haryana,Kaithal,1074304,571003,503301,646529,373899,128016,85651,117753,82297,51043,630194,265813,176320
74,Haryana,Karnal,1505324,797712,707612,978013,516062,112288,133723,183590,124790,101387,884972,380409,234684
75,Haryana,Panipat,1205437,646857,558580,786599,412318,72120,62358,141473,91756,75774,739075,298764,167244
76,Haryana,Sonipat,1450001,781299,668702,998316,523179,142344,101733,224639,150760,101186,855201,360216,233318
77,Haryana,Jind,1334152,713006,621146,832758,523422,230387,102071,154773,107994,64599,784085,335704,213478
78,Haryana,Fatehabad,942011,495360,446651,557578,369083,132250,97997,93526,61476,37741,555745,237009,147469
79,Haryana,Sirsa,1295189,682582,612607,782897,502003,164297,147042,134559,83373,61620,750228,334344,208185
80,Haryana,Hisar,1743931,931562,812369,1114311,691621,261120,144213,202792,144626,105346,1017830,456536,265109
81,Haryana,Bhiwani,1634445,866672,767773,1069871,623006,288543,103788,218631,148995,104875,964960,405760,261428
82,Haryana,Rohtak,1061204,568479,492725,747582,345967,95732,36568,168499,109596,100346,605741,269354,185685
83,Haryana,Jhajjar,958405,514667,443738,676091,326534,112389,44845,145258,97457,58826,549975,245095,162356
84,Haryana,Mahendragarh,922088,486665,435423,630255,338584,149146,38320,132765,94245,60296,530000,229392,161258
85,Haryana,Rewari,900332,474335,425997,636947,337727,102698,28215,139646,95807,65143,518747,230704,150557
