state,district,district_code,pop_2011,method,villages
Jammu and Kashmir,UDHAMPUR,19,588708,area_share,0.0
Jharkhand,BOKARO,355,2090816,blended,675.0
Jharkhand,CHATRA,347,1084321,blended,1473.0
Jharkhand,DEOGHAR,350,1504389,census2011,2665.0
Jharkhand,DHANBAD,354,2602229,census2011,1211.0
Jharkhand,DUMKA,362,1328447,census2011,2939.0
Jharkhand,EAST SINGHBHUM,357,2315456,census2011,1782.0
Jharkhand,GARHWA,346,1335765,census2011,877.0
Jharkhand,GIRIDIH,349,2438126,census2011,2730.0
Jharkhand,GODDA,351,1328453,census2011,2255.0
Jharkhand,GUMLA,366,1037050,census2011,949.0
Jharkhand,HAZARIBAGH,360,1803408,blended,1311.0
Jharkhand,JAMTARA,363,822471,blended,1164.0
Jharkhand,KHUNTI,365,553017,blended,758.0
Jharkhand,KODERMA,348,462179,census2011,701.0
Jharkhand,LATEHAR,359,729952,census2011,795.0
Jharkhand,LOHARDAGA,356,466683,census2011,354.0
Jharkhand,PAKUR,353,898934,census2011,1251.0
Jharkhand,PALAMU,358,1948229,census2011,1848.0
Jharkhand,RAMGARH,361,978312,blended,314.0
Jharkhand,RANCHI,364,2918767,blended,1334.0
Jharkhand,SAHIBGANJ,352,1142180,census2011,1817.0
Jharkhand,SARAIKELA-KHARSAWAN,369,1070376,census2011,1191.0
Jharkhand,SIMDEGA,367,605300,census2011,451.0
Jharkhand,WEST SINGHBHUM,368,1523273,census2011,1719.0
Karnataka,B\dar,558,1703747,census2011,677.0
Karnataka,Bagalkot,556,1893171,census2011,643.0
Karnataka,Ballari,565,1234167,census2011,327.0
Karnataka,Belagavi,555,4800550,census2011,1325.0
Karnataka,Bengaluru (Rural),583,977885,census2011,1093.0
Karnataka,Bengaluru (Urban),572,9587834,census2011,577.0
Karnataka,Chamarajanagara,578,1018520,census2011,510.0
Karnataka,Chikkaballapura,582,1258440,census2011,1664.0
Karnataka,Chikkamagaluru,570,1141674,census2011,1169.0
Karnataka,Chitradurga,566,1664012,census2011,1228.0
Karnataka,Dakshina Kannada,575,2151574,blended,368.0
Karnataka,Davanagere,567,1475264,census2011,894.0
Karnataka,Dharwad,562,1848605,census2011,394.0
Karnataka,Gadag,561,1069357,census2011,363.0
Karnataka,Hassan,574,1780179,census2011,2611.0
Karnataka,Haveri,564,1603218,census2011,720.0
Karnataka,Kalaburagi,579,2572913,census2011,1060.0
Karnataka,Kodagu,576,553550,census2011,339.0
Karnataka,Kolara,581,1532932,census2011,1849.0
Karnataka,Koppal,560,1395373,census2011,676.0
Karnataka,Mandya,573,1808685,census2011,1543.0
Karnataka,Mysuru,577,3000117,census2011,1384.0
Karnataka,Raichur,559,1934975,census2011,913.0
Karnataka,Ramanagara,584,1081388,census2011,879.0
Karnataka,Shivamogga,568,1757263,census2011,1555.0
Karnataka,Tumakuru,571,2681129,census2011,2922.0
Karnataka,Udupi,569,1075786,census2011,254.0
Karnataka,Uttara Kannada,563,1440198,census2011,1353.0
Karnataka,Vijayanagara,761,1694727,blended,578.0
Karnataka,Vijayapura,557,2186331,census2011,739.0
Karnataka,Yadgir,580,1171730,census2011,582.0
Kerala,Alappuzha,598,2103830,census2011,95.0
Kerala,Ernakulam,595,3389018,blended,128.0
Kerala,Idukki,596,967060,census2011,68.0
Kerala,Kannur,589,2536093,census2011,133.0
Kerala,Kasaragod,588,1309208,census2011,128.0
Kerala,Kollam,600,2629046,census2011,104.0
Kerala,Kottayam,597,1976139,census2011,102.0
Kerala,Kozhikode,591,3103973,census2011,118.0
Kerala,Malappuram,592,4121325,census2011,138.0
Kerala,Palakkad,593,2815996,census2011,157.0
Kerala,Pathanamthitta,599,1188745,census2011,66.0
Kerala,Thiruvananthapuram,601,3314311,census2011,1037.0
Kerala,Thrissur,594,3130922,census2011,256.0
Kerala,Wayanad,590,820395,census2011,49.0
Ladakh,KARGIL,4,183859,area_share,0.0
Ladakh,LEH,3,186324,census2011,0.0
Lakshadweep,Lakshadweep,587,64473,blended,30.0
Madhya Pradesh,AGAR MALWA,735,656955,census2011,0.0
Madhya Pradesh,ALIRAJPUR,465,732200,census2011,592.0
Madhya Pradesh,ANUPPUR,461,748968,census2011,612.0
Madhya Pradesh,ASHOKNAGAR,459,853626,census2011,921.0
Madhya Pradesh,BALAGHAT,457,1719591,census2011,1487.0
Madhya Pradesh,BARWANI,441,1396704,census2011,774.0
Madhya Pradesh,BETUL,447,1587756,census2011,1525.0
Madhya Pradesh,BHIND,420,1714852,census2011,1015.0
Madhya Pradesh,BHOPAL,444,2394281,blended,527.0
Madhya Pradesh,BURHANPUR,467,764921,census2011,284.0
Madhya Pradesh,CHHATARPUR,425,1773765,census2011,1318.0
Madhya Pradesh,CHHINDWARA,455,1757837,census2011,1897.0
Madhya Pradesh,DAMOH,428,1270780,census2011,1304.0
Madhya Pradesh,DATIA,422,814930,blended,681.0
Madhya Pradesh,DEWAS,437,1565515,census2011,1196.0
Madhya Pradesh,DHAR,438,2209040,census2011,1616.0
Madhya Pradesh,DINDORI,453,708942,census2011,984.0
Madhya Pradesh,GUNA,458,1252959,census2011,1387.0
Madhya Pradesh,GWALIOR,421,1786914,census2011,685.0
Madhya Pradesh,HARDA,448,572680,census2011,581.0
Madhya Pradesh,INDORE,439,3284305,census2011,656.0
Madhya Pradesh,JABALPUR,451,2462878,census2011,1478.0
Madhya Pradesh,JHABUA,464,1032335,census2011,905.0
Madhya Pradesh,KATNI,450,1289000,census2011,984.0
Madhya Pradesh,KHANDWA,466,1318985,census2011,784.0
Madhya Pradesh,KHARGONE,440,1872694,census2011,1473.0
Madhya Pradesh,MAIHAR,768,664617,census2011,598.0
Madhya Pradesh,MANDLA,454,1057659,census2011,1393.0
Madhya Pradesh,MANDSAUR,433,1305746,census2011,981.0
Madhya Pradesh,MAUGANJ,767,712157,census2011,354.0
Madhya Pradesh,MORENA,419,1970545,census2011,878.0
Madhya Pradesh,NARMADAPURAM,449,1243285,census2011,1029.0
Madhya Pradesh,NARSIMHAPUR,452,1095959,census2011,1129.0
Madhya Pradesh,NEEMUCH,432,855651,blended,869.0
Madhya Pradesh,NIWARI,753,373609,census2011,543.0
Madhya Pradesh,PANDHURNA,769,355812,census2011,0.0
Madhya Pradesh,PANNA,426,1016105,census2011,1119.0
Madhya Pradesh,RAISEN,446,1334815,census2011,1556.0
Madhya Pradesh,RAJGARH,442,1553614,census2011,1807.0
Madhya Pradesh,RATLAM,434,1465777,census2011,1120.0
Madhya Pradesh,REWA,430,1672831,census2011,1734.0
Madhya Pradesh,SAGAR,427,2397707,census2011,2165.0
Madhya Pradesh,SATNA,429,1566537,census2011,1504.0
Madhya Pradesh,SEHORE,445,1290236,census2011,1117.0
Madhya Pradesh,SEONI,456,1392695,census2011,1755.0
Madhya Pradesh,SHAHDOL,460,1067593,census2011,888.0
Madhya Pradesh,SHAJAPUR,436,837664,census2011,649.0
Madhya Pradesh,SHEOPUR,418,692342,census2011,621.0
Madhya Pradesh,SHIVPURI,423,1659993,census2011,1508.0
Madhya Pradesh,SIDHI,462,1134388,census2011,1227.0
Madhya Pradesh,SINGRAULI,463,1186139,census2011,856.0
Madhya Pradesh,TIKAMGARH,424,1071848,census2011,746.0
Madhya Pradesh,UJJAIN,435,1992614,census2011,1138.0
Madhya Pradesh,UMARIA,431,646430,census2011,682.0
Madhya Pradesh,VIDISHA,443,1469028,census2011,1680.0
Maharashtra,AHILYANAGAR,522,4512419,census2011,1622.0
Maharashtra,AKOLA,501,1792807,census2011,980.0
Maharashtra,AMRAVATI,503,2874317,census2011,1999.0
Maharashtra,BEED,523,2464450,census2011,1376.0
Maharashtra,BHANDARA,506,1225015,blended,926.0
Maharashtra,BULDHANA,500,2572145,census2011,1436.0
Maharashtra,CHANDRAPUR,509,2191510,census2011,1837.0
Maharashtra,CHHATRAPATI SAMBHAJI NAGAR,515,3642642,census2011,1365.0
Maharashtra,DHARASHIV,525,1642019,census2011,749.0
Maharashtra,DHULE,498,2039308,census2011,711.0
Maharashtra,DHULE,598,2039162,census2011,95.0
Maharashtra,GADCHIROLI,508,1067364,census2011,1721.0
Maharashtra,GONDIA,507,1244434,census2011,958.0
Maharashtra,HINGOLI,512,1200351,blended,711.0
Maharashtra,JALGAON,499,4202382,census2011,1551.0
Maharashtra,JALNA,514,1911920,census2011,976.0
Maharashtra,KOLHAPUR,530,3848517,census2011,1273.0
Maharashtra,LATUR,524,2504658,blended,951.0
Maharashtra,MUMBAI,519,2257941,blended,1.0
Maharashtra,MUMBAI SUBURBAN,518,8857861,census2011,1.0
Maharashtra,NAGPUR,505,4622518,census2011,1958.0
Maharashtra,NANDED,511,3307560,census2011,1685.0
Maharashtra,NANDURBAR,497,1632928,census2011,989.0
Maharashtra,NASHIK,516,6075753,census2011,1943.0
Maharashtra,PALGHAR,681,6015627,census2011,295.0
Maharashtra,PARBHANI,513,1805245,blended,854.0
Maharashtra,PUNE,521,9386363,census2011,3768.0
Maharashtra,RAIGAD,520,2556123,census2011,2081.0
Maharashtra,RATNAGIRI,528,1603560,census2011,1547.0
Maharashtra,SANGLI,531,2799723,census2011,753.0
Maharashtra,SATARA,527,2982948,census2011,1800.0
Maharashtra,SINDHUDURG,529,842193,census2011,754.0
Maharashtra,SOLAPUR,526,4277369,census2011,1174.0
Maharashtra,THANE,517,5154199,census2011,830.0
Maharashtra,WARDHA,504,1292490,census2011,1421.0
Maharashtra,WASHIM,502,1171158,census2011,780.0
Maharashtra,YAVATMAL,510,2757352,census2011,2145.0
Manipur,BISHNUPUR,275,196369,area_share,0.0
Manipur,CHANDEL,280,115888,area_share,0.0
Manipur,CHURACHANDPUR,274,130734,census2011,0.0
Manipur,IMPHAL EAST,278,190669,area_share,0.0
Manipur,IMPHAL WEST,277,186098,area_share,0.0
Manipur,JIRIBAM,658,212583,area_share,0.0
Manipur,KAKCHING,651,341043,blended,352.0
Manipur,KAMJANG,670,128385,blended,27.0
Manipur,KANGPOKPI,679,195665,area_share,0.0
Manipur,NONEY,659,153758,blended,1019.0
Manipur,PHERZAWL,718,318505,area_share,0.0
Manipur,SENAPATI,272,217951,census2011,112.0
Manipur,TAMENGLONG,273,122620,area_share,0.0
Manipur,TENGNOUPAL,667,104556,blended,528.0
Manipur,THOUBAL,276,168293,census2011,0.0
Manipur,UKHRUL,279,72676,census2011,0.0
Meghalaya,EAST GARO HILLS,294,177723,area_share,0.0
Meghalaya,EAST JAINTIA HILLS,666,211614,census2011,0.0
Meghalaya,EAST KHASI HILLS,298,821348,census2011,0.0
Meghalaya,EASTERN WEST KHASI HILLS,765,85164,census2011,0.0
Meghalaya,NORTH GARO HILLS,674,135052,census2011,318.0
Meghalaya,RI-BHOI,297,253670,area_share,0.0
Meghalaya,SOUTH GARO HILLS,295,136768,census2011,0.0
Meghalaya,SOUTH WEST GARO HILLS,660,161540,census2011,330.0
Meghalaya,SOUTH WEST KHASI HILLS,668,96783,census2011,899.0
Meghalaya,WEST GARO HILLS,293,496469,area_share,0.0
Meghalaya,WEST JAINTIA HILLS,299,186439,census2011,0.0
Meghalaya,WEST KHASI HILLS,296,204319,census2011,0.0
Mizoram,AIZAWL,283,204186,area_share,0.0
Mizoram,CHAMPHAI,284,57446,census2011,0.0
Mizoram,HNAHTHIAL,713,27077,census2011,0.0
Mizoram,KHAWZAWL,703,36751,area_share,0.0
Mizoram,KOLASIB,282,76671,area_share,0.0
Mizoram,LAWNGTLAI,287,107666,area_share,0.0
Mizoram,LUNGLEI,286,116327,census2011,0.0
Mizoram,MAMIT,281,76430,census2011,0.0
Mizoram,SAIHA,288,38340,census2011,0.0
Mizoram,SAITUAL,682,297007,blended,204.0
Mizoram,SERCHHIP,285,59303,area_share,0.0
Nagaland,CHUMOUKEDIMA,711,308147,area_share,0.0
Nagaland,DIMAPUR,265,30590,area_share,0.0
Nagaland,KIPHIRE,269,71224,blended,154.0
Nagaland,KOHIMA,270,229596,blended,88.0
Nagaland,LONGLENG,268,53015,area_share,0.0
Nagaland,MOKOKCHUNG,262,198579,census2011,0.0
Nagaland,MON,261,262850,area_share,0.0
Nagaland,NIULAND,709,30977,area_share,0.0
Nagaland,NOKLAK,708,74596,census2011,0.0
Nagaland,PEREN,271,100009,census2011,137.0
Nagaland,PHEK,266,154411,census2011,0.0
