name,code,zone,state,address,longitude,latitude
ROBERTS GANJ,RBGJ,NCR,Uttar Pradesh,"Robertsganj, Uttar Pradesh",83.077822,24.683136
PEOKOL,POKL,NER,Uttar Pradesh,"Deoria, Uttar Pradesh",83.930204,26.340803
RIKHABDEV ROAD,RDD,NWR,Rajasthan,"Kalyanpur, Rajasthan",73.74805500000001,23.997173
PIPRAICH,PPC,NER,Uttar Pradesh,"Gorakhpur Bypass, Uttar Pradesh",83.535848,26.828307
ROTEGAON,RGO,SCR,Maharashtra,"Aurangabad, Maharashtra",74.75787,19.956132
RAM NAGAR J K,RMJK,NR,Jammu and Kashmir,"Jandrah, Jammu and Kashmir",75.14542599999999,32.863528
POLUR,PRL,SR,Tamil Nadu,"Polur, Tamil Nadu",79.13055800000001,12.511327000000001
PIMPALKHUTI,PMKT,CR,Maharashtra,"Pimpalkhuti, Maharashtra",78.581025,19.829473
PANRUTI,PRT,SR,Tamil Nadu,"Panruti, Tamil Nadu",79.555153,11.773239
PARDI,PAD,WR,Gujarat,"Valsad, Gujarat",72.92431099999999,20.513153
PHAPHAMAU JN,PFM,NR,Uttar Pradesh,"Phaphamau, Uttar Pradesh",81.866406,25.524255999999998
PANDARAVADAI,PDV,SR,Tamil Nadu,"Rajagiri, Tamil Nadu",79.242126,10.913696
PANHAI,PNHI,NCR,Uttar Pradesh,"Manikpur, Uttar Pradesh",81.189495,25.081679
NOAPARA MAHISHA,NWMS,ER,West Bengal,"Sagardighi Railway Station, West Bengal",88.13727399999999,24.323279
PANBARI,PNB,NFR,Assam,"Chandrapur, Assam",91.951417,26.226727
OODLABARI,ODB,NFR,West Bengal,"Udlabari, West Bengal",88.624639,26.866793
PALANPUR JN,PNU,WR,Gujarat,"Palanpur, Gujarat",72.430172,24.174433
Palasingi,PLSG,ECoR,Andhra Pradesh,"Palasingi, Andhra Pradesh",83.805056,19.014074
Parasia,PUX,CR,Madhya Pradesh,"Dongar Parasia, Madhya Pradesh",78.76432,22.193186
Pattikkad,PKQ,SR,Kerala,"Pattikad, Kerala",76.23179499999999,11.020627
Peddasana,PDSN,ECoR,Andhra Pradesh,"National Highway 5, Andhra Pradesh",84.18448500000001,18.593147
Petlad Junction,PTD,WR,Gujarat,"Petlad, Gujarat",72.9294731,22.5452909
Palachauri,PCLI,CR,Madhya Pradesh,"Dongar Parasia, Madhya Pradesh",78.659087,22.201012
Palia,PLA,WR,Madhya Pradesh,"Indore, Madhya Pradesh",75.79984999999999,22.829589000000002
Mana,SB04,?,Chhattisgarh,"Mana, Chhattisgarh",81.689931,21.21457
ROSHANPUR,RHN,NER,Uttar Pradesh,"Tanda, Uttar Pradesh",78.887727,29.046556
RANTHAMBHORE,RNT,WCR,Rajasthan,"MDR 111, Rajasthan",76.41000100000001,26.093062999999997
SAGMA,SAGM,WCR,Madhya Pradesh,"Satna, Madhya Pradesh",80.828347,24.622107
Rukni,RUI,SER,West Bengal,"Purulia, West Bengal",86.548025,23.551806
RAVER,RV,CR,Maharashtra,"Jalgaon, Maharashtra",76.044594,21.222201
SIMRI BHAKHTIYARPUR,SBV,ECR,Bihar,"Simri Bakhtiarpur, Bihar",86.5973840167,25.7208597875
RAJEVADI,RJW,CR,Maharashtra,"Malshiras Rd, Maharashtra",74.1551290765,18.384143186099998
KANNAMANGALAM,KMM,,,,79.1611348285,12.753547405299999
Sandhanidhar,SDHR,WR,Gujarat,"Junagadh, Gujarat",70.713698,20.942193
SAHIJPUR,SAHP,WR,Gujarat,"National Highway 8, Gujarat",72.631634,23.061366
Ramnagar Bengal,RMRB,?,West Bengal,"Egra Ramnagar Rd, West Bengal",87.55405,21.677450999999998
SANGAT,SGF,NWR,Punjab,"National Highway 64, Punjab",74.83253,30.088059
SANICHARA,SAC,NCR,Madhya Pradesh,"National Highway 3, Madhya Pradesh",78.198369,26.363371
RORA,RORA,NCR,Uttar Pradesh,"Jhansi, Uttar Pradesh",79.236769,25.293896
SAPE WAMNE,SAPE,KR,Maharashtra,"SH 70, Maharashtra",73.356471,18.085549
RAJIYASAR,RJS,NWR,Rajasthan,"Biradhwal, Rajasthan",73.8421637408,29.0674933054
SETTIHALLY,SET,SWR,Karnataka,"Bangalore-Mysore Rd, Karnataka",77.1419178821,12.6442282946
RAMNA,RMF,ECR,Jharkhand,"Dist. Garhwa, Jharkhand",83.605713,24.239748
Srungavruksham,SGKM,SCR,Andhra Pradesh,"Srungavruksham, Andhra Pradesh",81.601906,16.543756
Rajgoda,RGA,SER,West Bengal,"Rajgoda /RGA Railway Station, West Bengal",87.866472,22.324313
RAJA BHAT KHAWA,RVK,NFR,West Bengal,"Rajabhat Khawa, West Bengal",89.528605351,26.6201438112
RAJA TALAB,RTB,NER,Uttar Pradesh,"Mirzapur, Uttar Pradesh",82.8507290414,25.2639068026
PALLIYADI,PYD,SR,Tamil Nadu,"Kanyakumari, Tamil Nadu",77.259683,8.26515
Sasan Gir,SASG,WR,Gujarat,"SH 111, Gujarat",70.602443,21.168995000000002
Sargachhi,SGV,ER,West Bengal,"Sargachhi, West Bengal",88.244037,24.01772
Rajmahal,RJL,ER,Jharkhand,"State Highway 10, Jharkhand",87.831451,25.052535
Risia,RS,NER,Uttar Pradesh,"Risia Railway Station, Uttar Pradesh",81.605514,27.688822
Rentachintala,RCA,SCR,Andhra Pradesh,"Guntur, Andhra Pradesh",79.549492,16.545258999999998
Ramkot,RAK,NR,Uttar Pradesh,"Ramkot, Uttar Pradesh",80.59740799999999,27.534312
Palpara,PXR,ER,West Bengal,"National Highway 34, West Bengal",88.520722,23.059458
Sri Dungargarh,SDGH,NWR,Rajasthan,"Churu, Rajasthan",74.008011,28.070311
Senchoa Junction,SCE,NFR,Assam,"Senchoa, Assam",92.6424819141,26.3116130653
Sabalgarh,SBL,NCR,Madhya Pradesh,"Sabalgarh, Madhya Pradesh",77.4087421698,26.2512745542
SAHIBPUR KAMAL JN,SKJ,ECR,Bihar,"National Highway 31, Bihar",86.4001292639,25.4270372397
Sarna,SRM,NR,Punjab,"National Highway 15, Punjab",75.57852799999999,32.252678
Shri Karanpur,SRW,NWR,Rajasthan,"State Highway 7B, Rajasthan",73.458716,29.844419000000002
SARKARA,SKX,NER,Uttarakhand,"National Highway 74, Uttarakhand",79.083308,29.166922000000003
SHAMBHUPURA,SMP,WR,Rajasthan,"Shambhupura, Rajasthan",74.641918,24.771439
SUDIYUR,SUX,SR,Tamil Nadu,"Madurai-Rameshwaram Rd, Tamil Nadu",78.48234500000001,9.602939000000001
SANSARPUR,SNRR,WCR,Madhya Pradesh,"National Highway 7, Madhya Pradesh",80.3473074512,23.6789703455
SARWARI,SVD,SCR,Maharashtra,"Ranjani, Maharashtra",75.93969899999999,19.764637
SUR KHAND KA KHEDA,SZK,NWR,Rajasthan,"Kejed, Rajasthan",73.879823,24.118095
Satraon,STZ,NER,Uttar Pradesh,"Deoria, Uttar Pradesh",83.82137900000001,26.283587
SUJNIPARA,SPLE,ER,West Bengal,"National Highway 34, West Bengal",88.03679699999999,24.571584
Chowk,CHOK,,,,73.239613,18.902861
SATUR,SRT,SR,Tamil Nadu,"Sattur, Tamil Nadu",77.92156999999999,9.357545
Alehpur Halt,APRH,,,,84.78898557980001,26.2094647257
