station_name,station_code,zone,division,state,address,latitude,longitude
MARWAR MATHANYA,MMY,NWR,JU,Rajasthan,"Mathania, Rajasthan",26.532173,72.978778
MITHAPUR,MTHP,WR,RAJKOT,Gujarat,"Jamnagar, Gujarat",22.411601,69.00869499999999
Modran,MON,NWR,JU,Rajasthan,"Jalor, Rajasthan",25.187428,72.447631
MANANI,MNZ,NR,DLI,Uttar Pradesh,"State Highway 57, Uttar Pradesh",29.884915,77.498609
AUJARI,AJRE,NFR,LMG,Assam,"National Highway 37, Assam",26.1446457224,92.266800144
MAILANI,MLN,NER,LJN,Uttar Pradesh,"Lakhimpur Kheri, Uttar Pradesh",28.284349,80.347318
Manshahi,MNS,NFR,,Bihar,"National Highway 81, Bihar",25.4756828749,87.5881226697
Marajdwa,MRJD,ECR,SPJ,Bihar,"Sikta-Mainatad Rd, Bihar",27.043053,84.60191599999999
Mullanpur,MLX,NR,FZR,Punjab,"Mullanpur, Punjab",30.83811,75.66501600000001
New Madanpur,MPUR,,,,,24.312218,87.226329
Marwar Ratanpur,MSQ,NWR,JU,Gujarat,"State Highway 128, Gujarat",24.67822,72.142853
Madhyamgram,MMG,ER,,West Bengal,"Kolkata, West Bengal",22.693938,88.45225400000001
Mohapani Mal,MPML,SECR,,Madhya Pradesh,"State Highway 19, Madhya Pradesh",21.812143,78.910005
Melattur,MLTR,SR,,Kerala,"Melattoor, Kerala",11.06543,76.272805
Markahandi U Halt,MQQ,SECR,,Madhya Pradesh,"State Highway 26, Madhya Pradesh",22.049857000000003,79.191328
Malsian Shahkot,MQS,NR,FZR,Punjab,"Shahkot-Moga Rd, Punjab",31.110293,75.354756
Morkadhana,MKDN,CR,,Madhya Pradesh,"Nayagaon, Madhya Pradesh",22.11073,78.501566
MANSA,MSZ,NR,DLI,Punjab,"Mansa, Punjab",29.989695,75.402584
MAHIPAL,MPLE,ER,,West Bengal,"Lalgola, West Bengal",24.30631,88.162107
MIRKHAL,MQL,SCR,NED,Maharashtra,"Purna, Maharashtra",19.2036411097,76.9150573724
MOTERJHAR,MTJR,NFR,,Assam,"Dhubri Kochugaon Rd, Assam",26.133968,89.864509
MASODHA,MSOD,NR,LKO,,,26.709217,82.12533900000001
Motijheel,MTJL,NCR,,Madhya Pradesh,"Gwalior, Madhya Pradesh",26.249743,78.142209
MASNADIH,MSDH,ECR,,,,26.958112,84.832613
MANSURPUR,MSP,NR,DLI,Uttar Pradesh,"Muzaffarnagar, Uttar Pradesh",29.355377,77.719182
MAVLI JN,MVJ,NWR,AII,Rajasthan,"Mavli, Rajasthan",24.794585,73.973721
Nabha,NBA,NR,UMB,Punjab,"Nabha, Punjab",30.363819,76.14639600000001
MEERUT CANT,MUT,NR,DLI,Uttar Pradesh,"Meerut, Uttar Pradesh",29.015997,77.686937
MARWAR LOHWAT,MWT,NWR,JU,Rajasthan,"Jodhpur, Rajasthan",26.981256,72.58927
MEERUT CITY,MTC,NR,DLI,Uttar Pradesh,"Meerut, Uttar Pradesh",28.97761,77.675106
MURADNAGAR,MUD,NR,DLI,Uttar Pradesh,"Ghaziabad, Uttar Pradesh",28.759017,77.506774
MURHESI RAMPUR,MSRP,WCR,KOTA,Uttar Pradesh,"SH 33, Uttar Pradesh",27.412426,77.62741799999999
MERTALA PHALEYA,MTFA,ER,,West Bengal,"Mertala Phaleya, West Bengal",23.479666,88.319686
MAROLI,MRL,WR,MUMBAI,Gujarat,"Maroli, Gujarat",21.019949,72.88999799999999
Mannargudi,MQ,SR,TPJ,Tamil Nadu,"Mannargudi, Tamil Nadu",10.674541,79.455639
MELAPPALAIYAM,MP,SR,TVC,Tamil Nadu,"Tirunelveli, Tamil Nadu",8.7067184087,77.7018564789
BOMBAY MASJID,MSD,CR,,Maharashtra,"Mumbai, Maharashtra",18.952385,72.838561
MAHWA,MWW,NWR,JAIPUR,Rajasthan,"Alwar, Rajasthan",27.48372,76.60887100000001
Mumbai Mahalakshmi,MX,WR,,Maharashtra,"Mumbai, Maharashtra",18.982103,72.823908
MANDYA,MYA,SWR,SBC,Karnataka,"Mandya, Karnataka",12.529176,76.897256
MULKI,MULK,KR,,Karnataka,"Mulki, Karnataka",13.068517,74.804962
Thirumayilai,MTMY,SR,,Tamil Nadu,"Chennai, Tamil Nadu",13.03497,80.267038
MIRTHAL,MRTL,NR,FZR,Punjab,"Mirthal, Punjab",32.112895,75.608482
MORTHALA,MXO,NWR,AII,Rajasthan,"NH 14, Rajasthan",24.5026049619,72.8034186484
Matera,MT,NER,LJN,Uttar Pradesh,"Bahraich, Uttar Pradesh",27.784934,81.55344699999999
Moabund,MOBD,NFR,,Assam,"Mohbondha, Assam",26.66857,94.071748
Mahisadal,MSDL,SER,,West Bengal,"Haldia Mechada via Tamluk, West Bengal",22.176299,88.010799
Margherita,MRG,NFR,TSK,Assam,"Ledo, Assam",27.289315,95.6726
Maman,MOM,NR,,Uttar Pradesh,"National Highway 91, Uttar Pradesh",28.330372,77.86108700000001
Triplicane,MTCN,SR,,Tamil Nadu,"Chennai, Tamil Nadu",13.054862,80.28020599999999
MUPA,MUPA,NFR,LMG,Assam,"Diakkawn Rd, Assam",25.368686,93.122747
Nanaksar,NNKR,NR,FZR,Punjab,"Nanaksar, Punjab",30.803353,75.419984
MAINPURI KACHRI,MPUE,NCR,,Uttar Pradesh,"Mainpuri Kachri, Uttar Pradesh",27.227142,79.06563200000001
MOHIUDDINPUR,MUZ,NR,DLI,Uttar Pradesh,"Meerut, Uttar Pradesh",28.885405,77.621531
NEOLI,NEI,CR,,Maharashtra,"State Highway 77, Maharashtra",18.387703,76.303949
Nokhra,NKRA,NWR,BKN,Rajasthan,"Nokhra, Rajasthan",27.6079949928,72.6654016473
MALLESWARAM,MWM,SWR,SBC,Karnataka,"Bengaluru, Karnataka",13.001289,77.56320699999999
NAGLATULA,NGLT,NCR,,Rajasthan,"Bayana, Rajasthan",26.92382,77.421273
MANWATH ROAD,MVO,SCR,NED,Maharashtra,"Parbhani, Maharashtra",19.358161,76.534516
NAGAR,NGE,SECR,BSP,Chhattisgarh,"National Highway 78, Chhattisgarh",23.315091,82.459164
MAKHU,MXH,NR,FZR,Punjab,"Makhnu, Punjab",31.105935,74.983505
Nagore,NCR,SR,TPJ,Tamil Nadu,"Nagore, Tamil Nadu",10.81843,79.846188
MIRZAPALI,MZL,SCR,HYB,Andhra Pradesh,"Medak, Andhra Pradesh",18.017963,78.41529899999999
KEKATUMAR,KKG,SCR,NED,Maharashtra,"Washim, Maharashtra",20.012339,77.10081100000001
MALLANWALA KHAS,MWX,NR,FZR,Punjab,"Mallanwala, Punjab",31.0470049078,74.8134271344
MAHUARIYA,MXY,ECR,DHN,Uttar Pradesh,"Sonebhadra, Uttar Pradesh",24.2277400211,83.3105186481
MAJHAOLI,MZHL,WCR,JBP,Madhya Pradesh,"Bargawa, Madhya Pradesh",24.136642,82.37057999999999
MALLIYALA,MYL,SCR,GTL,Andhra Pradesh,"Kurnool, Andhra Pradesh",15.397805,77.77675500000001
ANNIGERI,NGR,SWR,UBL,Karnataka,"Dist. Dharwad, Karnataka",15.432164,75.43085099999999
MARWASGRAM,MWJ,WCR,JBP,Madhya Pradesh,"Madhya Pradesh, Madhya Pradesh",24.098212,81.836685
Nidhani,NDNI,SECR,NGP,Madhya Pradesh,"Ghonsor, Madhya Pradesh",22.576568,80.008415
MANJHWE,MZW,ECR,,Bihar,"Manjhwe, Bihar",24.814294,85.306631
MAYANOOR,MYU,SR,SA,Tamil Nadu,"NH 67, Tamil Nadu",10.954704,78.23651100000001
NINGALA JN,NGA,WR,BHAVNAGAR,Gujarat,"State Highway 117, Gujarat",22.0252,71.70935200000001
NAIGAON,NIG,WR,,Maharashtra,"Naigaon West, Maharashtra",19.350875,72.845954
NANDGAON ROAD,NAN,KR,,Maharashtra,"Sindhudurg, Maharashtra",16.387453999999998,73.73056000000001
MARIANI JN,MXN,NFR,TSK,Assam,"Mariani, Assam",26.652435,94.308203
MAHUTGAON,MUGN,NFR,,Assam,"B G Rd, Assam",26.962757,94.792882
NAMRUP,NAM,NFR,TSK,Assam,"Borhat, Assam",27.19627,95.313642
MALIGURA,MVG,ECoR,WAT,Odisha,"Maligura Station, Orissa",18.953175,82.638614
Murthiha,MUH,NER,LJN,Uttar Pradesh,"State Highway 26, Uttar Pradesh",28.030462,81.37814700000001
Mettupalayam,MTP,SR,SA,Tamil Nadu,"Mettupalayam, Tamil Nadu",11.299729,76.934533
Nishchindapur,NCP,ER,,West Bengal,"Tengrabichi, West Bengal",21.973426,88.214325
Ner Halt,NERH,,,,,25.017219,84.97536099999999
Mayurhat,MYHT,ER,,West Bengal,"Mayurhat-Taraknagar Rd, West Bengal",23.363017,88.661013
Nal Halt,NAL,NWR,BKN,Rajasthan,"NH 15, Rajasthan",28.0385900551,73.21761215939999
Nalikul,NKL,ER,,West Bengal,"State Highway 2, West Bengal",22.829713,88.16622600000001
Mavinkere,MVC,SWR,MYS,Karnataka,"Mavinkere, Karnataka",12.816193,76.201872
NAGANAHALLI,NHY,SWR,MYS,Karnataka,"Mysore District, Karnataka",12.380243,76.651081
NABADWIP DHAM,NDAE,ER,,West Bengal,"Nabadwip, West Bengal",23.396593,88.356472
NAGPUR ROAD,NPRD,SECR,,Chhattisgarh,"Koria, Chhattisgarh",23.279379,82.349049
NELLAIKUPPAM,NPM,SR,TPJ,Tamil Nadu,"Nellikuppam, Tamil Nadu",11.775944,79.66476800000001
NEW GUNTUR,NGNT,SCR,GNT,Andhra Pradesh,"Guntur City, Andhra Pradesh",16.3100404,80.4582228
NECKLACE ROAD,NLRD,SCR,,Andhra Pradesh,"Hyderabad, Andhra Pradesh",17.423337999999998,78.46287099999999
New Barrackpore,NBE,ER,,West Bengal,"Kolkata, West Bengal",22.687235,88.444755
Nasrala,NAS,NR,FZR,Punjab,"Distt.Hoshiarpur, Punjab",31.497981000000003,75.84640800000001
NAGROTA,NGRT,NR,FZR,Himachal Pradesh,"Nagrota Bagwan, Himachal Pradesh",32.108728,76.38879399999999
AJITGILL MATTA,AJTM,NR,,Punjab,"Kotkapura Jaitu Rd, Punjab",30.483469,74.863795
NIDUR,NID,SR,,Tamil Nadu,"Neivasal, Tamil Nadu",11.127231,79.645074
HUZUR SAHIB NANDED,NED,SCR,NED,Maharashtra,"Nanded, Maharashtra",19.160522,77.31047799999999
NANDRE,NDE,CR,PUNE,Maharashtra,"Sangli, Maharashtra",16.964028561899998,74.5590299896
NAGAPPATTINAM,NGT,SR,TPJ,Tamil Nadu,"Nagapattinam, Tamil Nadu",10.759221,79.845998
