station_code,station_name,category,zone,division,state,total_passengers,total_revenue,source_url
GOH,GAROT,NSG5,WCR,KOTA,Madhya Pradesh,125652,10424382,https://railway-stations-classification.pages.dev/
GOL,Goilkera,NSG6,SER,CKP,Jharkhand,147249,9982341,https://railway-stations-classification.pages.dev/
GOLE,GOLE,NSG6,NWR,JU,Rajasthan,41035,1110475,https://railway-stations-classification.pages.dev/
GOM,Gogamukh,NSG5,NFR,TSK,Assam,232491,24413024,https://railway-stations-classification.pages.dev/
GOPG,Gopalganj,NSG5,NER,BSB,Bihar,253222,24238635,https://railway-stations-classification.pages.dev/
GOS,GHOSRANA,NSG6,NCR,AGC,Rajasthan,8241,301695,https://railway-stations-classification.pages.dev/
GOTN,GOTAN,NSG5,NWR,JU,Rajasthan,517839,47766219,https://railway-stations-classification.pages.dev/
GOVR,Govingnagar,NSG6,NER,LJN,Uttar Pradesh,13407,478545,https://railway-stations-classification.pages.dev/
GOY,GOVIND PURI,NSG5,NCR,PRYJ,Uttar Pradesh,563316,71496615,https://railway-stations-classification.pages.dev/
GP,Garposh,NSG5,SER,CKP,Odisha,342190,71165363,https://railway-stations-classification.pages.dev/
GPB,GHATAPRABHA,NSG5,SWR,UBL,Karnataka,635457,75520667,https://railway-stations-classification.pages.dev/
GPC,GHAT PINDRAI,NSG6,WCR,JBP,Madhya Pradesh,2948,130015,https://railway-stations-classification.pages.dev/
GPH,Garposh,NSG6,SER,CKP,Odisha,122257,3122391,https://railway-stations-classification.pages.dev/
GPI,GAJAPATHINAGARAM,NSG6,ECoR,WAT,Andhra Pradesh,83664,6888642,https://railway-stations-classification.pages.dev/
GPJ,GORAPUR,NSG6,ECoR,WAT,Andhra Pradesh,4595,384482,https://railway-stations-classification.pages.dev/
GPNB,Gopinathpur Nilgiri,NSG6,SER,KGP,Odisha,7342,92245,https://railway-stations-classification.pages.dev/
GPP,Gopjam,NSG6,WR,BHAVNAGAR,Gujarat,2243,87235,https://railway-stations-classification.pages.dev/
GPU,GULAPALYAMU,NSG6,SCR,GTL,Andhra Pradesh,3998,164405,https://railway-stations-classification.pages.dev/
GPX,Gautampura Rd,NSG6,WR,RATLAM,Madhya Pradesh,117204,3870555,https://railway-stations-classification.pages.dev/
