station_code,station_name,category,zone,division,state,total_passengers,total_revenue,source_url
KQW,KHEDULI,NSG6,,JU,Rajasthan,16046,674410,https://railway-stations-classification.pages.dev/
KQZ,KOLAR,NSG6,SWR,SBC,Karnataka,76283,1100175,https://railway-stations-classification.pages.dev/
KRA,KAREPALLI,NSG6,SCR,SC,Telangana,44629,3992256,https://railway-stations-classification.pages.dev/
KRAI,Kaher,NSG6,WR,MUMBAI,Gujarat,36819,277310,https://railway-stations-classification.pages.dev/
KRAP,KARAPA,NSG6,SCR,BZA,Andhra Pradesh,0,0,https://railway-stations-classification.pages.dev/
KRAR,KHARIAR ROAD,NSG5,ECoR,SBP,Odisha,302353,53496825,https://railway-stations-classification.pages.dev/
KRBA,Korba,NSG3,SECR,BSP,Chhattisgarh,1090212,215566876,https://railway-stations-classification.pages.dev/
KRBP,Khudiram Bose Pusa,NSG5,ECR,SEE,Bihar,327377,14777030,https://railway-stations-classification.pages.dev/
KRC,KIRODA,NSG6,,JU,Rajasthan,23938,744330,https://railway-stations-classification.pages.dev/
KRCD,Kharwa Chanda,NSG6,NWR,AII,Rajasthan,638,28000,https://railway-stations-classification.pages.dev/
KRD,Karad,NSG5,CR,PUNE,Maharashtra,342639,93966551,https://railway-stations-classification.pages.dev/
KRDL,KIRANDUL,NSG6,ECoR,WAT,Chhattisgarh,16646,5264714,https://railway-stations-classification.pages.dev/
KRE,KARTARPUR,NSG6,NR,FZR,Punjab,25922,2424335,https://railway-stations-classification.pages.dev/
KRG,Koregaon,NSG6,CR,PUNE,Maharashtra,62788,7868129,https://railway-stations-classification.pages.dev/
KRH,KHAIRTHAL,NSG5,NWR,JAIPUR,Rajasthan,785902,56371143,https://railway-stations-classification.pages.dev/
KRHT,Kharahat,NSG6,NFR,TSK,Assam,5310,164610,https://railway-stations-classification.pages.dev/
KRI,Khapri,NSG6,CR,NGP,Maharashtra,3613,139530,https://railway-stations-classification.pages.dev/
KRIH,KORAI,NSG6,ECoR,KUR,Odisha,36182,1257055,https://railway-stations-classification.pages.dev/
KRJ,KHURJA JN,NSG4,NCR,PRYJ,Uttar Pradesh,1358705,62660912,https://railway-stations-classification.pages.dev/
KRJD,Karjoda,NSG6,NWR,AII,Gujrat,656,29000,https://railway-stations-classification.pages.dev/
KRJR,Karjara,NSG6,ECR,DNR,Bihar,8530,139838,https://railway-stations-classification.pages.dev/
KRKD,Karakad,NSG6,SR,PGT,Kerala,11516,345990,https://railway-stations-classification.pages.dev/
KRKP,KYARKOP,NSG6,SWR,UBL,Karnataka,22,1015,https://railway-stations-classification.pages.dev/
KRKR,Kurkura,NSG6,SER,RNC,Jharkhand,13918,560550,https://railway-stations-classification.pages.dev/
KRL,Kotarlia,NSG6,SECR,BSP,Chhattisgarh,12455,424890,https://railway-stations-classification.pages.dev/
KRLA,KORATLA,NSG6,SCR,SC,Telangana,20874,2601228,https://railway-stations-classification.pages.dev/
KRLI,KURALI,NSG6,NR,UMB,Punjab,94398,5748321,https://railway-stations-classification.pages.dev/
KRLR,Karaila Road Jn,NSG6,ECR,DHN,Uttar Pradesh,106,7845,https://railway-stations-classification.pages.dev/
KRLS,KURLASI,NSG6,WCR,KOTA,Madhya Pradesh,23286,817805,https://railway-stations-classification.pages.dev/
KRMA,KARAMTOLA,NSG6,ER,MALDA,Jharkhand,50835,1277015,https://railway-stations-classification.pages.dev/
KRMD,Kuarmunda,NSG6,SER,CKP,Odisha,136,5375,https://railway-stations-classification.pages.dev/
KRMG,Kumaramangalam,NSG6,SR,MDU,Tamil Nadu,20686,749145,https://railway-stations-classification.pages.dev/
KRMR,KARIMNAGAR,NSG5,SCR,SC,Telangana,160714,56522893,https://railway-stations-classification.pages.dev/
KRND,Khorasan Road,NSG4,NER,BSB,Uttar Pradesh,166663,59196810,https://railway-stations-classification.pages.dev/
KRNI,Krishnai,NSG6,NFR,RNY,Assam,9931,427945,https://railway-stations-classification.pages.dev/
KRNR,Krishnarajanagar,NSG5,SWR,MYS,Karnataka,284144,12236704,https://railway-stations-classification.pages.dev/
KRNT,KURNOOL CITY,NSG3,SCR,HYB,Andhra Pradesh,1861755,300848094,https://railway-stations-classification.pages.dev/
KRP,KRISHNAPUR,NSG5,ER,SDAH,West Bengal,976251,24668890,https://railway-stations-classification.pages.dev/
KRPP,Kuruppantara,NSG6,SR,TVC,Kerala,170293,2361519,https://railway-stations-classification.pages.dev/
KRPU,KORAPUT,NSG4,ECoR,WAT,Odisha,373941,130291525,https://railway-stations-classification.pages.dev/
KRQ,Karari,NSG6,NCR,JHS,Uttar Pradesh,1888,98200,https://railway-stations-classification.pages.dev/
KRR,Karur jn,NSG4,SR,SA,Tamil Nadu,969864,181422627,https://railway-stations-classification.pages.dev/
KRRA,Karra,NSG6,SER,RNC,Jharkhand,9917,378175,https://railway-stations-classification.pages.dev/
KRS,Karisath,NSG6,ECR,DNR,Bihar,64682,1375698,https://railway-stations-classification.pages.dev/
KRSA,Kharsaliya,NSG6,WR,VADODARA,Gujarat,31322,860640,https://railway-stations-classification.pages.dev/
KRSL,Krishna Shilla,NSG6,ECR,DHN,Uttar Pradesh,363,27040,https://railway-stations-classification.pages.dev/
KRSW,KOHAR SINGH WALA,NSG6,NR,FZR,Punjab,18193,549855,https://railway-stations-classification.pages.dev/
KRT,Khurahat,NSG6,NER,BSB,Uttar Pradesh,28430,811965,https://railway-stations-classification.pages.dev/
KRTA,Karkatta,NSG6,ECR,DDU,Jharkhand,25982,749309,https://railway-stations-classification.pages.dev/
KRTH,Kirathgarh,NSG6,CR,NGP,Madhya Pradesh,2185,83693,https://railway-stations-classification.pages.dev/
KRTR,Karota Patner,NSG6,ECR,DNR,Bihar,7761,152971,https://railway-stations-classification.pages.dev/
KRUR,Keeranur,NSG6,SR,MDU,Tamil Nadu,42878,550880,https://railway-stations-classification.pages.dev/
KRV,KARAVADI,NSG6,SCR,BZA,Andhra Pradesh,14411,515275,https://railway-stations-classification.pages.dev/
KRW,Kharwa,NSG6,NWR,AII,Rajasthan,8192,99000,https://railway-stations-classification.pages.dev/
KRY,KADIRI,NSG5,SCR,GTL,Andhra Pradesh,449938,59656496,https://railway-stations-classification.pages.dev/
KRZ,KHARAWAR,NSG6,NR,DLI,Haryana,152875,1494285,https://railway-stations-classification.pages.dev/
KS,KHETA SARAI,NSG6,NR,LKO,Uttar Pradesh,20726,3545586,https://railway-stations-classification.pages.dev/
KSA,KHASA,NSG6,NR,FZR,Punjab,414,21760,https://railway-stations-classification.pages.dev/
KSAE,KOSAI,NSG6,SCR,NED,Telangana,8513,257155,https://railway-stations-classification.pages.dev/
KSB,Kosamba,NSG5,WR,VADODARA,Gujarat,1621624,35269877,https://railway-stations-classification.pages.dev/
KSC,Kashichak,NSG6,ECR,DNR,Bihar,63924,6336879,https://railway-stations-classification.pages.dev/
KSE,Kosad,NSG6,WR,VADODARA,Gujarat,79929,1546090,https://railway-stations-classification.pages.dev/
KSF,KHALISPUR,NSG6,NR,LKO,Uttar Pradesh,6272,767460,https://railway-stations-classification.pages.dev/
KSG,KISHANGARH,NSG3,NWR,JAIPUR,Rajasthan,867288,287651851,https://railway-stations-classification.pages.dev/
KSH,Kalisindhi,NSG6,WR,RATLAM,Madhya Pradesh,91871,4167160,https://railway-stations-classification.pages.dev/
KSI,KOSLI,NSG5,,BKN,Haryana,755565,19972846,https://railway-stations-classification.pages.dev/
KSJ,Kasganj Jn,NSG4,NER,IZN,Uttar Pradesh,3011488,192640909,https://railway-stations-classification.pages.dev/
KSN,KRISHNA,NSG5,SCR,GTL,Telangana,107223,18643091,https://railway-stations-classification.pages.dev/
KSNA,Kansar Nawada,NSG6,ECR,DHN,Jharkhand,4709,184950,https://railway-stations-classification.pages.dev/
KSNG,KESINGA,NSG4,ECoR,SBP,Odisha,520636,138106670,https://railway-stations-classification.pages.dev/
KSO,Khemasuli,NSG6,SER,KGP,West Bengal,55444,978915,https://railway-stations-classification.pages.dev/
KSP,Kisanpur,NSG6,ECR,SPJ,Bihar,89773,1930585,https://railway-stations-classification.pages.dev/
KSPR,Kashipura Sarar,NSG6,WR,VADODARA,Gujarat,19827,410842,https://railway-stations-classification.pages.dev/
KSQ,KANSPUR GNGAULI,NSG6,NCR,PRYJ,Uttar Pradesh,5735,161605,https://railway-stations-classification.pages.dev/
KSTA,Kastha,NSG6,ECR,DDU,Bihar,11051,415898,https://railway-stations-classification.pages.dev/
KSTH,kashti,NSG6,CR,PUNE,Maharashtra,13978,580560,https://railway-stations-classification.pages.dev/
KSU,Kustaur,NSG6,SER,ADRA,West Bengal,127333,3302642,https://railway-stations-classification.pages.dev/
KSV,KOSI KALAN,NSG4,NCR,AGC,Uttar Pradesh,1415440,44694371,https://railway-stations-classification.pages.dev/
KSW,KHERI SALWA,NSG6,,JU,Rajasthan,55814,654325,https://railway-stations-classification.pages.dev/
KSWR,Kalmeshwar,NSG6,CR,NGP,Maharashtra,46693,1451345,https://railway-stations-classification.pages.dev/
KSX,Kotshila,NSG6,SER,ADRA,West Bengal,250428,9372524,https://railway-stations-classification.pages.dev/
KSY,Kusiargaon,NSG6,NFR,KIR,Bihar,83568,3930620,https://railway-stations-classification.pages.dev/
KTA,KUSHTALA,NSG6,WCR,KOTA,Rajasthan,3106,148715,https://railway-stations-classification.pages.dev/
KTCE,KATOGHAN,NSG6,NCR,PRYJ,Uttar Pradesh,2083,63150,https://railway-stations-classification.pages.dev/
KTCH,Kaithalkuchi,NSG6,NFR,RNY,Assam,217091,2633310,https://railway-stations-classification.pages.dev/
KTD,Kantadih,NSG6,SER,ADRA,West Bengal,121912,2746639,https://railway-stations-classification.pages.dev/
KTDD,KATAIYADANDI,NSG6,NCR,PRYJ,Uttar Pradesh,15479,690085,https://railway-stations-classification.pages.dev/
KTE,KATNI JN,NSG3,WCR,JBP,Madhya Pradesh,2937123,479287085,https://railway-stations-classification.pages.dev/
KTES,KATNI SOUTH,NSG4,WCR,JBP,Madhya Pradesh,531617,108530562,https://railway-stations-classification.pages.dev/
KTF,KOT FATEH,NSG6,NR,DLI,PUNJAB,5115,206140,https://railway-stations-classification.pages.dev/
KTGA,KEUTIGURA,NSG6,ECoR,WAT,Odisha,682,46850,https://railway-stations-classification.pages.dev/
KTGD,Kothgangad,NSG6,WR,BHAVNAGAR,Gujarat,86941,1501665,https://railway-stations-classification.pages.dev/
KTGG,KARATAGI,NSG5,SWR,UBL,Karnataka,106368,11131665,https://railway-stations-classification.pages.dev/
KTH,Katrasgarh,NSG5,ECR,DHN,Jharkhand,221269,33343306,https://railway-stations-classification.pages.dev/
KTHA,KHUTAHA,NSG6,WCR,JBP,Madhya Pradesh,11014,377115,https://railway-stations-classification.pages.dev/
KTHD,Kothari Road,NSG6,SECR,BSP,Chhattisgarh,15387,1025275,https://railway-stations-classification.pages.dev/
KTHE,KATEHRI,NSG6,NR,LKO,Uttar Pradesh,0,0,https://railway-stations-classification.pages.dev/
KTHU,KATHUA,NSG4,NR,FZR,Jammu And Kashmir,443598,128288790,https://railway-stations-classification.pages.dev/
KTI,Kanti,NSG6,ECR,SPJ,Bihar,39355,951853,https://railway-stations-classification.pages.dev/
KTJ,KHALTIPUR,NSG5,ER,MALDA,WEST BEBGAL,239786,35717651,https://railway-stations-classification.pages.dev/
KTKD,KATANGI KHURD,NSG6,WCR,JBP,Madhya Pradesh,4755,227325,https://railway-stations-classification.pages.dev/
KTM,Kutralam,NSG6,SR,TPJ,Tamil Nadu,177340,9298314,https://railway-stations-classification.pages.dev/
KTMA,Kotma,NSG5,SECR,BSP,Madhya Pradesh,324296,20838639,https://railway-stations-classification.pages.dev/
KTNR,Krityanand Nagar,NSG6,ECR,SPJ,Bihar,31782,1380613,https://railway-stations-classification.pages.dev/
KTO,Katora,NSG6,SECR,BSP,Chhattisgarh,71785,9236941,https://railway-stations-classification.pages.dev/
KTOR,KATORIYA,NSG6,ER,ASN,Bihar,96716,2914815,https://railway-stations-classification.pages.dev/
KTP,Katepurna,NSG6,CR,BSL,Maharashtra,9283,286250,https://railway-stations-classification.pages.dev/
KTPR,Kathalpukhuri,NSG6,NFR,RNY,Assam,73336,3578929,https://railway-stations-classification.pages.dev/
KTQ,Kudra,NSG4,ECR,DDU,Bihar,381832,32115765,https://railway-stations-classification.pages.dev/
KTRA,Kotra,NSG6,NCR,JHS,Madhya Pradesh,1541,65735,https://railway-stations-classification.pages.dev/
KTRD,Katosan Road,NSG6,WR,AHMEDABAD,Gujarat,20403,600505,https://railway-stations-classification.pages.dev/
KTRH,Katareah,NSG6,ECR,SEE,Bihar,66292,1565390,https://railway-stations-classification.pages.dev/
KTRI,Katari,NSG6,ECR,DNR,Bihar,1815,47655,https://railway-stations-classification.pages.dev/
KTRR,Kathara Road,NSG6,NCR,JHS,Uttar Pradesh,26653,779935,https://railway-stations-classification.pages.dev/
KTU,Kuttipuram,NSG4,SR,PGT,Kerala,1916941,125549429,https://railway-stations-classification.pages.dev/
KTV,KOTTAVALASA,NSG5,ECoR,WAT,Andhra Pradesh,361398,27431727,https://railway-stations-classification.pages.dev/
KTW,KOTDWARA,NSG5,NR,MB,Uttarakhand,202063,22103454,https://railway-stations-classification.pages.dev/
KTWS,KATHUWAS,NSG6,,JAIPUR,Rajasthan,22652,716345,https://railway-stations-classification.pages.dev/
KTX,Katakhal Jn,NSG6,NFR,LMG,Assam,56609,2837844,https://railway-stations-classification.pages.dev/
KTY,KOTTURU,NSG6,SWR,UBL,Karnataka,78201,5255382,https://railway-stations-classification.pages.dev/
KTYM,Kottayam,NSG3,SR,TVC,Kerala,4097682,888935513,https://railway-stations-classification.pages.dev/
KU,Kulikarai,NSG6,SR,TPJ,Tamil Nadu,32332,648285,https://railway-stations-classification.pages.dev/
KUA,Kulharia,NSG6,ECR,DNR,Bihar,219096,4535808,https://railway-stations-classification.pages.dev/
KUB,Kasba,NSG6,NFR,KIR,Bihar,166609,4240070,https://railway-stations-classification.pages.dev/
KUC,Karukutty,NSG6,SR,TVC,Kerala,187138,1450653,https://railway-stations-classification.pages.dev/
KUD,KUDACHI,NSG5,SWR,UBL,Karnataka,486249,51217746,https://railway-stations-classification.pages.dev/
KUE,Kursela,NSG5,ECR,SEE,Bihar,383149,29393033,https://railway-stations-classification.pages.dev/
KUF,KAURAH,NSG6,NR,MB,Uttar Pradesh,1054,29100,https://railway-stations-classification.pages.dev/
KUG,KUSUGAL,NSG6,SWR,UBL,Karnataka,3480,75945,https://railway-stations-classification.pages.dev/
KUGT,Kumarghat,NSG5,NFR,LMG,Tripura,540914,32620242,https://railway-stations-classification.pages.dev/
KUH,Khachroad,NSG5,WR,RATLAM,Madhya Pradesh,345219,24300772,https://railway-stations-classification.pages.dev/
KUHI,Kuhi,NSG6,SECR,NGP,Maharashtra,0,0,https://railway-stations-classification.pages.dev/
KUI,KULALI,NSG6,CR,SUR,Karnataka,25932,1042695,https://railway-stations-classification.pages.dev/
KUJU,Kuju,NSG6,ECR,DHN,Jharkhand,10791,512250,https://railway-stations-classification.pages.dev/
KUK,KORUKONDA,NSG6,ECoR,WAT,Andhra Pradesh,84422,889307,https://railway-stations-classification.pages.dev/
KUKA,KHUI KHERA,NSG6,NR,FZR,Punjab,11367,572760,https://railway-stations-classification.pages.dev/
KUKT,KURUKOTTA,NSG6,SCR,SC,Karnataka,848,32550,https://railway-stations-classification.pages.dev/
KUL,Kallayi,NSG6,SR,PGT,Kerala,108660,3082690,https://railway-stations-classification.pages.dev/
KUM,Kurum,NSG6,CR,BSL,Maharashtra,9380,374195,https://railway-stations-classification.pages.dev/
KUMB,Kumarbag,NSG6,ECR,SPJ,Bihar,22888,1086010,https://railway-stations-classification.pages.dev/
KUMM,Kumbalam,NSG6,SR,TVC,Kerala,30709,355925,https://railway-stations-classification.pages.dev/
KUN,KARNAL,NSG3,NR,DLI,Haryana,2184453,226807564,https://railway-stations-classification.pages.dev/
KUND,KUND,NSG6,NWR,JAIPUR,Haryana,66839,2697840,https://railway-stations-classification.pages.dev/
KUP,KUP,NSG6,NR,UMB,Punjab,11636,238160,https://railway-stations-classification.pages.dev/
KUPR,KHURDPUR,NSG6,NR,FZR,Punjab,28491,2852931,https://railway-stations-classification.pages.dev/
KUQ,Kuretha,NSG6,NFR,KIR,Bihar,59912,1497655,https://railway-stations-classification.pages.dev/
KUR,KHURDA ROAD JN,NSG3,ECoR,KUR,Odisha,3407219,515595705,https://railway-stations-classification.pages.dev/
KURJ,Khajuraho,NSG3,NCR,JHS,Madhya Pradesh,1271518,318566426,https://railway-stations-classification.pages.dev/
KURN,KHUKRANA HALT,NSG6,NR,DLI,Haryana,7892,281205,https://railway-stations-classification.pages.dev/
KURT,KHURDA TOWN,NSG6,ECoR,KUR,Odisha,16507,400645,https://railway-stations-classification.pages.dev/
KUT,KANOTA,NSG6,NWR,JAIPUR,Rajasthan,46189,979320,https://railway-stations-classification.pages.dev/
KUU,KUHURI,NSG6,ECoR,KUR,Odisha,113062,3701999,https://railway-stations-classification.pages.dev/
KUV,Kundara,NSG6,SR,MDU,Kerala,345104,8748842,https://railway-stations-classification.pages.dev/
KUW,KANWAR,NSG6,NCR,PRYJ,Uttar Pradesh,7539,261590,https://railway-stations-classification.pages.dev/
KV,Kayavarohan,NSG6,WR,VADODARA,Gujarat,0,0,https://railway-stations-classification.pages.dev/
KVA,KAVAS,NSG6,NWR,JU,Rajasthan,22880,1220940,https://railway-stations-classification.pages.dev/
KVC,Kaparpura,NSG6,ECR,SPJ,Bihar,9949,390406,https://railway-stations-classification.pages.dev/
KVG,KUNDANGANJ,NSG6,NR,LKO,Uttar Pradesh,154,6991,https://railway-stations-classification.pages.dev/
KVH,Khambel,NSG6,WR,AHMEDABAD,Gujarat,0,0,https://railway-stations-classification.pages.dev/
KVJ,Keshavganj,NSG6,NWR,AII,Rajasthan,2947,139000,https://railway-stations-classification.pages.dev/
KVK,KAVATHE-MAHANKAL,NSG6,CR,SUR,Maharashtra,21542,1504767,https://railway-stations-classification.pages.dev/
KVL,Kizhvelur,NSG6,SR,TPJ,Tamil Nadu,25758,972645,https://railway-stations-classification.pages.dev/
KVLR,KARUVALLI,NSG6,SWR,SBC,TAMIL NADU,24040,1456570,https://railway-stations-classification.pages.dev/
KVLS,KARAKAVALASA,NSG6,ECoR,WAT,Andhra Pradesh,3777,150245,https://railway-stations-classification.pages.dev/
KVM,KAVUTARAM,NSG6,SCR,BZA,Andhra Pradesh,30235,490765,https://railway-stations-classification.pages.dev/
KVN,Kavanur,NSG6,SR,MAS,Tamil Nadu,469,19960,https://railway-stations-classification.pages.dev/
KVQ,Kosiara,NSG6,ECR,DDU,Jharkhand,73407,3133023,https://railway-stations-classification.pages.dev/
KVR,KOVVURU,NSG6,SCR,BZA,Andhra Pradesh,52651,9069870,https://railway-stations-classification.pages.dev/
KVU,Kadakavur,NSG6,SR,TVC,Kerala,381610,8245333,https://railway-stations-classification.pages.dev/
KVZ,KAVALI,NSG4,SCR,BZA,Andhra Pradesh,1083052,134126534,https://railway-stations-classification.pages.dev/
KW,Khervadi,NSG6,CR,BSL,Maharashtra,20972,1292605,https://railway-stations-classification.pages.dev/
KWC,Kundwa Chainpur,NSG6,ECR,SPJ,Bihar,101233,3418345,https://railway-stations-classification.pages.dev/
KWD,Karwandiya,NSG6,ECR,DDU,Bihar,24092,902439,https://railway-stations-classification.pages.dev/
KWE,Khurial,NSG6,NFR,KIR,Bihar,122639,6027317,https://railway-stations-classification.pages.dev/
KWGN,KAWARGAON,NSG6,ECoR,WAT,Chhattisgarh,487,29660,https://railway-stations-classification.pages.dev/
KWH,Kachhwa Road,NSG6,NER,BSB,Uttar Pradesh,47067,1130615,https://railway-stations-classification.pages.dev/
KWI,Kiwarli,NSG6,NWR,AII,Rajasthan,3908,206000,https://railway-stations-classification.pages.dev/
KWJ,KHOJEWALA,NSG6,NR,FZR,Punjab,8780,405111,https://railway-stations-classification.pages.dev/
KWM,Kampur,NSG5,NFR,LMG,Assam,192542,10369690,https://railway-stations-classification.pages.dev/
KWN,Kachewani,NSG6,SECR,NGP,Maharashtra,15091,663830,https://railway-stations-classification.pages.dev/
KWO,Karauta,NSG6,ECR,DNR,Bihar,69141,1099650,https://railway-stations-classification.pages.dev/
KWP,KHATIPURA,NSG6,NWR,JAIPUR,Rajasthan,159192,9679398,https://railway-stations-classification.pages.dev/
KWR,Koelwar,NSG6,ECR,DNR,Bihar,385241,7217139,https://railway-stations-classification.pages.dev/
KWV,KURDUWADI,NSG4,CR,SUR,Maharashtra,1040735,175645124,https://railway-stations-classification.pages.dev/
KXB,KANJIYA,NSG6,WCR,BPL,Madhya Pradesh,7279,374800,https://railway-stations-classification.pages.dev/
KXE,KALYANCHAK,NSG6,ER,MALDA,Jharkhand,52278,1855865,https://railway-stations-classification.pages.dev/
KXF,Kampil Road,NSG6,NER,IZN,Uttar Pradesh,158758,5393165,https://railway-stations-classification.pages.dev/
KXG,KHARIA KHANGAR,NSG6,NWR,JU,Rajasthan,23211,1140191,https://railway-stations-classification.pages.dev/
KXH,KAPURTHALA,NSG5,NR,FZR,Punjab,179816,20552516,https://railway-stations-classification.pages.dev/
KXJ,Karimganjjn,NSG4,NFR,LMG,Assam,338717,9916114,https://railway-stations-classification.pages.dev/
KXK,KHARKHAUDA,NSG6,NR,MB,Uttar Pradesh,30093,455170,https://railway-stations-classification.pages.dev/
KXL,Kamarbandha,NSG6,NFR,TSK,Assam,21958,773470,https://railway-stations-classification.pages.dev/
KXM,KITHAM,NSG6,NCR,AGC,Uttar Pradesh,1193,42440,https://railway-stations-classification.pages.dev/
KXN,Kansbahal,NSG6,SER,CKP,Odisha,7858,370833,https://railway-stations-classification.pages.dev/
KXT,Ketti,NSG6,SR,SA,Tamil Nadu,2966,428197,https://railway-stations-classification.pages.dev/
KXX,KATA ROAD,NSG6,SCR,NED,Maharashtra,9830,389210,https://railway-stations-classification.pages.dev/
KY,KARELI,NSG5,WCR,JBP,Madhya Pradesh,618377,66103042,https://railway-stations-classification.pages.dev/
KYE,KHURAI,NSG5,WCR,JBP,Madhya Pradesh,417278,39997035,https://railway-stations-classification.pages.dev/
KYF,Kajrat Nawadih,NSG6,ECR,DDU,Jharkhand,53828,2216786,https://railway-stations-classification.pages.dev/
KYH,Khairah,NSG6,NER,BSB,Bihar,54917,2207095,https://railway-stations-classification.pages.dev/
KYJ,Kayankulam jn,NSG3,SR,TVC,Kerala,3099578,567431146,https://railway-stations-classification.pages.dev/
KYM,KADIYAM,NSG6,SCR,BZA,Andhra Pradesh,12101,735903,https://railway-stations-classification.pages.dev/
KYN,Kalyan,NSG1,CR,BB,Maharashtra,83792667,5252978109,https://railway-stations-classification.pages.dev/
KYNT,KALYANKOT,NSG6,NWR,BKN,Rajasthan,28268,785700,https://railway-stations-classification.pages.dev/
KYO,Khandikar,NSG6,NFR,RNY,Assam,20330,393100,https://railway-stations-classification.pages.dev/
KYQ,Kamakhya Jn,NSG2,NFR,LMG,Assam,2293030,1288653376,https://railway-stations-classification.pages.dev/
KYS,Kusumkasa,NSG6,SECR,R,Chhattisgarh,106758,1642575,https://railway-stations-classification.pages.dev/
KYT,KAILAHAT,NSG6,NCR,PRYJ,Uttar Pradesh,7138,473250,https://railway-stations-classification.pages.dev/
KYX,KARHIYA-BHADOLI,NSG6,WCR,JBP,Madhya Pradesh,3113,133450,https://railway-stations-classification.pages.dev/
KYZ,Kizhapuliyur (FLAG),NSG6,SR,MDU,Tamil Nadu,143609,3814030,https://railway-stations-classification.pages.dev/
KZA,Khada,NSG5,NER,BSB,Uttar Pradesh,179804,14822736,https://railway-stations-classification.pages.dev/
KZB,Kurumbur (FLAG),NSG5,SR,MDU,Tamil Nadu,177402,10271749,https://railway-stations-classification.pages.dev/
KZE,Kanhangad,NSG4,SR,PGT,Kerala,2186474,188167972,https://railway-stations-classification.pages.dev/
KZH,KILA ZAFARGARH,NSG6,NR,DLI,Haryana,84539,949760,https://railway-stations-classification.pages.dev/
KZJ,KAZIPET,NSG3,SCR,SC,Telangana,3643309,786178265,https://railway-stations-classification.pages.dev/
KZJT,KAZIPET TOWN,NSG6,SCR,SC,Telangana,22733,1219410,https://railway-stations-classification.pages.dev/
KZK,Kazhakuttom,NSG5,SR,TVC,Kerala,728660,40780421,https://railway-stations-classification.pages.dev/
KZQ,Pandoli,NSG6,,AII,Rajasthan,21058,746000,https://railway-stations-classification.pages.dev/
KZT,Kulitturai,NSG4,SR,TVC,Tamil Nadu,1235524,112606675,https://railway-stations-classification.pages.dev/
KZU,Kunki,NSG6,SER,CKP,Jharkhand,11748,340187,https://railway-stations-classification.pages.dev/
KZW,KATAR SINGH WALA,NSG6,NR,DLI,PUNJAB,2931,116915,https://railway-stations-classification.pages.dev/
KZX,KHUDA KURALA,NSG6,NR,FZR,Punjab,8960,152484,https://railway-stations-classification.pages.dev/
KZY,Kayalpattinam (FLAG),NSG6,SR,MDU,Tamil Nadu,137979,7075174,https://railway-stations-classification.pages.dev/
LAD,Lohardaga,NSG5,SER,RNC,Jharkhand,1139563,32471578,https://railway-stations-classification.pages.dev/
LAE,Lakholi,NSG6,SECR,R,Chhattisgarh,8248,391105,https://railway-stations-classification.pages.dev/
LAK,Lakho,NSG6,ECR,SEE,Bihar,45474,946480,https://railway-stations-classification.pages.dev/
LAL,Lushala,NSG6,WR,BHAVNAGAR,Gujarat,23102,813930,https://railway-stations-classification.pages.dev/
LAN,Lotana,NSG6,WR,VADODARA,Gujarat,0,0,https://railway-stations-classification.pages.dev/
LAP,LOHAPUR,NSG6,ER,HWH,West Bengal,153412,3961690,https://railway-stations-classification.pages.dev/
LAR,Lalitpur Jn,NSG3,NCR,JHS,Uttar Pradesh,1937533,381330495,https://railway-stations-classification.pages.dev/
LAT,Lathi,NSG6,WR,BHAVNAGAR,Gujarat,38299,2543987,https://railway-stations-classification.pages.dev/
LAU,LADNUN,NSG5,NWR,JU,Rajasthan,283146,40816003,https://railway-stations-classification.pages.dev/
LAV,Labha,NSG5,NFR,KIR,Bihar,388036,40937541,https://railway-stations-classification.pages.dev/
LBA,LAMBHUA,NSG5,NR,LKO,Uttar Pradesh,117375,17325556,https://railway-stations-classification.pages.dev/
LBG,LIMBGAON,NSG6,SCR,NED,Maharashtra,54452,780115,https://railway-stations-classification.pages.dev/
LBI,Lilabari,NSG6,NFR,TSK,Assam,43205,2065270,https://railway-stations-classification.pages.dev/
LBN,LABAN,NSG6,WCR,KOTA,Rajasthan,23870,1137600,https://railway-stations-classification.pages.dev/
LBO,Latabor,NSG6,SECR,R,Chhattisgarh,223009,2160805,https://railway-stations-classification.pages.dev/
LBP,LABPUR,NSG6,ER,HWH,West Bengal,17271,503595,https://railway-stations-classification.pages.dev/
LC,Lucknow city,NSG5,NER,LJN,Uttar Pradesh,271572,24590562,https://railway-stations-classification.pages.dev/
LCAE,LALBAGH COURT ROAD,NSG6,ER,HWH,West Bengal,131431,4452720,https://railway-stations-classification.pages.dev/
LCR,Lokur,NSG6,SR,SA,Tamil Nadu,2701,96810,https://railway-stations-classification.pages.dev/
LCT,Langcholie T,NSG6,NFR,LMG,Assam,6130,212790,https://railway-stations-classification.pages.dev/
LD,LONDA,NSG4,SWR,UBL,Karnataka,261175,43296553,https://railway-stations-classification.pages.dev/
LDA,LIDORA KHURD,NSG6,WCR,JBP,Madhya Pradesh,7808,327215,https://railway-stations-classification.pages.dev/
LDE,Lodhikhera,NSG6,SECR,NGP,Madhya Pradesh,101254,2723385,https://railway-stations-classification.pages.dev/
LDH,LUDHIANA Jn,NSG2,NR,FZR,Punjab,7795358,2339654975,https://railway-stations-classification.pages.dev/
LDK,LADHUKA,NSG6,NR,FZR,Punjab,114840,4092578,https://railway-stations-classification.pages.dev/
